gene_id	gene_name	EP1-BRN3B-RO	EP1-WT_hRO_2	EP1-WT_ROs_D45	H9-BRN3B_hRO_2	H9-BRN3B-RO	H9-CRX_hRO_2	H9-CRX_ROs_D45
ABCC4	ABCC4	27.000002382848972	17.999999637350996	31.999998205663985	15.999999112487993	14.999999721182995	16.999999848255	60.00000039431901
ABCD4	ABCD4	99.00000001016099	71.99999988631099	101.99999625783596	74.99999915630099	56.999999364645	77.000000022899	106.99999843596197
ABHD17C	ABHD17C	31.999998945472004	5.999999879116998	52.99999867586598	5.999998930179996	35.99999848253999	3.999999609187998	40.999997685851966
ABR	ABR	120.999997103435	67.00000110113601	181.000005559194	52.99999963962698	63.999998951764006	46.999999935577	175.99999778217193
ACADVL	ACADVL	84.99999974427098	28.999998301642982	87.99999945953597	21.000001414651	35.000000056343	28.999998675818993	79.99999208951587
ACAP3	ACAP3	433.9999995156379	132.000001351295	229.00000462527402	145.00000043245697	361.0000002175809	123.00000005617902	214.000000035515
ACOT13	ACOT13	45.999999211362	50.000001220819996	179.00000149707802	26.000000768802	44.00000073735199	35.999999501104	91.00000065077701
ACTA2	ACTA2	9.999998943214008	16.999999880315997	51.00000164408601	13.000000384400998	7.999998013315997	4.999999511484998	40.000002371940035
ACTB	ACTB	73.999999743142	56.99999952006499	128.00000336816	51.000000487569	48.000002925132	41.99999740567999	116.99999902894697
ACTG1	ACTG1	188.00000107710795	100.99999952486098	210.00000470202002	108.999999481347	117.00000037012498	78.99999982749303	212.00000308050903
ACYP2	ACYP2	160.00000345431198	73.999999400381	120.99999969625799	85.000000812615	129.000000571221	81.00000114129303	101.99999655767394
ADAM17	ADAM17	112.00000212711997	54.00000024895999	61.99999586437996	53.999999215655976	44.99999916354899	47.99999983787401	42.99999780444896
ADAMTS12	ADAMTS12	29.000001589694982	12.000001095141005	59.00000031671	6.999999980214999	13.999999174237995	15.999999945958002	50.999998278836976
ADD1	ADD1	175.00000186913297	58.99999903413499	79.99999727174396	53.00000111363299	137.99999913148199	39.999997601085994	46.99999171446086
ADI1	ADI1	307.999997122628	105.99999964694298	362.00000057288395	81.00000103449298	172.99999918782498	91.00000016426301	298.0000050165891
ADSS1	ADSS1	14.999998414821013	7.999999393186995	15.999997345247978	1.9999991520579965	16.000000268127998	2.9999997068909985	18.999996381284937
AGAP1	AGAP1	485.99999634753794	148.00000147457598	98.00000219427601	98.99999929903898	444.99999950450496	117.99999903548802	108.000000077056
AGPAT3	AGPAT3	233.99999737948596	63.00000073608899	115.00000157058199	44.00000050735399	186.99999836206297	55.000000663159014	129.00000290412004
AHCY	AHCY	119.99999895450398	55.99999976302999	371.000001276566	92.000002266836	67.000000592599	72.00000051141403	347.0000031768291
AIMP2	AIMP2	144.999999221523	61.000001222018994	225.00000001620998	69.99999980214999	119.00000146401497	51.00000105397102	194.00000201313603
AK6	AK6	205.99999975669	93.99999988870898	260.000004315048	86.99999996467298	134.99999961139497	91.00000167346903	191.00000341703605
AKAP8L	AKAP8L	88.000000009032	33.999999760631994	41.99999391006795	26.999997396818983	36.000004844783994	23.999999164334	33.99999885255798
AKR1C2	AKR1C2	64.999998948859	27.000001461387004	33.99999875261199	27.999999920859995	32.99999896245299	20.999999457442996	27.000000019263997
ALG9	ALG9	61.000000535167	19.999999151420994	50.99999812891798	29.999999072917987	40.00000067032	30.999998480412994	32.99999721146395
AMBRA1	AMBRA1	28.999998680711006	16.000000123280998	24.999998048929985	5.000000828157001	22.999997734498994	14.999998534454992	19.99999485878791
AMZ1	AMZ1	11.000000001129	9.999998907256993	21.999998986091992	9.999998708301993	5.999999040173998	5.999999413781997	19.999998022378968
AMZ2	AMZ2	221.99999922942598	76.00000025135799	226.000002047268	83.99999976257999	176.99999925485696	81.99999953438402	168.999998948878
AMZ2P1	AMZ2P1	40.99999973975501	13.999997935396985	53.00000219103401	16.99999868851699	34.99999793559499	25.99999745972199	21.999991813793862
ANAPC11	ANAPC11	106.99999683754503	77.00000134529999	193.000001810546	46.00000113341799	73.99999805896998	51.999997937855994	204.00000260612106
ANGEL2	ANGEL2	88.999998157963	44.00000000479599	107.99999789867996	34.00000032504599	76.99999757905697	54.00000076086201	95.00000088797101
ANK1	ANK1	32.00000185445598	12.999999515268996	26.999998595877987	1.9999991520579965	20.999998761356995	7.999999218375996	12.999996025493932
ANK2-AS1	ANK2-AS1	22.000000002258	12.999999515268994	37.99999633133997	19.999998890609994	30.000001563113997	16.999999848255	15.999997785184963
ANK3	ANK3	148.999997635215	57.99999927709999	95.00000313143799	53.99999921565597	128.99999845047296	40.000000619498	49.999993474151886
ANKRD17	ANKRD17	173.99999790223401	59.00000037104199	152.000006416368	70.000001276156	133.99999906444998	72.99999890450502	128.99999657693792
ANKRD18A	ANKRD18A	7.999999736368001	3.9999990281399938	14.000000313468002	6.999999980214999	17.000000815072998	14.000000141364003	14.999999307681989
ANKRD18B	ANKRD18B	5.000005289574952	4.0000003650470015	9.999999219571993	5.000000828157002	10.999997533402997	0.9999999022969995	10.999999070487984
ANKRD28	ANKRD28	68.00000212260396	25.00000061041	88.00000297470402	24.999999718766993	57.999999911589995	29.000000185025	74.99999970200099
ANKRD36C	ANKRD36C	159.00000239639695	109.00000025495498	177.00000095012996	78.00000083239999	99.99999955505199	124.99999986077303	125.00000266692604
ANKRD37	ANKRD37	25.000000267018994	44.00000000479599	26.000000079988	101.00000139910898	18.000001362017997	61.000000076941014	18.00000106737302
