.feature	.sample	counts	counts_scaled	group	sample_name	TMM	multiplier	PC1	PC2	.abundant	edgerQLT_logFC	edgerQLT_logCPM	edgerQLT_F	edgerQLT_PValue	edgerQLT_FDR	edgerLR_logFC	edgerLR_logCPM	edgerLR_LR	edgerLR_PValue	edgerLR_FDR
A2M	DG-WT-hRGC	17.000001483638012	24.955384090451766	RGC	DG-WT-hRGC	0.9612657089017133	1.4679636419132416	-17.473953573035764	-2.1471222190300026	TRUE	2.514838947610837	7.8643163786582715	64.12696228339854	2.5952016754281764e-6	6.106356883360416e-5	2.517024455951131	7.8643163786582715	52.922141878603625	3.470353137772346e-13	8.008507241013105e-12
AAK1	DG-WT-hRGC	221.000001661394	324.4199673016924	RGC	DG-WT-hRGC	0.9612657089017133	1.4679636419132416	-17.473953573035764	-2.1471222190300026	TRUE	-0.1729440225322937	9.54403144924609	0.3791951020866541	0.5489231082060466	0.6685876518326956	-0.17270281248848704	9.54403144924609	0.3078393748245656	0.579009067493	0.6990049104543259
AAMDC	DG-WT-hRGC	8.999999057425992	13.2116713935548	RGC	DG-WT-hRGC	0.9612657089017133	1.4679636419132416	-17.473953573035764	-2.1471222190300026	TRUE	1.340056778690769	7.8829960480845225	8.873489423958837	0.010912104330857448	0.0341893608277518	1.3536665289791276	7.8829960480845225	8.9188768332884365	0.0028223803385443854	0.010117511968788118
ABAT	DG-WT-hRGC	178.00000551199204	261.2975363519609	RGC	DG-WT-hRGC	0.9612657089017133	1.4679636419132416	-17.473953573035764	-2.1471222190300026	TRUE	-1.836987797160817	9.592993466059912	51.93981846044711	7.88971388136822e-6	1.5520748619085023e-4	-1.8357844341957017	9.592993466059912	38.80611842985404	4.680584554514874e-10	7.694111596462807e-9
ABHD3	DG-WT-hRGC	27.000000109928003	39.635018493027836	RGC	DG-WT-hRGC	0.9612657089017133	1.4679636419132416	-17.473953573035764	-2.1471222190300026	TRUE	1.2893055375061009	7.846326351672071	8.697095605614987	0.011547714954913415	0.035622771069141634	1.2723789914704056	7.846326351672071	8.64923616259248	0.0032719849928601716	0.011380817366470161
ABHD6	DG-WT-hRGC	34.000000029626	49.91076386854011	RGC	DG-WT-hRGC	0.9612657089017133	1.4679636419132416	-17.473953573035764	-2.1471222190300026	TRUE	-0.2184589685847119	7.485279801788385	0.40267056989654487	0.5369889778938357	0.659556574690484	-0.22547584477508495	7.485279801788385	0.3826690968420645	0.5361782311737096	0.66537112451753
ABI2	DG-WT-hRGC	294.00000250261604	431.58131439624236	RGC	DG-WT-hRGC	0.9612657089017133	1.4679636419132416	-17.473953573035764	-2.1471222190300026	TRUE	-0.414568647655712	10.4910172799603	2.8362290490241	0.11658663494379067	0.21490623952772472	-0.41174607455897444	10.4910172799603	2.2760232023009768	0.13138838667930708	0.23638090556996774
ABLIM2	DG-WT-hRGC	56.999998926447994	83.67392601311946	RGC	DG-WT-hRGC	0.9612657089017133	1.4679636419132416	-17.473953573035764	-2.1471222190300026	TRUE	-1.514517133594378	7.926936979177778	10.537038010875131	0.00656021246768603	0.02400077732080255	-1.516314487483663	7.926936979177778	9.439547392820218	0.0021235589422465458	0.007938538101856246
ABR	DG-WT-hRGC	229.00000114995603	336.163675686226	RGC	DG-WT-hRGC	0.9612657089017133	1.4679636419132416	-17.473953573035764	-2.1471222190300026	TRUE	-0.9830478921566845	9.949154362180115	12.461376357945868	0.0038256626019935835	0.016395696865686787	-0.9885309837541418	9.949154362180115	11.087433350343428	8.691469753179895e-4	0.0036984977673105933
ACAP2	DG-WT-hRGC	227.000002012228	333.2277496681834	RGC	DG-WT-hRGC	0.9612657089017133	1.4679636419132416	-17.473953573035764	-2.1471222190300026	TRUE	-0.2593593611838359	10.132493580409617	1.2816518568501012	0.2785367783435479	0.4167632593669046	-0.2654134952776111	10.132493580409617	1.0719797848183759	0.3004986871562137	0.4433964083352072
ACIN1	DG-WT-hRGC	111.00000208395402	162.94396731153853	RGC	DG-WT-hRGC	0.9612657089017133	1.4679636419132416	-17.473953573035764	-2.1471222190300026	TRUE	-0.19821766915355227	8.904463432635511	0.3595277896397922	0.559325624268387	0.6766035777440165	-0.19895995654253326	8.904463432635511	0.3103441918362897	0.5774690522650487	0.6978477972991525
ACSS3	DG-WT-hRGC	24.99999803454999	36.699088162621884	RGC	DG-WT-hRGC	0.9612657089017133	1.4679636419132416	-17.473953573035764	-2.1471222190300026	TRUE	1.8254020427323476	7.876267696508752	18.29497984713867	9.499479950269557e-4	0.005702838184357157	1.8141881301080591	7.876267696508752	18.71670883143816	1.5164782239366813e-5	1.089684951331747e-4
ACTN4	DG-WT-hRGC	81.999999898648	120.37301848810476	RGC	DG-WT-hRGC	0.9612657089017133	1.4679636419132416	-17.473953573035764	-2.1471222190300026	TRUE	1.1509607945794333	9.085622418438117	11.609003600344257	0.004829230036969506	0.01951469963278103	1.1563296081613188	9.085622418438117	11.383398617810185	7.410340962392436e-4	0.003273159758132642
ADD1	DG-WT-hRGC	185.99999912525396	273.04123611176755	RGC	DG-WT-hRGC	0.9612657089017133	1.4679636419132416	-17.473953573035764	-2.1471222190300026	TRUE	0.5679900140214935	9.52150717107096	3.301324713467107	0.0929115326073199	0.17864966196660514	0.565014334103064	9.52150717107096	2.7222555791629155	0.0989580862291035	0.18730237141155237
ADI1	DG-WT-hRGC	153.00000160214202	224.5984395646122	RGC	DG-WT-hRGC	0.9612657089017133	1.4679636419132416	-17.473953573035764	-2.1471222190300026	TRUE	1.4107626002632077	10.285833848235114	31.745067740109235	8.924244127592202e-5	0.0010499110738343767	1.4097936245553586	10.285833848235114	25.382939558370186	4.700568775730873e-7	5.081695973763106e-6
AFDN	DG-WT-hRGC	346.0000065223941	507.91542967661894	RGC	DG-WT-hRGC	0.9612657089017133	1.4679636419132416	-17.473953573035764	-2.1471222190300026	TRUE	-1.4201595539637228	10.766066449123459	24.556671795905924	2.8256530988112887e-4	0.0024020260761970606	-1.4170913760757262	10.766066449123459	20.92265852644396	4.782045464533976e-6	3.9575548672005324e-5
