isoform_id	DG-WT-hRGC	EP1-BRN3B-RO	EP1-WT_ROs_D45	H9-BRN3B-RO	H9-CRX_ROs_D45	H9-hRGC_1	H9-hRGC_2	hRGC
ENST00000684853	0	0	0	0	0	0.9999999089229995	0	0
ENST00000455925	1.9999991377279933	2.0000009952750046	1.0000007487519955	0	0.9999995374939963	0	0	0.9999989176980025
ENST00000442686	4.000001213106009	6.999999123140995	5.000000227211998	7.999998988467009	1.9999990749879926	0.9999999089229995	5.000001082497998	7.999999771892003
ENST00000621863	1.9999991377279933	6.000000078944	0	2.0000002774519974	5.000000852366006	0.9999999089229995	0	3.0000009682479982
ENST00000439647	4.000001213106009	0.9999990441969957	2.000001497503991	2.0000002774519974	0	0	4.0000003767840004	2.000002050549996
ENST00000414031	4.000001213106009	14.000001153163005	31.999999344228	10.999999404645006	20.000000244568	1.999999817845999	5.000001082497998	4.9999988036440035
ENST00000392537	6.000000350834003	15.999999241556996	15.000000681635994	5.000000693629994	18.000001169580006	3.0000001897660007	15.000000801422003	18.000001594333998
ENST00000442406	6.999999919697999	5.0000010347470045	0	1.0000001387259987	2.9999986124819884	0	1.000000705713998	6.0000019364959964
ENST00000450424	1.9999991377279933	2.0000009952750046	2.000001497503991	1.0000001387259987	1.9999990749879926	0	0	3.0000009682479982
ENST00000435046	0	2.0000009952750046	1.0000007487519955	1.0000001387259987	1.9999990749879926	0	1.000000705713998	0
ENST00000382330	19.000000621366006	3.9999990836689956	1.0000007487519955	1.0000001387259987	0.9999995374939963	1.999999817845999	11.000000424638001	11.00000074014
ENST00000426123	0.9999995688639967	0	0	1.0000001387259987	0.9999995374939963	0	1.000000705713998	2.000002050549996
ENST00000346169	5.000000781970006	2.0000009952750046	5.000000227211998	1.0000001387259987	2.9999986124819884	0.9999999089229995	1.000000705713998	3.9999998859460013
ENST00000350481	4.000001213106009	2.0000009952750046	2.000001497503991	2.0000002774519974	0	0.9999999089229995	0	0
ENST00000342981	34.000000029626	23.000001271579006	17.999999411344	7.999998988467009	22.999998857049988	0.9999999089229995	4.0000003767840004	14.000001708387998
ENST00000466311	0	0	0	0	0	0.9999999089229995	1.000000705713998	0.9999989176980025
ENST00000460829	6.000000350834003	6.000000078944	1.0000007487519955	2.0000002774519974	0.9999995374939963	0.9999999089229995	0	3.0000009682479982
ENST00000464548	0	0.9999990441969957	0	2.0000002774519974	0	0.9999999089229995	0	0.9999989176980025
ENST00000478291	4.000001213106009	6.000000078944	2.000001497503991	2.0000002774519974	0	0.9999999089229995	1.999998965356004	3.0000009682479982
ENST00000450976	4.000001213106009	6.000000078944	0	0	0.9999995374939963	0	1.999998965356004	6.0000019364959964
ENST00000340957	49.99999900674999	15.999999241556996	20.00000090884799	10.999999404645006	27.99999970941599	5.000000007611999	50.99999930033402	108.00000113569601
ENST00000639617	6.000000350834003	2.0000009952750046	2.000001497503991	1.0000001387259987	6.000000389860002	0.9999999089229995	2.999999671070002	7.999999771892003
ENST00000497070	4.000001213106009	12.000000157888	2.000001497503991	5.000000693629994	2.9999986124819884	1.999999817845999	2.999999671070002	12.999998575536004
ENST00000383847	8.999999057425994	0.9999990441969957	3.9999994784600026	3.000000416177996	2.9999986124819884	1.999999817845999	1.000000705713998	11.00000074014
ENST00000310585	19.000000621366006	5.0000010347470045	5.000000227211998	2.0000002774519974	0	0.9999999089229995	12.999999389994008	12.999998575536004
ENST00000487702	6.000000350834003	26.000001311051005	2.000001497503991	10.999999404645006	4.00000131487201	0	2.999999671070002	19.999999429730007
ENST00000448876	81.999999898648	320.000002272426	318.99999972662397	241.99999750889504	103.99999937281598	43.000000250662	206.99999931847807	397.0000002718141
ENST00000424227	5.000000781970006	6.000000078944	2.9999987297080075	0	1.9999990749879926	1.999999817845999	8.999999013210006	6.0000019364959964
ENST00000265026	243.000000989352	112.000000504661	44.00000129615599	93.00000017347199	27.99999970941599	52.000000356963	351.99999891198416	459.0000006115541
ENST00000453386	168.000001010402	149.000000022522	352.999997051808	82.999998786212	248.000002399664	15.000000022836	94.00000029317202	192.99999765826004
ENST00000492417	24.00000140333601	12.000000157888	29.000000614519998	12.999999682097004	15.99999892969599	10.999999924146998	18.99999873213401	11.999999657838003
ENST00000463328	5.000000781970006	3.000000039472	2.000001497503991	1.0000001387259987	1.9999990749879926	0.9999999089229995	1.000000705713998	2.000002050549996
ENST00000466832	17.000001483638012	8.000001074219005	2.9999987297080075	3.000000416177996	4.00000131487201	0	8.0000007535680009	4.9999988036440035
ENST00000487615	27.000000109928	18.999999281028998	26.999999117016007	17.000000237001	21.99999931955599	1.999999817845999	9.999999718924004	15.000000626086
ENST00000456380	37.00000167386801	8.000001074219005	6.9999982081680105	9.999999265919007	6.000000389860002	0.9999999089229995	18.99999873213401	49.00000176420401
