isoform_id	DTU_Stage_1_vs_Stage_2	DTU_Stage_1_vs_Stage_3	DTU_Stage_2_vs_Stage_3
BambuTx429	FALSE	TRUE	FALSE
BambuTx43	FALSE	FALSE	FALSE
BambuTx440	FALSE	FALSE	FALSE
BambuTx444	FALSE	FALSE	FALSE
BambuTx449	FALSE	TRUE	TRUE
BambuTx450	FALSE	FALSE	FALSE
BambuTx451	FALSE	FALSE	FALSE
BambuTx454	FALSE	TRUE	FALSE
BambuTx455	FALSE	FALSE	FALSE
BambuTx457	FALSE	FALSE	FALSE
BambuTx459	FALSE	TRUE	FALSE
BambuTx46	TRUE	TRUE	TRUE
BambuTx460	TRUE	FALSE	FALSE
BambuTx466	FALSE	FALSE	FALSE
BambuTx468	FALSE	FALSE	FALSE
BambuTx469	FALSE	TRUE	TRUE
BambuTx47	FALSE	FALSE	FALSE
BambuTx472	TRUE	FALSE	FALSE
BambuTx476	FALSE	FALSE	FALSE
BambuTx48	FALSE	FALSE	FALSE
BambuTx480	FALSE	FALSE	FALSE
BambuTx482	FALSE	FALSE	FALSE
BambuTx484	FALSE	FALSE	FALSE
BambuTx488	FALSE	FALSE	FALSE
BambuTx491	TRUE	TRUE	FALSE
BambuTx492	FALSE	FALSE	FALSE
BambuTx495	FALSE	FALSE	FALSE
BambuTx496	FALSE	FALSE	FALSE
BambuTx499	FALSE	FALSE	FALSE
BambuTx50	TRUE	FALSE	FALSE
BambuTx501	FALSE	FALSE	FALSE
BambuTx504	FALSE	FALSE	FALSE
BambuTx508	FALSE	TRUE	FALSE
BambuTx509	FALSE	FALSE	FALSE
BambuTx514	FALSE	FALSE	FALSE
BambuTx518	FALSE	FALSE	FALSE
BambuTx520	FALSE	FALSE	FALSE
BambuTx521	FALSE	FALSE	FALSE
BambuTx522	FALSE	FALSE	FALSE
BambuTx524	FALSE	FALSE	FALSE
BambuTx527	FALSE	FALSE	FALSE
BambuTx528	FALSE	FALSE	FALSE
BambuTx529	FALSE	FALSE	FALSE
BambuTx533	FALSE	TRUE	TRUE
BambuTx536	FALSE	FALSE	FALSE
BambuTx539	FALSE	FALSE	FALSE
BambuTx54	FALSE	FALSE	FALSE
BambuTx542	FALSE	FALSE	FALSE
BambuTx546	FALSE	TRUE	TRUE
BambuTx549	FALSE	FALSE	FALSE
BambuTx550	FALSE	FALSE	FALSE
BambuTx551	FALSE	FALSE	FALSE
BambuTx552	FALSE	TRUE	FALSE
BambuTx559	FALSE	FALSE	TRUE
BambuTx563	FALSE	FALSE	TRUE
BambuTx566	FALSE	FALSE	FALSE
BambuTx571	FALSE	FALSE	FALSE
BambuTx572	FALSE	FALSE	FALSE
BambuTx577	FALSE	FALSE	FALSE
BambuTx579	FALSE	FALSE	FALSE
BambuTx583	FALSE	FALSE	FALSE
BambuTx584	FALSE	FALSE	FALSE
BambuTx585	TRUE	TRUE	TRUE
BambuTx588	FALSE	FALSE	FALSE
BambuTx59	FALSE	FALSE	FALSE
BambuTx597	TRUE	TRUE	FALSE
BambuTx600	FALSE	FALSE	FALSE
BambuTx605	FALSE	FALSE	FALSE
BambuTx607	FALSE	FALSE	FALSE
BambuTx61	FALSE	FALSE	FALSE
BambuTx610	FALSE	FALSE	FALSE
BambuTx619	FALSE	FALSE	FALSE
BambuTx620	FALSE	FALSE	FALSE
BambuTx621	FALSE	FALSE	FALSE
BambuTx623	FALSE	FALSE	FALSE
BambuTx626	FALSE	FALSE	FALSE
