"transcript_id","biotype","gene_id","gene_name"
"ENST00000263083","protein_coding","ENSG00000108963","DPH1"
"ENST00000263285","protein_coding","ENSG00000122224","LY9"
"ENST00000263437","protein_coding","ENSG00000022556","NLRP2"
"ENST00000263604","protein_coding","ENSG00000107147","KCNT1"
"ENST00000263800","protein_coding","ENSG00000062524","LTK"
"ENST00000263934","protein_coding","ENSG00000054523","KIF1B"
"ENST00000264260","protein_coding","ENSG00000115607","IL18RAP"
"ENST00000264382","protein_coding","ENSG00000090402","SI"
"ENST00000265029","protein_coding","ENSG00000090512","FETUB"
"ENST00000265403","protein_coding","ENSG00000109181","UGT2B10"
"ENST00000265425","protein_coding","ENSG00000112337","SLC17A2"
"ENST00000265707","protein_coding","ENSG00000168619","ADAM18"
"ENST00000265708","protein_coding","ENSG00000104755","ADAM2"
"ENST00000265808","protein_coding","ENSG00000036565","SLC18A1"
"ENST00000265970","protein_coding","ENSG00000011405","PIK3C2A"
"ENST00000266594","protein_coding","ENSG00000139223","ANP32D"
"ENST00000267082","protein_coding","ENSG00000139626","ITGB7"
"ENST00000268912","protein_coding","ENSG00000141194","OR4D1"
"ENST00000268919","protein_coding","ENSG00000141200","KIF2B"
"ENST00000268981","protein_coding","ENSG00000141255","SPATA22"
"ENST00000269489","protein_coding","ENSG00000197641","SERPINB13"
"ENST00000269878","protein_coding","ENSG00000141977","CIB3"
"ENST00000269945","protein_coding","ENSG00000142025","DMRTC2"
"ENST00000270172","protein_coding","ENSG00000142182","DNMT3L"
"ENST00000271450","protein_coding","ENSG00000143226","FCGR2A"
"ENST00000271971","protein_coding","ENSG00000135773","CAPN9"
"ENST00000272746","protein_coding","ENSG00000115935","WIPF1"
"ENST00000273173","protein_coding","ENSG00000144671","SLC22A14"
"ENST00000273283","protein_coding","ENSG00000055957","ITIH1"
"ENST00000273353","protein_coding","ENSG00000144821","MYH15"
"ENST00000273695","protein_coding","ENSG00000145107","TM4SF19"
"ENST00000274520","protein_coding","ENSG00000145839","IL9"
"ENST00000275191","protein_coding","ENSG00000146378","TAAR2"
"ENST00000275198","protein_coding","ENSG00000146383","TAAR6"
"ENST00000275200","protein_coding","ENSG00000146385","TAAR8"
"ENST00000275216","protein_coding","ENSG00000146399","TAAR1"
"ENST00000275838","protein_coding","ENSG00000146926","ASB10"
"ENST00000276052","protein_coding","ENSG00000102225","CDK16"
"ENST00000276127","protein_coding","ENSG00000147183","CPXCR1"
"ENST00000277216","protein_coding","ENSG00000148136","OR13C4"
"ENST00000278655","protein_coding","ENSG00000101333","PLCB4"
"ENST00000278888","protein_coding","ENSG00000149534","MS4A2"
"ENST00000279178","protein_coding","ENSG00000149742","SLC22A9"
"ENST00000279227","protein_coding","ENSG00000149781","FERMT3"
"ENST00000279545","protein_coding","ENSG00000150045","KLRF1"
"ENST00000279575","protein_coding","ENSG00000230657","PRB4"
"ENST00000279783","protein_coding","ENSG00000150261","OR8K1"
"ENST00000280082","protein_coding","ENSG00000150527","MIA2"
"ENST00000280904","protein_coding","ENSG00000134755","DSC2"
"ENST00000281428","protein_coding","ENSG00000151702","FLI1"
"ENST00000281589","protein_coding","ENSG00000151846","PABPC3"
"ENST00000281703","protein_coding","ENSG00000151948","GLT1D1"
"ENST00000281923","protein_coding","ENSG00000152127","MGAT5"
"ENST00000282260","protein_coding","ENSG00000152413","HOMER1"
"ENST00000282326","protein_coding","ENSG00000152467","ZSCAN1"
"ENST00000283550","protein_coding","ENSG00000153498","SPACA7"
"ENST00000283936","protein_coding","ENSG00000153822","KCNJ16"
"ENST00000284629","protein_coding","ENSG00000154438","ASZ1"
"ENST00000284951","protein_coding","ENSG00000101251","SEL1L2"
"ENST00000285600","protein_coding","ENSG00000155249","OR4K1"
"ENST00000286523","protein_coding","ENSG00000156030","MIDEAS"
"ENST00000286808","protein_coding","ENSG00000156282","CLDN17"
"ENST00000286890","protein_coding","ENSG00000149435","GGTLC1"
"ENST00000288390","protein_coding","ENSG00000249481","SPATS1"
"ENST00000289153","protein_coding","ENSG00000051382","PIK3CB"
"ENST00000289547","protein_coding","ENSG00000015520","NPC1L1"
"ENST00000290567","protein_coding","ENSG00000159398","CES5A"
"ENST00000291633","protein_coding","ENSG00000125498","KIR2DL1"
"ENST00000291744","protein_coding","ENSG00000160339","FCN2"
"ENST00000291860","protein_coding","ENSG00000242019","KIR3DL3"
