"gene_id","n_LRonly_isoforms","gene_name"
"ENSG00000230461",6,"PROX1-AS1"
"ENSG00000232732",6,"ENSG00000232732"
"ENSG00000233985",6,"LINC01681"
"ENSG00000234810",6,"ENSG00000234810"
"ENSG00000235142",6,"LINC02532"
"ENSG00000235535",6,"TRDN-AS1"
"ENSG00000235597",6,"LINC01102"
"ENSG00000236052",6,"LINC01643"
"ENSG00000237352",6,"LINC01358"
"ENSG00000241469",6,"LINC00635"
"ENSG00000244128",6,"LINC01322"
"ENSG00000250723",6,"ENSG00000250723"
"ENSG00000251600",6,"ENSG00000251600"
"ENSG00000254562",6,"LINC01493"
"ENSG00000256128",6,"LINC00944"
"ENSG00000256499",6,"LINC02468"
"ENSG00000257756",6,"LINC02386"
"ENSG00000259867",6,"DYNLRB2-AS1"
"ENSG00000267057",6,"LINC01905"
"ENSG00000267489",6,"LINC01837"
"ENSG00000286021",6,"LINC02822"
"ENSG00000289731",6,"ENSG00000289731"
"ENSG00000291052",6,"ABCC13"
"ENSG00000291129",6,"PPIEL"
"ENSG00000001626",5,"CFTR"
"ENSG00000009307",5,"CSDE1"
"ENSG00000058056",5,"USP13"
"ENSG00000061938",5,"TNK2"
"ENSG00000066813",5,"ACSM2B"
"ENSG00000070756",5,"PABPC1"
"ENSG00000075884",5,"ARHGAP15"
"ENSG00000080503",5,"SMARCA2"
"ENSG00000080815",5,"PSEN1"
"ENSG00000082074",5,"FYB1"
"ENSG00000093134",5,"VNN3P"
"ENSG00000100055",5,"CYTH4"
"ENSG00000101204",5,"CHRNA4"
"ENSG00000103811",5,"CTSH"
"ENSG00000104381",5,"GDAP1"
"ENSG00000107147",5,"KCNT1"
"ENSG00000109452",5,"INPP4B"
"ENSG00000121446",5,"RGSL1"
"ENSG00000121940",5,"CLCC1"
"ENSG00000124678",5,"TCP11"
"ENSG00000134365",5,"CFHR4"
"ENSG00000134389",5,"CFHR5"
"ENSG00000135047",5,"CTSL"
"ENSG00000135541",5,"AHI1"
"ENSG00000136689",5,"IL1RN"
"ENSG00000138347",5,"MYPN"
"ENSG00000143226",5,"FCGR2A"
"ENSG00000145349",5,"CAMK2D"
"ENSG00000145907",5,"G3BP1"
"ENSG00000148356",5,"LRSAM1"
"ENSG00000151948",5,"GLT1D1"
"ENSG00000157540",5,"DYRK1A"
"ENSG00000157551",5,"KCNJ15"
"ENSG00000159023",5,"EPB41"
"ENSG00000163534",5,"FCRL1"
"ENSG00000164334",5,"FAM170A"
"ENSG00000166069",5,"TMCO5A"
"ENSG00000166548",5,"TK2"
"ENSG00000166947",5,"EPB42"
"ENSG00000168216",5,"LMBRD1"
"ENSG00000168610",5,"STAT3"
"ENSG00000172995",5,"ARPP21"
"ENSG00000173230",5,"GOLGB1"
"ENSG00000173262",5,"SLC2A14"
"ENSG00000174080",5,"CTSF"
"ENSG00000176884",5,"GRIN1"
"ENSG00000177426",5,"TGIF1"
