"gene","n_detected_iso","n_annotated_iso","frac_detected"
"ENSG00000139914",2,2,1
"ENSG00000139915",9,9,1
"ENSG00000139921",3,3,1
"ENSG00000139926",13,18,0.722
"ENSG00000139946",3,3,1
"ENSG00000139970",8,8,1
"ENSG00000139971",6,6,1
"ENSG00000139973",5,6,0.833
"ENSG00000139974",21,21,1
"ENSG00000139977",4,4,1
"ENSG00000139985",2,2,1
"ENSG00000139988",4,4,1
"ENSG00000139990",9,9,1
"ENSG00000139998",9,10,0.9
"ENSG00000140006",4,4,1
"ENSG00000140009",11,13,0.846
"ENSG00000140015",4,4,1
"ENSG00000140022",9,9,1
"ENSG00000140025",11,13,0.846
"ENSG00000140030",1,1,1
"ENSG00000140043",7,7,1
"ENSG00000140044",7,8,0.875
"ENSG00000140057",4,5,0.8
"ENSG00000140067",5,5,1
"ENSG00000140090",8,9,0.889
"ENSG00000140092",14,16,0.875
"ENSG00000140093",4,4,1
"ENSG00000140104",9,9,1
"ENSG00000140105",35,44,0.795
"ENSG00000140107",2,2,1
"ENSG00000140153",18,20,0.9
"ENSG00000140157",16,16,1
"ENSG00000140199",18,21,0.857
"ENSG00000140254",12,16,0.75
"ENSG00000140259",2,2,1
"ENSG00000140262",27,28,0.964
"ENSG00000140263",10,12,0.833
"ENSG00000140264",17,17,1
"ENSG00000140265",7,7,1
"ENSG00000140274",3,3,1
"ENSG00000140279",4,5,0.8
"ENSG00000140280",4,4,1
"ENSG00000140284",3,4,0.75
"ENSG00000140285",3,4,0.75
"ENSG00000140287",6,7,0.857
"ENSG00000140297",3,10,0.3
"ENSG00000140299",11,11,1
"ENSG00000140307",10,10,1
"ENSG00000140319",8,8,1
"ENSG00000140320",4,4,1
"ENSG00000140323",4,4,1
"ENSG00000140326",5,6,0.833
"ENSG00000140332",19,24,0.792
"ENSG00000140350",10,11,0.909
"ENSG00000140365",25,25,1
"ENSG00000140367",8,8,1
"ENSG00000140368",17,20,0.85
"ENSG00000140374",36,38,0.947
"ENSG00000140379",3,3,1
"ENSG00000140382",11,12,0.917
"ENSG00000140386",21,23,0.913
"ENSG00000140391",10,10,1
"ENSG00000140395",16,16,1
"ENSG00000140396",8,8,1
"ENSG00000140398",23,24,0.958
"ENSG00000140400",41,44,0.932
"ENSG00000140403",8,12,0.667
"ENSG00000140406",1,1,1
"ENSG00000140416",38,39,0.974
"ENSG00000140443",15,17,0.882
"ENSG00000140450",1,1,1
"ENSG00000140451",8,9,0.889
"ENSG00000140455",21,21,1
"ENSG00000140459",7,10,0.7
"ENSG00000140463",15,18,0.833
"ENSG00000140464",21,22,0.955
"ENSG00000140465",7,9,0.778
"ENSG00000140470",8,9,0.889
"ENSG00000140471",14,14,1
"ENSG00000140474",21,24,0.875
"ENSG00000140478",1,1,1
"ENSG00000140479",25,29,0.862
"ENSG00000140481",11,12,0.917
"ENSG00000140488",5,5,1
"ENSG00000140497",12,12,1
"ENSG00000140505",1,1,1
"ENSG00000140506",7,10,0.7
"ENSG00000140511",5,5,1
"ENSG00000140519",7,7,1
"ENSG00000140521",23,29,0.793
"ENSG00000140522",4,4,1
"ENSG00000140525",26,27,0.963
"ENSG00000140526",10,10,1
"ENSG00000140527",5,5,1
"ENSG00000140534",3,3,1
"ENSG00000140538",15,19,0.789
"ENSG00000140543",7,8,0.875
"ENSG00000140545",21,23,0.913
"ENSG00000140548",5,5,1
"ENSG00000140553",13,17,0.765
"ENSG00000140557",4,4,1
"ENSG00000140563",8,9,0.889
"ENSG00000140564",9,10,0.9
"ENSG00000140575",18,18,1
"ENSG00000140577",18,18,1
"ENSG00000140598",17,17,1
"ENSG00000140600",6,6,1
"ENSG00000140612",10,10,1
"ENSG00000140623",5,8,0.625
"ENSG00000140632",13,13,1
"ENSG00000140650",26,28,0.929
"ENSG00000140675",7,9,0.778
"ENSG00000140678",6,7,0.857
"ENSG00000140682",16,17,0.941
"ENSG00000140688",10,10,1
"ENSG00000140691",7,7,1
"ENSG00000140694",36,39,0.923
"ENSG00000140718",22,22,1
"ENSG00000140740",13,13,1
"ENSG00000140743",6,7,0.857
"ENSG00000140749",2,3,0.667
"ENSG00000140750",19,20,0.95
"ENSG00000140795",6,7,0.857
"ENSG00000140798",7,14,0.5
"ENSG00000140807",3,3,1
"ENSG00000140829",13,14,0.929
"ENSG00000140830",5,6,0.833
"ENSG00000140832",5,5,1
"ENSG00000140835",3,3,1
"ENSG00000140836",9,9,1
"ENSG00000140839",4,4,1
"ENSG00000140848",10,10,1
"ENSG00000140853",25,29,0.862
"ENSG00000140854",9,10,0.9
"ENSG00000140859",29,35,0.829
"ENSG00000140873",8,9,0.889
"ENSG00000140876",7,7,1
"ENSG00000140905",10,10,1
"ENSG00000140931",11,15,0.733
"ENSG00000140932",3,4,0.75
"ENSG00000140937",18,19,0.947
"ENSG00000140939",12,12,1
"ENSG00000140941",6,6,1
"ENSG00000140943",15,17,0.882
"ENSG00000140945",10,14,0.714
"ENSG00000140948",5,5,1
"ENSG00000140950",9,9,1
"ENSG00000140955",7,9,0.778
"ENSG00000140961",6,8,0.75
"ENSG00000140968",13,18,0.722
"ENSG00000140983",27,28,0.964
"ENSG00000140986",1,3,0.333
"ENSG00000140987",13,13,1
"ENSG00000140988",16,17,0.941
"ENSG00000140990",5,5,1
"ENSG00000140992",15,17,0.882
"ENSG00000140993",7,8,0.875
"ENSG00000140995",29,29,1
"ENSG00000141002",25,26,0.962
"ENSG00000141012",12,13,0.923
"ENSG00000141013",18,20,0.9
"ENSG00000141026",5,5,1
"ENSG00000141027",27,28,0.964
"ENSG00000141028",1,1,1
"ENSG00000141030",17,18,0.944
"ENSG00000141034",5,5,1
"ENSG00000141040",6,6,1
"ENSG00000141052",5,5,1
"ENSG00000141068",18,19,0.947
"ENSG00000141076",15,16,0.938
"ENSG00000141084",8,8,1
"ENSG00000141086",7,8,0.875
"ENSG00000141096",2,3,0.667
"ENSG00000141098",7,7,1
"ENSG00000141101",6,6,1
"ENSG00000141127",25,29,0.862
"ENSG00000141161",3,3,1
"ENSG00000141179",7,8,0.875
"ENSG00000141194",1,2,0.5
"ENSG00000141198",23,23,1
"ENSG00000141219",9,9,1
"ENSG00000141232",3,3,1
"ENSG00000141252",66,72,0.917
"ENSG00000141255",4,14,0.286
"ENSG00000141258",14,14,1
"ENSG00000141279",40,41,0.976
"ENSG00000141293",8,8,1
"ENSG00000141294",5,5,1
"ENSG00000141295",13,13,1
"ENSG00000141298",12,13,0.923
"ENSG00000141314",6,6,1
"ENSG00000141316",4,5,0.8
"ENSG00000141337",8,8,1
"ENSG00000141338",13,14,0.929
"ENSG00000141349",20,20,1
"ENSG00000141367",22,23,0.957
"ENSG00000141371",2,4,0.5
"ENSG00000141376",29,33,0.879
"ENSG00000141378",5,5,1
"ENSG00000141380",23,26,0.885
"ENSG00000141384",3,3,1
"ENSG00000141385",12,12,1
"ENSG00000141391",9,9,1
"ENSG00000141401",12,12,1
"ENSG00000141404",8,10,0.8
"ENSG00000141424",4,4,1
"ENSG00000141425",11,11,1
"ENSG00000141428",8,8,1
"ENSG00000141429",5,6,0.833
"ENSG00000141431",11,17,0.647
"ENSG00000141433",4,4,1
"ENSG00000141434",3,4,0.75
"ENSG00000141437",2,2,1
"ENSG00000141441",3,4,0.75
"ENSG00000141446",3,4,0.75
"ENSG00000141447",16,16,1
"ENSG00000141448",2,2,1
"ENSG00000141449",10,11,0.909
"ENSG00000141452",14,14,1
"ENSG00000141456",14,15,0.933
"ENSG00000141458",14,14,1
"ENSG00000141469",12,20,0.6
"ENSG00000141480",16,20,0.8
"ENSG00000141485",11,12,0.917
"ENSG00000141497",5,6,0.833
"ENSG00000141499",16,16,1
"ENSG00000141503",14,14,1
"ENSG00000141504",14,14,1
"ENSG00000141505",9,9,1
"ENSG00000141506",15,19,0.789
"ENSG00000141510",17,21,0.81
"ENSG00000141519",15,16,0.938
"ENSG00000141522",15,17,0.882
"ENSG00000141524",29,32,0.906
"ENSG00000141526",16,19,0.842
"ENSG00000141527",20,29,0.69
"ENSG00000141540",9,9,1
"ENSG00000141542",11,11,1
"ENSG00000141543",9,9,1
"ENSG00000141551",26,26,1
"ENSG00000141552",22,23,0.957
"ENSG00000141556",53,58,0.914
"ENSG00000141560",8,9,0.889
"ENSG00000141562",25,26,0.962
"ENSG00000141564",9,12,0.75
"ENSG00000141568",12,12,1
"ENSG00000141569",7,7,1
"ENSG00000141570",4,4,1
"ENSG00000141574",6,8,0.75
"ENSG00000141576",10,10,1
"ENSG00000141577",7,8,0.875
"ENSG00000141579",2,2,1
"ENSG00000141580",10,10,1
"ENSG00000141582",3,4,0.75
"ENSG00000141622",7,8,0.875
"ENSG00000141627",18,20,0.9
"ENSG00000141639",6,6,1
"ENSG00000141642",4,4,1
"ENSG00000141644",27,28,0.964
"ENSG00000141646",24,24,1
"ENSG00000141655",4,4,1
"ENSG00000141664",9,11,0.818
"ENSG00000141665",12,14,0.857
"ENSG00000141668",5,9,0.556
"ENSG00000141682",3,3,1
"ENSG00000141696",7,8,0.875
"ENSG00000141698",16,16,1
"ENSG00000141699",12,12,1
"ENSG00000141736",22,22,1
"ENSG00000141738",11,14,0.786
"ENSG00000141741",6,6,1
"ENSG00000141744",3,3,1
"ENSG00000141748",5,5,1
"ENSG00000141750",2,2,1
"ENSG00000141753",1,1,1
"ENSG00000141756",10,10,1
"ENSG00000141759",12,12,1
"ENSG00000141837",53,59,0.898
"ENSG00000141854",4,4,1
"ENSG00000141858",2,3,0.667
"ENSG00000141867",12,13,0.923
"ENSG00000141873",6,6,1
"ENSG00000141905",11,11,1
"ENSG00000141933",2,2,1
"ENSG00000141934",6,8,0.75
"ENSG00000141946",1,1,1
"ENSG00000141956",13,14,0.929
"ENSG00000141959",10,12,0.833
"ENSG00000141965",1,1,1
"ENSG00000141968",10,10,1
"ENSG00000141971",13,13,1
"ENSG00000141977",2,4,0.5
"ENSG00000141979",1,1,1
"ENSG00000141985",6,6,1
"ENSG00000141994",15,15,1
"ENSG00000142002",26,29,0.897
"ENSG00000142039",3,3,1
"ENSG00000142046",13,14,0.929
"ENSG00000142065",2,2,1
"ENSG00000142082",16,16,1
"ENSG00000142089",19,26,0.731
"ENSG00000142102",8,8,1
"ENSG00000142149",4,4,1
"ENSG00000142156",8,9,0.889
"ENSG00000142166",28,28,1
"ENSG00000142168",4,4,1
"ENSG00000142173",7,7,1
"ENSG00000142178",2,6,0.333
"ENSG00000142182",1,4,0.25
"ENSG00000142185",5,7,0.714
"ENSG00000142186",14,14,1
"ENSG00000142188",9,10,0.9
"ENSG00000142192",20,20,1
"ENSG00000142197",6,6,1
"ENSG00000142207",3,3,1
"ENSG00000142208",22,22,1
"ENSG00000142224",4,6,0.667
"ENSG00000142227",9,9,1
"ENSG00000142230",14,14,1
"ENSG00000142233",3,3,1
"ENSG00000142235",6,7,0.857
"ENSG00000142252",5,5,1
"ENSG00000142273",3,3,1
"ENSG00000142279",2,2,1
"ENSG00000142303",14,14,1
"ENSG00000142319",3,3,1
"ENSG00000142327",8,10,0.8
"ENSG00000142330",16,16,1
"ENSG00000142347",17,22,0.773
"ENSG00000142396",8,8,1
"ENSG00000142405",6,6,1
"ENSG00000142408",1,1,1
"ENSG00000142409",3,3,1
"ENSG00000142444",3,3,1
"ENSG00000142449",9,9,1
"ENSG00000142453",10,10,1
"ENSG00000142459",5,7,0.714
"ENSG00000142484",1,2,0.5
"ENSG00000142494",14,14,1
"ENSG00000142507",5,5,1
"ENSG00000142511",1,1,1
"ENSG00000142512",7,11,0.636
"ENSG00000142513",1,1,1
"ENSG00000142515",7,15,0.467
"ENSG00000142528",9,9,1
"ENSG00000142530",6,6,1
"ENSG00000142534",9,9,1
"ENSG00000142538",1,1,1
"ENSG00000142539",1,1,1
"ENSG00000142541",22,22,1
"ENSG00000142544",1,1,1
"ENSG00000142546",16,16,1
"ENSG00000142549",1,1,1
"ENSG00000142552",3,5,0.6
"ENSG00000142556",4,4,1
"ENSG00000142583",8,10,0.8
"ENSG00000142599",19,22,0.864
"ENSG00000142606",8,9,0.889
"ENSG00000142609",8,10,0.8
"ENSG00000142611",10,10,1
"ENSG00000142615",3,3,1
"ENSG00000142619",1,1,1
"ENSG00000142621",19,24,0.792
"ENSG00000142623",3,4,0.75
"ENSG00000142627",4,4,1
"ENSG00000142632",6,6,1
"ENSG00000142634",2,2,1
"ENSG00000142655",4,4,1
"ENSG00000142657",10,10,1
"ENSG00000142661",3,4,0.75
"ENSG00000142669",2,2,1
"ENSG00000142675",13,14,0.929
"ENSG00000142676",6,6,1
"ENSG00000142677",1,1,1
"ENSG00000142684",2,2,1
"ENSG00000142686",3,3,1
"ENSG00000142687",53,54,0.981
"ENSG00000142694",2,2,1
"ENSG00000142698",2,2,1
"ENSG00000142700",2,2,1
"ENSG00000142731",11,11,1
"ENSG00000142733",8,8,1
"ENSG00000142748",5,6,0.833
"ENSG00000142751",4,5,0.8
"ENSG00000142765",11,11,1
"ENSG00000142784",5,5,1
"ENSG00000142789",2,3,0.667
"ENSG00000142794",10,13,0.769
"ENSG00000142798",14,15,0.933
"ENSG00000142856",14,14,1
"ENSG00000142864",8,8,1
"ENSG00000142867",5,5,1
"ENSG00000142871",6,6,1
"ENSG00000142875",17,17,1
"ENSG00000142892",5,5,1
"ENSG00000142910",10,11,0.909
"ENSG00000142920",19,20,0.95
"ENSG00000142937",8,8,1
"ENSG00000142945",8,8,1
"ENSG00000142949",14,16,0.875
"ENSG00000142959",1,1,1
"ENSG00000142961",3,3,1
"ENSG00000142973",8,13,0.615
"ENSG00000143001",1,1,1
"ENSG00000143006",2,2,1
"ENSG00000143013",4,4,1
"ENSG00000143028",2,2,1
"ENSG00000143032",1,1,1
"ENSG00000143033",14,14,1
"ENSG00000143036",10,10,1
"ENSG00000143061",4,4,1
"ENSG00000143067",1,1,1
"ENSG00000143079",4,4,1
"ENSG00000143093",9,9,1
"ENSG00000143105",1,1,1
"ENSG00000143106",5,6,0.833
"ENSG00000143107",1,2,0.5
"ENSG00000143110",3,3,1
"ENSG00000143119",6,6,1
"ENSG00000143125",1,1,1
"ENSG00000143126",4,4,1
"ENSG00000143127",4,4,1
"ENSG00000143147",11,11,1
"ENSG00000143149",5,5,1
"ENSG00000143153",17,19,0.895
"ENSG00000143155",2,2,1
"ENSG00000143156",14,14,1
"ENSG00000143157",3,3,1
"ENSG00000143158",3,3,1
"ENSG00000143162",2,2,1
"ENSG00000143164",12,12,1
"ENSG00000143167",3,4,0.75
"ENSG00000143171",4,4,1
"ENSG00000143178",4,4,1
"ENSG00000143179",9,9,1
"ENSG00000143183",8,8,1
"ENSG00000143184",1,1,1
"ENSG00000143185",1,1,1
"ENSG00000143190",16,17,0.941
"ENSG00000143194",5,6,0.833
"ENSG00000143195",8,9,0.889
"ENSG00000143196",1,1,1
"ENSG00000143198",13,14,0.929
"ENSG00000143199",4,5,0.8
"ENSG00000143207",11,11,1
"ENSG00000143217",2,2,1
"ENSG00000143222",6,6,1
"ENSG00000143224",26,27,0.963
"ENSG00000143226",8,17,0.471
"ENSG00000143228",12,12,1
"ENSG00000143248",12,12,1
"ENSG00000143252",8,8,1
"ENSG00000143256",2,2,1
"ENSG00000143257",7,35,0.2
"ENSG00000143258",10,11,0.909
"ENSG00000143294",7,7,1
"ENSG00000143297",6,8,0.75
"ENSG00000143303",11,11,1
"ENSG00000143314",6,6,1
"ENSG00000143315",1,1,1
"ENSG00000143318",3,3,1
"ENSG00000143319",6,6,1
"ENSG00000143320",4,4,1
"ENSG00000143321",10,10,1
"ENSG00000143322",11,14,0.786
"ENSG00000143324",5,5,1
"ENSG00000143333",1,1,1
"ENSG00000143337",11,12,0.917
"ENSG00000143340",1,1,1
"ENSG00000143341",5,5,1
"ENSG00000143344",2,2,1
"ENSG00000143353",12,12,1
"ENSG00000143355",6,8,0.75
"ENSG00000143363",11,11,1
"ENSG00000143365",10,11,0.909
"ENSG00000143367",5,6,0.833
"ENSG00000143368",2,2,1
"ENSG00000143369",6,7,0.857
"ENSG00000143373",7,7,1
"ENSG00000143374",13,13,1
"ENSG00000143375",8,8,1
"ENSG00000143376",17,18,0.944
"ENSG00000143379",19,20,0.95
"ENSG00000143382",7,8,0.875
"ENSG00000143384",8,8,1
"ENSG00000143387",15,20,0.75
"ENSG00000143390",19,21,0.905
"ENSG00000143393",13,13,1
"ENSG00000143398",16,17,0.941
"ENSG00000143401",9,10,0.9
"ENSG00000143409",7,7,1
"ENSG00000143412",2,2,1
"ENSG00000143416",17,19,0.895
"ENSG00000143418",14,14,1
"ENSG00000143420",15,15,1
"ENSG00000143429",1,1,1
"ENSG00000143434",8,8,1
"ENSG00000143436",10,11,0.909
"ENSG00000143437",12,12,1
"ENSG00000143442",22,23,0.957
"ENSG00000143443",3,3,1
"ENSG00000143450",8,9,0.889
"ENSG00000143452",1,8,0.125
"ENSG00000143457",3,3,1
"ENSG00000143458",6,6,1
"ENSG00000143469",8,10,0.8
"ENSG00000143473",18,19,0.947
"ENSG00000143476",6,6,1
"ENSG00000143479",5,6,0.833
"ENSG00000143486",11,11,1
"ENSG00000143493",11,11,1
"ENSG00000143494",12,12,1
"ENSG00000143498",7,7,1
"ENSG00000143499",6,6,1
"ENSG00000143502",15,17,0.882
"ENSG00000143507",4,4,1
"ENSG00000143512",3,4,0.75
"ENSG00000143514",12,13,0.923
"ENSG00000143515",8,8,1
"ENSG00000143520",1,1,1
"ENSG00000143536",1,1,1
"ENSG00000143537",30,32,0.938
"ENSG00000143543",6,6,1
"ENSG00000143545",4,5,0.8
"ENSG00000143546",1,3,0.333
"ENSG00000143549",26,27,0.963
"ENSG00000143552",3,3,1
"ENSG00000143553",4,4,1
"ENSG00000143554",12,13,0.923
"ENSG00000143556",1,2,0.5
"ENSG00000143569",20,21,0.952
"ENSG00000143570",10,10,1
"ENSG00000143575",23,24,0.958
"ENSG00000143578",13,13,1
"ENSG00000143590",3,3,1
"ENSG00000143595",3,3,1
"ENSG00000143603",5,5,1
"ENSG00000143612",11,11,1
"ENSG00000143614",6,13,0.462
"ENSG00000143621",4,5,0.8
"ENSG00000143622",10,10,1
"ENSG00000143624",11,11,1
"ENSG00000143627",2,3,0.667
"ENSG00000143630",4,4,1
"ENSG00000143631",1,1,1
"ENSG00000143632",3,3,1
"ENSG00000143633",8,8,1
"ENSG00000143641",5,5,1
"ENSG00000143643",9,9,1
"ENSG00000143653",1,1,1
"ENSG00000143669",28,30,0.933
"ENSG00000143674",3,3,1
"ENSG00000143702",24,25,0.96
"ENSG00000143727",13,13,1
"ENSG00000143740",28,30,0.933
"ENSG00000143742",9,9,1
"ENSG00000143748",21,24,0.875
"ENSG00000143751",1,1,1
"ENSG00000143753",4,4,1
"ENSG00000143756",5,5,1
"ENSG00000143761",12,12,1
"ENSG00000143768",3,3,1
"ENSG00000143771",8,8,1
"ENSG00000143772",3,3,1
"ENSG00000143774",33,33,1
"ENSG00000143776",13,14,0.929
"ENSG00000143786",13,14,0.929
"ENSG00000143793",7,7,1
"ENSG00000143797",10,10,1
"ENSG00000143799",22,26,0.846
"ENSG00000143801",35,37,0.946
"ENSG00000143811",8,8,1
"ENSG00000143815",9,9,1
"ENSG00000143816",1,1,1
"ENSG00000143819",5,5,1
"ENSG00000143839",2,2,1
"ENSG00000143842",9,10,0.9
"ENSG00000143845",9,11,0.818
"ENSG00000143847",14,15,0.933
"ENSG00000143850",6,6,1
"ENSG00000143851",6,20,0.3
"ENSG00000143858",2,2,1
"ENSG00000143862",4,4,1
"ENSG00000143867",3,3,1
"ENSG00000143869",1,1,1
"ENSG00000143870",6,8,0.75
"ENSG00000143878",1,1,1
"ENSG00000143882",5,5,1
"ENSG00000143889",12,12,1
"ENSG00000143891",5,5,1
"ENSG00000143919",9,9,1
"ENSG00000143921",2,3,0.667
"ENSG00000143924",8,8,1
"ENSG00000143933",14,14,1
"ENSG00000143942",1,1,1
"ENSG00000143947",10,10,1
"ENSG00000143951",16,17,0.941
"ENSG00000143952",4,4,1
"ENSG00000143954",3,5,0.6
"ENSG00000143970",6,7,0.857
"ENSG00000143971",4,4,1
"ENSG00000143977",9,9,1
"ENSG00000143994",8,8,1
"ENSG00000143995",17,17,1
"ENSG00000144010",1,1,1
"ENSG00000144015",1,1,1
"ENSG00000144021",4,4,1
"ENSG00000144026",9,9,1
"ENSG00000144028",9,9,1
"ENSG00000144029",14,15,0.933
"ENSG00000144031",6,7,0.857
"ENSG00000144034",10,10,1
"ENSG00000144035",1,1,1
"ENSG00000144036",8,9,0.889
"ENSG00000144040",20,22,0.909
"ENSG00000144043",7,7,1
"ENSG00000144045",7,8,0.875
"ENSG00000144048",11,13,0.846
"ENSG00000144057",4,5,0.8
"ENSG00000144061",21,22,0.955
"ENSG00000144063",3,3,1
"ENSG00000144115",9,13,0.692
"ENSG00000144118",7,8,0.875
"ENSG00000144119",1,1,1
"ENSG00000144120",6,6,1
"ENSG00000144130",6,9,0.667
"ENSG00000144134",19,19,1
"ENSG00000144136",9,9,1
"ENSG00000144152",7,7,1
"ENSG00000144158",1,1,1
"ENSG00000144161",6,6,1
"ENSG00000144182",7,8,0.875
"ENSG00000144188",1,1,1
"ENSG00000144191",4,4,1
"ENSG00000144199",6,6,1
"ENSG00000144214",2,2,1
"ENSG00000144218",22,28,0.786
"ENSG00000144224",8,8,1
"ENSG00000144227",1,1,1
"ENSG00000144228",4,4,1
"ENSG00000144229",3,4,0.75
"ENSG00000144230",3,6,0.5
"ENSG00000144231",4,4,1
"ENSG00000144233",12,14,0.857
"ENSG00000144278",10,10,1
"ENSG00000144283",17,17,1
"ENSG00000144285",22,25,0.88
"ENSG00000144290",11,12,0.917
"ENSG00000144306",14,14,1
"ENSG00000144320",11,12,0.917
"ENSG00000144331",11,13,0.846
"ENSG00000144339",4,4,1
"ENSG00000144354",14,14,1
"ENSG00000144355",7,7,1
"ENSG00000144357",9,10,0.9
"ENSG00000144362",7,8,0.875
"ENSG00000144366",20,20,1
"ENSG00000144369",1,1,1
"ENSG00000144381",24,24,1
"ENSG00000144395",19,19,1
"ENSG00000144401",13,13,1
"ENSG00000144406",10,10,1
"ENSG00000144407",4,4,1
"ENSG00000144410",1,1,1
"ENSG00000144426",21,24,0.875
"ENSG00000144445",10,11,0.909
"ENSG00000144451",10,11,0.909
"ENSG00000144452",3,3,1
"ENSG00000144455",8,8,1
"ENSG00000144460",4,4,1
"ENSG00000144468",14,15,0.933
"ENSG00000144476",2,2,1
"ENSG00000144481",13,14,0.929
"ENSG00000144485",9,9,1
"ENSG00000144488",4,6,0.667
"ENSG00000144504",23,24,0.958
"ENSG00000144524",24,25,0.96
"ENSG00000144535",14,14,1
"ENSG00000144550",3,4,0.75
"ENSG00000144554",17,18,0.944
"ENSG00000144559",12,12,1
"ENSG00000144560",17,18,0.944
"ENSG00000144566",8,8,1
"ENSG00000144567",10,10,1
"ENSG00000144579",14,19,0.737
"ENSG00000144580",7,8,0.875
"ENSG00000144583",1,1,1
"ENSG00000144589",14,14,1
"ENSG00000144591",41,48,0.854
"ENSG00000144596",7,7,1
"ENSG00000144597",2,3,0.667
"ENSG00000144619",17,17,1
"ENSG00000144635",8,8,1
"ENSG00000144642",19,20,0.95
"ENSG00000144644",3,3,1
"ENSG00000144645",15,20,0.75
"ENSG00000144647",7,8,0.875
"ENSG00000144648",10,11,0.909
"ENSG00000144649",13,14,0.929
"ENSG00000144655",2,2,1
"ENSG00000144659",7,9,0.778
"ENSG00000144668",3,4,0.75
"ENSG00000144671",3,4,0.75
"ENSG00000144674",14,16,0.875
"ENSG00000144677",7,8,0.875
"ENSG00000144681",7,8,0.875
"ENSG00000144711",9,10,0.9
"ENSG00000144712",5,6,0.833
"ENSG00000144713",8,8,1
"ENSG00000144724",7,7,1
"ENSG00000144730",6,7,0.857
"ENSG00000144736",6,8,0.75
"ENSG00000144741",20,22,0.909
"ENSG00000144744",11,12,0.917
"ENSG00000144746",5,5,1
"ENSG00000144747",7,7,1
"ENSG00000144749",8,9,0.889
"ENSG00000144771",2,2,1
"ENSG00000144785",3,3,1
"ENSG00000144791",4,4,1
"ENSG00000144792",4,4,1
"ENSG00000144802",11,11,1
"ENSG00000144810",9,9,1
"ENSG00000144815",28,33,0.848
"ENSG00000144820",3,5,0.6
"ENSG00000144821",3,5,0.6
"ENSG00000144824",16,18,0.889
"ENSG00000144827",5,5,1
"ENSG00000144834",7,7,1
"ENSG00000144837",4,6,0.667
"ENSG00000144840",8,9,0.889
"ENSG00000144843",6,7,0.857
"ENSG00000144847",7,10,0.7
"ENSG00000144848",8,9,0.889
"ENSG00000144852",4,5,0.8
"ENSG00000144857",18,18,1
"ENSG00000144867",6,6,1
"ENSG00000144868",11,11,1
"ENSG00000144891",4,9,0.444
"ENSG00000144893",12,14,0.857
"ENSG00000144895",16,16,1
"ENSG00000144908",16,18,0.889
"ENSG00000144909",1,1,1
"ENSG00000144935",4,4,1
"ENSG00000144959",5,6,0.833
"ENSG00000144962",1,2,0.5
"ENSG00000145002",7,7,1
"ENSG00000145012",22,23,0.957
"ENSG00000145014",13,14,0.929
"ENSG00000145016",11,11,1
"ENSG00000145020",48,57,0.842
"ENSG00000145022",6,6,1
"ENSG00000145029",7,7,1
"ENSG00000145040",1,1,1
"ENSG00000145041",3,3,1
"ENSG00000145050",5,5,1
"ENSG00000145063",6,8,0.75
"ENSG00000145075",1,2,0.5
"ENSG00000145087",7,9,0.778
"ENSG00000145088",5,5,1
"ENSG00000145103",5,5,1
"ENSG00000145107",3,4,0.75
"ENSG00000145113",12,22,0.545
"ENSG00000145147",12,12,1
"ENSG00000145191",31,31,1
"ENSG00000145192",3,3,1
"ENSG00000145194",8,9,0.889
"ENSG00000145198",7,7,1
"ENSG00000145214",4,5,0.8
"ENSG00000145216",51,66,0.773
"ENSG00000145217",5,5,1
"ENSG00000145220",3,4,0.75
"ENSG00000145241",7,7,1
"ENSG00000145242",6,6,1
"ENSG00000145244",10,11,0.909
"ENSG00000145246",6,7,0.857
"ENSG00000145247",9,10,0.9
"ENSG00000145248",2,2,1
"ENSG00000145283",2,2,1
"ENSG00000145284",2,2,1
"ENSG00000145287",6,6,1
"ENSG00000145293",3,3,1
"ENSG00000145309",1,1,1
"ENSG00000145321",6,8,0.75
"ENSG00000145331",7,7,1
"ENSG00000145332",8,8,1
"ENSG00000145335",15,17,0.882
"ENSG00000145337",1,1,1
"ENSG00000145348",18,19,0.947
"ENSG00000145349",28,38,0.737
"ENSG00000145354",5,5,1
"ENSG00000145358",3,3,1
"ENSG00000145362",83,128,0.648
"ENSG00000145365",3,3,1
"ENSG00000145375",5,5,1
"ENSG00000145384",1,1,1
"ENSG00000145386",1,1,1
"ENSG00000145388",6,6,1
"ENSG00000145390",10,11,0.909
"ENSG00000145391",6,7,0.857
"ENSG00000145414",6,6,1
"ENSG00000145416",15,15,1
"ENSG00000145423",1,1,1
"ENSG00000145425",14,14,1
"ENSG00000145428",9,9,1
"ENSG00000145431",9,9,1
"ENSG00000145439",7,7,1
"ENSG00000145451",2,4,0.5
"ENSG00000145476",4,4,1
"ENSG00000145491",5,5,1
"ENSG00000145494",3,3,1
"ENSG00000145495",14,14,1
"ENSG00000145506",5,5,1
"ENSG00000145526",12,12,1
"ENSG00000145536",3,4,0.75
"ENSG00000145545",4,4,1
"ENSG00000145555",12,12,1
"ENSG00000145569",3,3,1
"ENSG00000145592",6,6,1
"ENSG00000145604",25,26,0.962
"ENSG00000145623",5,5,1
"ENSG00000145626",7,7,1
"ENSG00000145632",15,15,1
"ENSG00000145642",5,5,1
"ENSG00000145649",1,1,1
"ENSG00000145675",27,33,0.818
"ENSG00000145681",6,7,0.857
"ENSG00000145685",7,8,0.875
"ENSG00000145687",20,20,1
"ENSG00000145692",6,6,1
