"gene","n_detected_iso","n_annotated_iso","frac_detected"
"ENSG00000070718",16,16,1
"ENSG00000070729",8,9,0.889
"ENSG00000070731",9,9,1
"ENSG00000070748",6,11,0.545
"ENSG00000070756",34,39,0.872
"ENSG00000070759",4,4,1
"ENSG00000070761",7,7,1
"ENSG00000070770",7,8,0.875
"ENSG00000070778",9,9,1
"ENSG00000070785",10,10,1
"ENSG00000070808",22,23,0.957
"ENSG00000070814",19,20,0.95
"ENSG00000070831",20,24,0.833
"ENSG00000070882",11,14,0.786
"ENSG00000070886",2,2,1
"ENSG00000070915",4,6,0.667
"ENSG00000070950",10,10,1
"ENSG00000070961",10,11,0.909
"ENSG00000070985",3,4,0.75
"ENSG00000071051",5,6,0.833
"ENSG00000071054",18,18,1
"ENSG00000071073",9,9,1
"ENSG00000071082",11,11,1
"ENSG00000071127",29,31,0.935
"ENSG00000071189",10,13,0.769
"ENSG00000071203",1,5,0.2
"ENSG00000071205",7,7,1
"ENSG00000071242",10,13,0.769
"ENSG00000071243",5,6,0.833
"ENSG00000071246",4,5,0.8
"ENSG00000071282",7,7,1
"ENSG00000071462",1,1,1
"ENSG00000071537",6,6,1
"ENSG00000071539",7,7,1
"ENSG00000071553",13,14,0.929
"ENSG00000071564",21,21,1
"ENSG00000071575",4,4,1
"ENSG00000071626",11,11,1
"ENSG00000071655",10,11,0.909
"ENSG00000071794",9,9,1
"ENSG00000071859",7,7,1
"ENSG00000071889",20,22,0.909
"ENSG00000071894",14,14,1
"ENSG00000071909",9,9,1
"ENSG00000071967",7,7,1
"ENSG00000071991",4,5,0.8
"ENSG00000071994",14,15,0.933
"ENSG00000072041",43,45,0.956
"ENSG00000072042",11,11,1
"ENSG00000072062",10,13,0.769
"ENSG00000072071",8,8,1
"ENSG00000072080",3,4,0.75
"ENSG00000072110",41,47,0.872
"ENSG00000072121",16,16,1
"ENSG00000072133",4,6,0.667
"ENSG00000072134",24,27,0.889
"ENSG00000072135",16,16,1
"ENSG00000072163",15,18,0.833
"ENSG00000072182",6,6,1
"ENSG00000072195",16,22,0.727
"ENSG00000072201",7,9,0.778
"ENSG00000072210",38,42,0.905
"ENSG00000072274",34,38,0.895
"ENSG00000072310",20,24,0.833
"ENSG00000072315",1,1,1
"ENSG00000072364",9,9,1
"ENSG00000072401",4,4,1
"ENSG00000072415",13,13,1
"ENSG00000072422",6,6,1
"ENSG00000072501",8,8,1
"ENSG00000072506",9,9,1
"ENSG00000072518",17,24,0.708
"ENSG00000072571",8,8,1
"ENSG00000072609",21,24,0.875
"ENSG00000072657",4,7,0.571
"ENSG00000072682",18,21,0.857
"ENSG00000072694",3,6,0.5
"ENSG00000072736",19,22,0.864
"ENSG00000072756",31,31,1
"ENSG00000072778",39,39,1
"ENSG00000072786",15,16,0.938
"ENSG00000072803",11,12,0.917
"ENSG00000072818",12,12,1
"ENSG00000072832",6,6,1
"ENSG00000072840",5,5,1
"ENSG00000072849",13,13,1
"ENSG00000072858",8,12,0.667
"ENSG00000072864",19,22,0.864
"ENSG00000072952",14,16,0.875
"ENSG00000072954",2,3,0.667
"ENSG00000072958",15,15,1
"ENSG00000073008",11,12,0.917
"ENSG00000073050",9,9,1
"ENSG00000073060",21,22,0.955
"ENSG00000073067",4,5,0.8
"ENSG00000073111",8,9,0.889
"ENSG00000073146",7,9,0.778
"ENSG00000073150",3,3,1
"ENSG00000073169",2,2,1
"ENSG00000073282",9,14,0.643
"ENSG00000073331",18,19,0.947
"ENSG00000073350",21,22,0.955
"ENSG00000073417",14,16,0.875
"ENSG00000073464",8,8,1
