gene	H2	non_ase	H1
ENSG00000142669	no	yes	no
ENSG00000172053	no	yes	no
ENSG00000155897	no	yes	no
ENSG00000170324	yes	yes	yes
ENSG00000097046	yes	yes	yes
ENSG00000162490	no	yes	no
ENSG00000125534	no	yes	no
ENSG00000173404	no	yes	no
ENSG00000140093	no	yes	no
ENSG00000116604	no	yes	no
ENSG00000159248	no	yes	no
ENSG00000115163	no	yes	no
ENSG00000119547	no	yes	no
ENSG00000086061	no	yes	no
ENSG00000106399	no	yes	no
ENSG00000125835	no	yes	no
ENSG00000137727	no	yes	no
ENSG00000205592	yes	yes	yes
ENSG00000128656	no	yes	no
ENSG00000108406	no	yes	no
ENSG00000127084	no	yes	no
ENSG00000137812	yes	yes	yes
ENSG00000151892	no	yes	yes
ENSG00000163092	no	yes	no
ENSG00000106086	no	yes	no
ENSG00000107187	no	yes	no
ENSG00000157388	no	yes	no
ENSG00000182180	no	yes	no
ENSG00000134057	no	yes	no
ENSG00000172954	no	yes	no
ENSG00000101079	no	yes	no
ENSG00000118402	no	yes	no
ENSG00000215018	no	yes	no
ENSG00000181163	no	yes	no
ENSG00000138207	no	yes	no
ENSG00000172086	no	yes	no
ENSG00000132958	no	yes	no
ENSG00000143297	no	yes	no
ENSG00000145604	no	yes	no
ENSG00000069493	no	yes	no
ENSG00000121211	yes	yes	no
ENSG00000137868	no	yes	no
ENSG00000156535	no	yes	no
ENSG00000198336	no	yes	no
ENSG00000198743	no	yes	yes
ENSG00000243927	yes	yes	yes
ENSG00000174871	no	yes	no
ENSG00000171451	no	yes	no
ENSG00000124788	no	yes	no
ENSG00000147481	no	yes	no
ENSG00000154269	no	yes	no
ENSG00000170385	no	yes	no
ENSG00000074621	no	yes	no
ENSG00000107833	no	yes	no
ENSG00000109189	no	yes	no
ENSG00000111052	no	yes	no
ENSG00000124812	no	yes	no
ENSG00000136436	no	yes	no
ENSG00000144847	yes	yes	no
ENSG00000147145	no	yes	no
ENSG00000156042	no	yes	no
ENSG00000161692	no	yes	no
ENSG00000173207	no	yes	no
ENSG00000174799	no	yes	no
ENSG00000179869	no	yes	no
ENSG00000188215	no	yes	no
ENSG00000197140	no	yes	no
ENSG00000213722	no	yes	no
ENSG00000214944	no	yes	no
ENSG00000240583	no	yes	no
ENSG00000241697	no	yes	no
ENSG00000273983	no	yes	no
ENSG00000276966	no	yes	no
ENSG00000162733	no	yes	no
ENSG00000116014	no	yes	no
ENSG00000139352	no	yes	no
ENSG00000105438	no	yes	no
ENSG00000087250	no	yes	no
ENSG00000156564	no	yes	no
ENSG00000184545	no	yes	no
ENSG00000185189	no	yes	no
ENSG00000134363	no	yes	no
ENSG00000161800	no	yes	no
ENSG00000196591	no	yes	no
ENSG00000111445	no	yes	no
ENSG00000287080	no	yes	no
ENSG00000213347	no	yes	no
ENSG00000004838	no	yes	no
ENSG00000130234	no	yes	no
ENSG00000196139	no	yes	no
ENSG00000120699	no	yes	no
ENSG00000167535	no	yes	no
ENSG00000171723	no	yes	no
ENSG00000198911	no	yes	no
ENSG00000144476	no	yes	no
ENSG00000160781	yes	yes	no
ENSG00000184571	no	yes	no
ENSG00000172175	no	yes	no
ENSG00000214595	no	yes	no
ENSG00000139354	no	yes	no
ENSG00000082175	no	yes	yes
ENSG00000089818	no	yes	no
ENSG00000123095	yes	yes	yes
ENSG00000131153	no	yes	no
ENSG00000144045	no	yes	no
ENSG00000156219	no	yes	no
ENSG00000167654	no	yes	no
ENSG00000167770	no	yes	no
ENSG00000172687	yes	yes	no
ENSG00000184613	no	yes	no
ENSG00000186684	no	yes	no
ENSG00000221983	no	yes	no
ENSG00000273802	no	yes	no
ENSG00000149591	no	yes	no
ENSG00000164109	no	yes	no
ENSG00000189091	no	yes	no
ENSG00000145741	no	yes	no
ENSG00000175928	yes	yes	yes
ENSG00000000419	no	yes	no
ENSG00000006634	no	yes	no
ENSG00000086717	no	yes	no
ENSG00000090447	no	yes	no
ENSG00000114279	no	yes	yes
ENSG00000137393	no	yes	no
ENSG00000138382	no	yes	no
ENSG00000140853	no	yes	no
ENSG00000145113	no	yes	no
ENSG00000178951	no	yes	no
ENSG00000185404	no	yes	no
ENSG00000198838	no	yes	no
ENSG00000198901	no	yes	no
ENSG00000234965	no	yes	no
ENSG00000278705	no	yes	no
ENSG00000113648	no	yes	no
ENSG00000166925	no	yes	no
ENSG00000213160	no	yes	no
ENSG00000134690	yes	yes	yes
ENSG00000145425	no	yes	no
ENSG00000162843	no	yes	no
ENSG00000133302	no	yes	yes
ENSG00000066044	no	yes	no
ENSG00000168411	no	yes	no
ENSG00000137038	no	yes	no
ENSG00000026508	no	yes	no
ENSG00000106078	yes	yes	no
ENSG00000171863	no	yes	no
ENSG00000177156	no	yes	no
ENSG00000117906	no	yes	no
ENSG00000170820	no	yes	no
ENSG00000136052	no	yes	no
ENSG00000120693	no	yes	no
ENSG00000185985	no	yes	no
ENSG00000163032	no	yes	no
ENSG00000186439	no	yes	no
ENSG00000184838	no	yes	yes
ENSG00000140090	no	yes	no
ENSG00000172922	no	yes	no
ENSG00000176619	no	yes	yes
ENSG00000185262	no	yes	no
ENSG00000103319	no	yes	no
ENSG00000089847	yes	yes	no
ENSG00000100401	no	yes	no
ENSG00000197903	no	yes	no
ENSG00000171345	no	yes	no
ENSG00000079482	no	yes	no
ENSG00000031691	no	yes	yes
ENSG00000058804	no	yes	no
ENSG00000088930	no	yes	no
ENSG00000089157	no	yes	no
ENSG00000133460	no	yes	no
ENSG00000135390	no	yes	no
ENSG00000136108	no	yes	no
ENSG00000165533	no	yes	no
ENSG00000169282	no	yes	no
ENSG00000286920	no	yes	no
ENSG00000163918	no	yes	no
ENSG00000137166	no	yes	no
ENSG00000004468	no	yes	no
ENSG00000101447	yes	yes	yes
ENSG00000122952	no	yes	no
ENSG00000124207	yes	yes	yes
ENSG00000136490	no	yes	no
ENSG00000138363	no	yes	no
ENSG00000145864	no	yes	no
ENSG00000149452	no	yes	no
ENSG00000165060	no	yes	no
ENSG00000197057	no	yes	no
ENSG00000109047	no	yes	no
ENSG00000070882	no	yes	no
ENSG00000087266	no	yes	no
ENSG00000071082	no	yes	no
ENSG00000099814	no	yes	no
ENSG00000101220	no	yes	no
ENSG00000115128	no	yes	no
ENSG00000117151	no	yes	no
ENSG00000144191	no	yes	no
ENSG00000146276	no	yes	no
ENSG00000163655	no	yes	no
ENSG00000172531	no	yes	no
ENSG00000165609	no	yes	no
ENSG00000065057	no	yes	no
ENSG00000145526	no	yes	no
ENSG00000205336	no	yes	no
ENSG00000164035	no	yes	no
ENSG00000093000	no	yes	no
ENSG00000213281	no	yes	no
ENSG00000138346	no	yes	no
ENSG00000134121	no	yes	no
ENSG00000111886	no	yes	no
ENSG00000152253	no	yes	no
ENSG00000154258	no	yes	no
ENSG00000001167	no	yes	no
ENSG00000106588	no	yes	no
ENSG00000181381	no	yes	no
ENSG00000085840	no	yes	no
ENSG00000160345	no	yes	no
ENSG00000170485	no	yes	no
ENSG00000116852	no	yes	no
ENSG00000179292	no	yes	no
ENSG00000124802	no	yes	no
ENSG00000165997	no	yes	no
ENSG00000197430	no	yes	no
ENSG00000198133	no	yes	no
ENSG00000158406	no	yes	no
ENSG00000104267	yes	yes	yes
ENSG00000120963	no	yes	no
ENSG00000243678	no	yes	no
ENSG00000110042	no	yes	yes
ENSG00000170279	yes	yes	yes
ENSG00000137474	yes	yes	no
ENSG00000172456	no	yes	no
ENSG00000166589	no	yes	no
ENSG00000111837	no	yes	no
ENSG00000091137	no	yes	no
ENSG00000164305	no	yes	no
ENSG00000125347	no	yes	no
ENSG00000105894	no	yes	yes
ENSG00000143702	no	yes	no
ENSG00000163638	no	yes	no
ENSG00000168246	no	yes	no
ENSG00000224389	no	yes	no
ENSG00000177570	no	yes	no
ENSG00000182732	no	yes	no
ENSG00000086300	no	yes	no
ENSG00000151552	yes	yes	yes
ENSG00000169224	no	yes	no
ENSG00000197702	no	yes	no
ENSG00000051382	no	yes	no
ENSG00000091651	no	yes	no
ENSG00000099260	no	yes	no
ENSG00000100505	no	yes	no
ENSG00000117399	no	yes	no
ENSG00000117600	no	yes	no
ENSG00000164796	no	yes	no
ENSG00000188153	no	yes	no
ENSG00000185787	no	yes	no
ENSG00000183943	no	yes	no
ENSG00000134825	no	yes	no
ENSG00000022355	no	yes	no
ENSG00000111348	no	yes	no
ENSG00000164087	no	yes	no
ENSG00000015133	no	yes	no
ENSG00000162998	no	yes	no
ENSG00000181143	no	yes	no
ENSG00000106571	yes	yes	yes
ENSG00000152969	no	yes	no
ENSG00000168005	no	yes	yes
ENSG00000134824	no	yes	no
ENSG00000153404	no	yes	no
ENSG00000164746	no	yes	no
ENSG00000144355	no	yes	no
ENSG00000169432	no	yes	no
ENSG00000227877	no	yes	no
ENSG00000102048	no	yes	no
ENSG00000180573	no	yes	no
ENSG00000138161	no	yes	no
ENSG00000123243	no	yes	no
ENSG00000197410	no	yes	yes
ENSG00000103485	no	yes	no
ENSG00000185009	no	yes	no
ENSG00000073849	no	yes	no
ENSG00000107338	yes	yes	no
ENSG00000162599	no	yes	no
ENSG00000015479	no	yes	no
ENSG00000106799	no	yes	no
ENSG00000113328	no	yes	no
ENSG00000147432	no	yes	no
ENSG00000196104	no	yes	no
ENSG00000166159	no	yes	no
ENSG00000134779	no	yes	no
ENSG00000078018	no	yes	no
ENSG00000175768	no	yes	no
ENSG00000143815	yes	yes	yes
ENSG00000189067	no	yes	no
ENSG00000116062	no	yes	no
ENSG00000169752	no	yes	no
ENSG00000171867	no	yes	no
ENSG00000108511	yes	yes	no
ENSG00000128016	no	yes	no
ENSG00000116030	no	yes	no
ENSG00000074181	no	yes	no
ENSG00000163584	no	yes	yes
ENSG00000205323	no	yes	no
ENSG00000147123	no	yes	no
ENSG00000147274	no	yes	no
ENSG00000148734	no	yes	no
ENSG00000182916	no	yes	no
ENSG00000149923	no	yes	no
ENSG00000170011	no	yes	no
ENSG00000187109	no	yes	no
ENSG00000198010	no	yes	no
ENSG00000214114	no	yes	no
ENSG00000113083	no	yes	no
ENSG00000005471	no	yes	no
ENSG00000104814	no	yes	no
ENSG00000135624	no	yes	no
ENSG00000100591	no	yes	no
ENSG00000142185	no	yes	no
ENSG00000101444	no	yes	no
ENSG00000131355	no	yes	no
ENSG00000198765	no	yes	no
ENSG00000166405	no	yes	no
ENSG00000100162	no	yes	no
ENSG00000113758	yes	yes	yes
ENSG00000142731	no	yes	no
ENSG00000165283	no	yes	no
ENSG00000163285	no	yes	no
ENSG00000143476	no	yes	no
ENSG00000163832	no	yes	no
ENSG00000115993	no	yes	no
ENSG00000119227	no	yes	no
ENSG00000132591	no	yes	no
ENSG00000168418	no	yes	no
ENSG00000184905	no	yes	no
ENSG00000288710	no	yes	no
ENSG00000175970	no	yes	no
ENSG00000184156	no	yes	no
ENSG00000242616	no	yes	no
ENSG00000105954	yes	yes	yes
ENSG00000166797	no	yes	no
ENSG00000070756	no	yes	no
ENSG00000073050	no	yes	no
ENSG00000170044	no	yes	no
ENSG00000154493	no	yes	no
ENSG00000143947	no	yes	no
ENSG00000159556	no	yes	no
ENSG00000100075	no	yes	no
ENSG00000111247	no	yes	no
ENSG00000119185	no	yes	no
ENSG00000125691	no	yes	no
ENSG00000213741	no	yes	no
ENSG00000140199	no	yes	no
ENSG00000163083	no	yes	no
ENSG00000086288	no	yes	no
ENSG00000281938	no	yes	no
ENSG00000124795	no	yes	no
ENSG00000196557	no	yes	no
ENSG00000173376	no	yes	no
ENSG00000114391	no	yes	no
ENSG00000065485	no	yes	no
ENSG00000080839	no	yes	no
ENSG00000109689	no	yes	no
ENSG00000135486	no	yes	no
ENSG00000138823	no	yes	no
ENSG00000162779	no	yes	no
ENSG00000164645	yes	yes	no
ENSG00000177917	no	yes	no
ENSG00000183496	no	yes	no
ENSG00000196600	no	yes	no
ENSG00000101182	no	yes	no
ENSG00000135829	no	yes	no
ENSG00000148735	no	yes	no
ENSG00000154553	no	yes	no
ENSG00000165300	no	yes	no
ENSG00000171786	no	yes	no
ENSG00000186193	no	yes	no
ENSG00000196976	no	yes	no
ENSG00000198937	no	yes	no
ENSG00000049759	no	yes	no
ENSG00000070886	no	yes	no
ENSG00000154920	no	yes	no
ENSG00000108828	no	yes	no
ENSG00000120498	no	yes	no
ENSG00000143549	no	yes	no
ENSG00000156482	no	yes	no
ENSG00000184232	no	yes	no
ENSG00000185130	no	yes	no
ENSG00000163235	no	yes	no
ENSG00000111057	no	yes	no
ENSG00000079931	no	yes	no
ENSG00000081237	no	yes	no
ENSG00000113140	no	yes	no
ENSG00000121671	no	yes	no
ENSG00000138650	yes	yes	yes
ENSG00000173436	no	yes	no
ENSG00000187837	no	yes	no
ENSG00000204869	no	yes	no
ENSG00000039537	no	yes	no
ENSG00000136048	no	yes	no
ENSG00000151025	no	yes	no
ENSG00000182118	no	yes	no
ENSG00000138074	no	yes	no
ENSG00000070950	no	yes	no
ENSG00000005513	yes	yes	yes
ENSG00000111058	no	yes	no
ENSG00000168393	no	yes	no
ENSG00000136231	no	yes	no
ENSG00000113231	no	yes	no
ENSG00000181965	no	yes	no
ENSG00000124406	no	yes	no
ENSG00000143977	no	yes	no
ENSG00000137965	no	yes	no
ENSG00000141582	no	yes	no
ENSG00000125869	yes	yes	no
ENSG00000166451	no	yes	no
ENSG00000131747	no	yes	no
ENSG00000108947	no	yes	yes
ENSG00000144354	no	yes	no
ENSG00000163554	no	yes	no
ENSG00000183423	yes	yes	yes
ENSG00000183580	no	yes	no
ENSG00000273540	no	yes	no
ENSG00000155367	no	yes	no
ENSG00000120694	no	yes	no
ENSG00000170290	yes	yes	no
ENSG00000174547	no	yes	no
ENSG00000184924	no	yes	no
ENSG00000142864	no	yes	no
ENSG00000116017	no	yes	no
ENSG00000288920	no	yes	no
ENSG00000147874	no	yes	no
ENSG00000110693	no	yes	no
ENSG00000138642	no	yes	no
ENSG00000167085	no	yes	no
ENSG00000110583	no	yes	no
ENSG00000124818	no	yes	no
ENSG00000111700	no	yes	no
ENSG00000130826	no	yes	no
ENSG00000100228	yes	yes	yes
ENSG00000260027	no	yes	no
ENSG00000150967	no	yes	no
ENSG00000137648	no	yes	no
ENSG00000116147	no	yes	no
ENSG00000136942	no	yes	no
ENSG00000196368	no	yes	no
ENSG00000130222	no	yes	no
ENSG00000183798	no	yes	no
ENSG00000186470	no	yes	no
ENSG00000102309	no	yes	no
ENSG00000243725	no	yes	no
ENSG00000145592	no	yes	no
ENSG00000179873	no	yes	no
ENSG00000013293	no	yes	no
ENSG00000152953	no	yes	no
ENSG00000120075	yes	yes	yes
ENSG00000047936	no	yes	no
ENSG00000132821	no	yes	no
ENSG00000188343	no	yes	no
ENSG00000172795	no	yes	no
ENSG00000186007	no	yes	no
ENSG00000181104	no	yes	no
ENSG00000158571	no	yes	no
ENSG00000112081	no	yes	no
ENSG00000133112	no	yes	no
ENSG00000077279	no	yes	no
ENSG00000089199	no	yes	no
ENSG00000056998	no	yes	yes
ENSG00000115297	no	yes	no
ENSG00000117748	no	yes	no
ENSG00000152795	no	yes	no
ENSG00000164754	no	yes	no
ENSG00000134716	no	yes	no
ENSG00000042813	no	yes	no
ENSG00000149972	no	yes	no
ENSG00000170088	no	yes	no
ENSG00000213024	no	yes	no
ENSG00000039139	no	yes	no
ENSG00000115241	no	yes	no
ENSG00000116741	no	yes	no
ENSG00000161888	no	yes	no
ENSG00000186714	no	yes	no
ENSG00000117322	no	yes	no
ENSG00000139618	no	yes	no
ENSG00000278828	no	yes	no
ENSG00000170144	no	yes	no
ENSG00000138472	no	yes	no
ENSG00000099139	no	yes	no
ENSG00000123104	no	yes	no
ENSG00000139220	no	yes	no
ENSG00000197467	yes	yes	yes
ENSG00000240065	no	yes	no
ENSG00000277586	no	yes	no
ENSG00000164924	no	yes	no
ENSG00000112902	no	yes	no
ENSG00000128708	no	yes	no
ENSG00000114790	no	yes	no
ENSG00000148773	no	yes	yes
ENSG00000145626	no	yes	no
ENSG00000122566	no	yes	no
ENSG00000146147	no	yes	no
ENSG00000101115	no	yes	no
ENSG00000143321	no	yes	no
ENSG00000111885	no	yes	no
ENSG00000106125	no	yes	no
ENSG00000113327	no	yes	no
ENSG00000289720	no	yes	no
ENSG00000120334	no	yes	no
ENSG00000111678	no	yes	no
ENSG00000186326	no	yes	no
ENSG00000188859	no	yes	no
ENSG00000131469	no	yes	no
ENSG00000144395	no	yes	no
ENSG00000152430	no	yes	no
ENSG00000185650	no	yes	no
ENSG00000254772	no	yes	no
ENSG00000214402	no	yes	no
ENSG00000033627	no	yes	no
ENSG00000095596	no	yes	no
ENSG00000110934	no	yes	no
ENSG00000137558	no	yes	no
ENSG00000177700	no	yes	no
ENSG00000189045	no	yes	no
ENSG00000138107	no	yes	no
ENSG00000105852	no	yes	no
ENSG00000154864	no	yes	no
ENSG00000165757	no	yes	no
ENSG00000130332	no	yes	no
ENSG00000105976	no	yes	no
ENSG00000137642	no	yes	no
ENSG00000140612	no	yes	no
ENSG00000137285	no	yes	no
ENSG00000111144	no	yes	no
ENSG00000120093	no	yes	no
ENSG00000127249	no	yes	no
ENSG00000140451	no	yes	no
ENSG00000153944	no	yes	yes
ENSG00000164742	yes	yes	yes
ENSG00000151577	no	yes	no
ENSG00000172667	no	yes	no
ENSG00000170681	no	yes	no
ENSG00000139112	no	yes	no
ENSG00000174721	no	yes	no
ENSG00000064666	no	yes	no
ENSG00000145439	no	yes	no
ENSG00000104897	no	yes	no
ENSG00000110321	no	yes	no
ENSG00000152642	no	yes	no
ENSG00000089356	no	yes	no
ENSG00000177425	no	yes	no
ENSG00000074590	no	yes	no
ENSG00000171931	no	yes	no
ENSG00000136026	no	yes	no
ENSG00000137563	no	yes	no
ENSG00000112306	no	yes	no
ENSG00000164105	no	yes	no
ENSG00000106003	no	yes	no
ENSG00000167670	no	yes	no
ENSG00000197451	no	yes	no
ENSG00000128815	no	yes	no
ENSG00000139540	no	yes	no
ENSG00000173868	no	yes	no
ENSG00000102030	no	yes	no
ENSG00000179632	no	yes	no
ENSG00000198542	no	yes	no
ENSG00000137154	no	yes	no
ENSG00000141401	no	yes	no
ENSG00000160767	no	yes	no
ENSG00000137251	no	yes	no
ENSG00000188582	no	yes	no
ENSG00000082293	no	yes	no
ENSG00000073584	no	yes	no
ENSG00000115919	no	yes	no
ENSG00000161638	no	yes	no
ENSG00000177600	no	yes	no
ENSG00000186952	no	yes	no
ENSG00000174938	no	yes	no
ENSG00000119866	no	yes	no
ENSG00000133958	no	yes	no
ENSG00000147724	no	yes	no
ENSG00000178184	no	yes	no
ENSG00000143494	no	yes	no
ENSG00000176533	no	yes	no
ENSG00000081985	no	yes	no
ENSG00000130741	no	yes	no
ENSG00000178921	no	yes	yes
ENSG00000081479	no	yes	yes
ENSG00000088986	no	yes	no
ENSG00000095627	no	yes	no
ENSG00000116329	yes	yes	yes
ENSG00000117115	no	yes	no
ENSG00000135451	no	yes	no
ENSG00000136147	no	yes	no
ENSG00000036473	no	yes	no
ENSG00000053747	no	yes	no
ENSG00000101624	no	yes	no
ENSG00000132294	no	yes	yes
ENSG00000168952	no	yes	no
ENSG00000170689	no	yes	no
ENSG00000171150	no	yes	no
ENSG00000182621	no	yes	no
ENSG00000196923	no	yes	no
ENSG00000226690	no	yes	no
ENSG00000277775	no	yes	no
ENSG00000185477	no	yes	no
ENSG00000174444	no	yes	no
ENSG00000178999	yes	yes	yes
ENSG00000128849	no	yes	no
ENSG00000139146	no	yes	no
ENSG00000163041	no	yes	yes
ENSG00000173221	no	yes	no
ENSG00000183856	no	yes	no
ENSG00000273703	no	yes	no
ENSG00000060709	no	yes	no
ENSG00000103528	no	yes	no
ENSG00000140009	no	yes	no
ENSG00000211450	no	yes	no
ENSG00000108106	no	yes	no
ENSG00000171195	no	yes	no
ENSG00000133740	no	yes	no
ENSG00000162148	no	yes	no
ENSG00000180801	no	yes	no
ENSG00000152936	no	yes	no
ENSG00000112562	no	yes	no
ENSG00000141562	no	yes	no
ENSG00000173889	yes	yes	no
ENSG00000110514	no	yes	no
ENSG00000116678	no	yes	no
ENSG00000139266	no	yes	no
ENSG00000172757	no	yes	no
ENSG00000189159	no	yes	no
ENSG00000074410	no	yes	no
ENSG00000094916	no	yes	no
ENSG00000168906	no	yes	no
ENSG00000151917	no	yes	no
ENSG00000081052	no	yes	yes
ENSG00000106648	no	yes	no
ENSG00000102384	no	yes	no
ENSG00000171848	no	yes	no
ENSG00000185565	no	yes	no
ENSG00000108551	no	yes	no
ENSG00000021461	no	yes	no
ENSG00000120055	no	yes	no
ENSG00000135211	no	yes	no
ENSG00000166592	no	yes	no
ENSG00000013306	no	yes	no
ENSG00000066279	yes	yes	yes
ENSG00000100632	no	yes	no
ENSG00000118473	no	yes	no
ENSG00000134871	yes	yes	yes
ENSG00000143199	no	yes	no
ENSG00000205111	no	yes	no
ENSG00000156026	no	yes	no
ENSG00000141753	no	yes	no
ENSG00000102898	no	yes	no
ENSG00000120054	no	yes	no
ENSG00000161970	no	yes	no
ENSG00000072506	no	yes	no
ENSG00000089169	no	yes	no
ENSG00000120057	no	yes	no
ENSG00000131899	yes	yes	no
ENSG00000137449	no	yes	no
ENSG00000168070	no	yes	no
ENSG00000165916	no	yes	no
ENSG00000170500	no	yes	no
ENSG00000172421	no	yes	no
ENSG00000115423	no	yes	no
ENSG00000069188	no	yes	no
ENSG00000118777	no	yes	no
ENSG00000135069	no	yes	no
ENSG00000156113	no	yes	no
ENSG00000086475	no	yes	no
ENSG00000156466	no	yes	no
ENSG00000162222	yes	yes	no
ENSG00000164342	no	yes	no
ENSG00000171476	no	yes	no
ENSG00000081189	no	yes	no
ENSG00000115657	no	yes	no
ENSG00000125618	no	yes	no
ENSG00000138413	no	yes	no
ENSG00000143727	no	yes	no
ENSG00000163219	no	yes	no
ENSG00000176463	no	yes	no
ENSG00000185551	yes	yes	yes
ENSG00000204899	no	yes	no
ENSG00000156298	no	yes	no
ENSG00000204264	no	yes	no
ENSG00000155754	no	yes	no
ENSG00000205155	no	yes	no
ENSG00000122565	no	yes	no
ENSG00000156531	no	yes	no
ENSG00000162688	no	yes	no
ENSG00000073792	no	yes	no
ENSG00000135406	no	yes	no
ENSG00000165899	no	yes	no
ENSG00000275379	no	yes	no
ENSG00000164929	no	yes	no
ENSG00000080709	no	yes	no
ENSG00000133083	no	yes	no
ENSG00000160111	no	yes	yes
ENSG00000166535	no	yes	no
ENSG00000167771	no	yes	no
ENSG00000181790	no	yes	no
ENSG00000145244	no	yes	no
ENSG00000168619	no	yes	no
ENSG00000102362	no	yes	no
ENSG00000165119	no	yes	no
ENSG00000058056	no	yes	no
ENSG00000175600	no	yes	no
ENSG00000180113	no	yes	no
ENSG00000125207	no	yes	no
ENSG00000138668	no	yes	no
ENSG00000204655	no	yes	no
ENSG00000111196	no	yes	no
ENSG00000172809	no	yes	no
ENSG00000180875	yes	yes	no
ENSG00000277157	no	yes	no
ENSG00000183166	no	yes	no
ENSG00000240771	no	yes	no
ENSG00000090512	no	yes	no
ENSG00000148303	no	yes	no
ENSG00000184792	no	yes	no
ENSG00000162992	no	yes	no
ENSG00000165959	yes	yes	no
ENSG00000141858	no	yes	no
ENSG00000250120	no	yes	no
ENSG00000067560	no	yes	no
ENSG00000140836	no	yes	no
ENSG00000152779	no	yes	no
ENSG00000082153	no	yes	no
ENSG00000164619	no	yes	no
ENSG00000169851	yes	yes	yes
ENSG00000145451	no	yes	no
ENSG00000101412	no	yes	no
ENSG00000144229	no	yes	no
ENSG00000166741	no	yes	no
ENSG00000196431	no	yes	no
ENSG00000076344	no	yes	no
ENSG00000198521	no	yes	no
ENSG00000156920	no	yes	no
ENSG00000254999	no	yes	no
ENSG00000110090	no	yes	no
ENSG00000146918	no	yes	no
ENSG00000122787	no	yes	no
ENSG00000079691	no	yes	no
ENSG00000115255	no	yes	no
ENSG00000114124	no	yes	yes
ENSG00000197375	yes	yes	no
ENSG00000072858	no	yes	no
ENSG00000147955	no	yes	no
ENSG00000109738	no	yes	no
ENSG00000144231	no	yes	no
ENSG00000131941	no	yes	no
ENSG00000206557	no	yes	no
ENSG00000092964	no	yes	no
ENSG00000105370	no	yes	no
ENSG00000124562	no	yes	no
ENSG00000146592	no	yes	no
ENSG00000165985	no	yes	no
ENSG00000160179	no	yes	no
ENSG00000048392	no	yes	no
ENSG00000105011	no	yes	no
ENSG00000109667	no	yes	no
ENSG00000197776	no	yes	no
ENSG00000116898	no	yes	no
ENSG00000075624	no	yes	no
ENSG00000013364	no	yes	no
ENSG00000051341	no	yes	yes
ENSG00000103264	no	yes	no
ENSG00000113319	no	yes	no
ENSG00000145623	no	yes	no
ENSG00000169635	no	yes	no
ENSG00000171773	no	yes	no
ENSG00000100344	no	yes	no
ENSG00000151150	no	yes	no
ENSG00000105810	no	yes	no
ENSG00000146670	yes	yes	yes
ENSG00000147400	no	yes	no
ENSG00000165168	no	yes	no
ENSG00000104921	no	yes	no
ENSG00000113368	no	yes	no
ENSG00000162645	no	yes	no
ENSG00000164167	no	yes	no
ENSG00000182836	no	yes	no
ENSG00000205678	no	yes	no
ENSG00000113742	yes	yes	yes
ENSG00000121454	no	yes	no
ENSG00000082684	no	yes	no
ENSG00000185736	no	yes	no
ENSG00000136492	no	yes	no
ENSG00000183598	no	yes	no
ENSG00000162551	no	yes	no
ENSG00000165646	yes	yes	yes
ENSG00000213066	no	yes	no
ENSG00000187325	no	yes	no
ENSG00000136155	no	yes	no
ENSG00000162804	no	yes	no
ENSG00000140557	no	yes	no
ENSG00000261308	no	yes	no
ENSG00000175063	no	yes	no
ENSG00000182963	no	yes	no
ENSG00000088882	no	yes	no
ENSG00000077152	no	yes	no
ENSG00000176571	no	yes	no
ENSG00000127423	no	yes	no
ENSG00000168314	no	yes	no
ENSG00000155530	no	yes	no
ENSG00000089685	no	yes	no
ENSG00000106686	no	yes	no
ENSG00000116783	no	yes	no
ENSG00000205356	no	yes	no
ENSG00000167306	yes	yes	yes
ENSG00000076641	no	yes	no
ENSG00000143067	no	yes	no
ENSG00000090402	no	yes	no
ENSG00000083845	no	yes	no
ENSG00000105372	no	yes	no
ENSG00000107130	no	yes	no
ENSG00000148175	no	yes	no
ENSG00000164300	no	yes	no
ENSG00000273706	no	yes	no
ENSG00000189171	no	yes	no
ENSG00000118113	no	yes	no
ENSG00000141905	yes	yes	yes
ENSG00000180340	no	yes	no
ENSG00000257743	no	yes	no
ENSG00000057608	no	yes	no
ENSG00000095587	no	yes	no
ENSG00000165192	no	yes	no
ENSG00000165672	no	yes	no
ENSG00000167460	no	yes	no
ENSG00000189266	no	yes	no
ENSG00000100823	no	yes	no
ENSG00000172216	no	yes	no
ENSG00000185436	no	yes	no
ENSG00000257335	no	yes	no
ENSG00000161547	no	yes	no
ENSG00000005156	no	yes	no
ENSG00000103257	no	yes	no
ENSG00000145242	yes	yes	no
ENSG00000073146	no	yes	no
ENSG00000108669	no	yes	no
ENSG00000183570	no	yes	no
ENSG00000160447	no	yes	no
ENSG00000104755	no	yes	no
ENSG00000070214	no	yes	no
ENSG00000073464	no	yes	no
ENSG00000079150	no	yes	no
ENSG00000143179	no	yes	no
ENSG00000148604	yes	yes	no
ENSG00000165507	no	yes	yes
ENSG00000173706	no	yes	yes
ENSG00000169562	no	yes	no
ENSG00000188095	no	yes	no
ENSG00000050438	no	yes	no
ENSG00000088808	no	yes	no
ENSG00000153814	no	yes	no
ENSG00000188089	no	yes	no
ENSG00000169684	no	yes	no
ENSG00000174844	no	yes	no
ENSG00000163820	no	yes	no
ENSG00000198515	no	yes	no
ENSG00000166851	no	yes	no
ENSG00000180616	no	yes	no
ENSG00000078804	no	yes	no
ENSG00000173914	no	yes	no
ENSG00000197587	no	yes	yes
