gene	H2	non_ase	H1
ENSG00000188338	no	yes	no
ENSG00000139292	no	yes	yes
ENSG00000007968	no	yes	no
ENSG00000047662	no	yes	no
ENSG00000062822	no	yes	no
ENSG00000113361	no	yes	yes
ENSG00000119614	yes	yes	no
ENSG00000127472	no	yes	no
ENSG00000130477	no	yes	no
ENSG00000133119	no	yes	no
ENSG00000137628	no	yes	no
ENSG00000139182	no	yes	no
ENSG00000148948	no	yes	no
ENSG00000151012	no	yes	no
ENSG00000163347	yes	yes	yes
ENSG00000166833	yes	yes	yes
ENSG00000176406	no	yes	yes
ENSG00000259030	yes	yes	yes
ENSG00000069018	yes	yes	yes
ENSG00000078725	no	yes	no
ENSG00000102001	no	yes	no
ENSG00000107984	no	yes	no
ENSG00000129535	yes	yes	yes
ENSG00000132518	yes	yes	yes
ENSG00000140939	no	yes	no
ENSG00000144366	no	yes	no
ENSG00000162849	yes	yes	yes
ENSG00000163377	no	yes	yes
ENSG00000164294	yes	yes	yes
ENSG00000167371	no	yes	no
ENSG00000171450	no	yes	no
ENSG00000177103	yes	yes	yes
ENSG00000180198	yes	yes	yes
ENSG00000182481	no	yes	no
ENSG00000186297	no	yes	no
ENSG00000188486	no	yes	no
ENSG00000213626	no	yes	no
ENSG00000278463	no	yes	no
ENSG00000151615	yes	yes	yes
ENSG00000162063	no	yes	no
ENSG00000211445	no	yes	no
ENSG00000143933	no	yes	no
ENSG00000001461	no	yes	yes
ENSG00000164588	no	yes	no
ENSG00000132915	yes	yes	yes
ENSG00000180245	no	yes	no
ENSG00000197061	no	yes	no
ENSG00000080986	no	yes	no
ENSG00000175544	no	yes	no
ENSG00000145087	no	yes	yes
ENSG00000114739	no	yes	no
ENSG00000277075	no	yes	no
ENSG00000073060	no	yes	no
ENSG00000131018	no	yes	yes
ENSG00000145920	yes	yes	yes
ENSG00000156475	yes	yes	no
ENSG00000144645	no	yes	no
ENSG00000182985	yes	yes	yes
ENSG00000028137	yes	yes	yes
ENSG00000079462	no	yes	no
ENSG00000101977	no	yes	no
ENSG00000109084	yes	yes	yes
ENSG00000109881	no	yes	no
ENSG00000112186	no	yes	yes
ENSG00000115884	no	yes	no
ENSG00000120549	yes	yes	no
ENSG00000130520	no	yes	no
ENSG00000133401	no	yes	no
ENSG00000142657	no	yes	no
ENSG00000144857	yes	yes	no
ENSG00000149485	no	yes	no
ENSG00000163808	no	yes	no
ENSG00000165092	yes	yes	yes
ENSG00000166342	yes	yes	yes
ENSG00000166582	no	yes	no
ENSG00000166831	no	yes	no
ENSG00000169607	yes	yes	no
ENSG00000196787	no	yes	no
ENSG00000265203	no	yes	no
ENSG00000282988	no	yes	no
ENSG00000156510	yes	yes	yes
ENSG00000132646	no	yes	no
ENSG00000139343	no	yes	no
ENSG00000123975	no	yes	no
ENSG00000124171	no	yes	no
ENSG00000081148	no	yes	no
ENSG00000121621	no	yes	no
ENSG00000059915	no	yes	no
ENSG00000117632	no	yes	no
ENSG00000168263	yes	yes	yes
ENSG00000165995	no	yes	yes
ENSG00000150995	no	yes	no
ENSG00000123307	no	yes	no
ENSG00000133124	yes	yes	yes
ENSG00000163507	no	yes	no
ENSG00000152455	no	yes	no
ENSG00000114999	no	yes	no
ENSG00000122733	no	yes	no
ENSG00000151725	no	yes	no
ENSG00000168028	no	yes	no
ENSG00000173210	yes	yes	no
ENSG00000286522	no	yes	no
ENSG00000085662	no	yes	no
ENSG00000119899	no	yes	no
ENSG00000167325	no	yes	no
ENSG00000146376	no	yes	no
ENSG00000182973	no	yes	no
ENSG00000214140	no	yes	no
ENSG00000065150	no	yes	no
ENSG00000130208	no	yes	no
ENSG00000137807	no	yes	no
ENSG00000155966	no	yes	no
ENSG00000185909	yes	yes	yes
ENSG00000136531	no	yes	no
ENSG00000220205	yes	yes	yes
ENSG00000096968	yes	yes	yes
ENSG00000183850	yes	yes	yes
ENSG00000275713	no	yes	no
ENSG00000170779	no	yes	no
ENSG00000033170	no	yes	no
ENSG00000119333	no	yes	no
ENSG00000175643	no	yes	no
ENSG00000088899	yes	yes	no
ENSG00000081818	no	yes	no
ENSG00000108018	no	yes	no
ENSG00000137804	no	yes	no
ENSG00000175792	yes	yes	no
ENSG00000104973	no	yes	no
ENSG00000154654	no	yes	no
ENSG00000168268	no	yes	no
ENSG00000221869	no	yes	no
ENSG00000197921	no	yes	yes
ENSG00000040275	no	yes	no
ENSG00000105499	no	yes	no
ENSG00000198056	no	yes	no
ENSG00000185633	no	yes	no
ENSG00000111602	no	yes	no
ENSG00000134183	yes	yes	yes
ENSG00000135127	no	yes	no
ENSG00000136297	yes	yes	yes
ENSG00000163093	no	yes	no
ENSG00000269955	no	yes	no
ENSG00000119139	no	yes	no
ENSG00000119203	no	yes	no
ENSG00000175322	no	yes	no
ENSG00000261210	yes	yes	yes
ENSG00000115267	no	yes	no
ENSG00000198795	no	yes	no
ENSG00000048545	yes	yes	yes
ENSG00000158555	no	yes	no
ENSG00000143669	no	yes	no
ENSG00000179915	no	yes	no
ENSG00000007264	no	yes	no
ENSG00000076554	yes	yes	yes
ENSG00000099284	yes	yes	no
ENSG00000110987	no	yes	yes
ENSG00000121904	no	yes	no
ENSG00000129244	no	yes	no
ENSG00000132383	no	yes	no
ENSG00000162878	no	yes	no
ENSG00000164611	no	yes	no
ENSG00000172296	yes	yes	yes
ENSG00000185033	no	yes	no
ENSG00000135476	no	yes	no
ENSG00000104738	no	yes	no
ENSG00000144290	no	yes	no
ENSG00000164104	no	yes	no
ENSG00000102878	no	yes	no
ENSG00000274750	no	yes	no
ENSG00000188107	yes	yes	yes
ENSG00000164032	no	yes	no
ENSG00000134294	yes	yes	yes
ENSG00000141434	no	yes	no
ENSG00000144868	yes	yes	no
ENSG00000107105	no	yes	no
ENSG00000118193	yes	yes	yes
ENSG00000184117	yes	yes	yes
ENSG00000183044	no	yes	no
ENSG00000183185	yes	yes	yes
ENSG00000184302	no	yes	no
ENSG00000136518	no	yes	no
ENSG00000163565	no	yes	no
ENSG00000166780	no	yes	no
ENSG00000170615	no	yes	no
ENSG00000197580	no	yes	yes
ENSG00000198846	yes	yes	yes
ENSG00000276903	no	yes	no
ENSG00000091157	no	yes	no
ENSG00000122507	no	yes	no
ENSG00000156802	no	yes	no
ENSG00000166508	no	yes	no
ENSG00000197299	no	yes	no
ENSG00000135447	no	yes	no
ENSG00000069849	no	yes	no
ENSG00000151491	no	yes	no
ENSG00000132535	no	yes	yes
ENSG00000095637	no	yes	yes
ENSG00000109794	no	yes	no
ENSG00000163520	yes	yes	yes
ENSG00000198563	no	yes	no
ENSG00000178104	no	yes	no
ENSG00000105255	no	yes	no
ENSG00000152661	no	yes	no
ENSG00000164236	yes	yes	no
ENSG00000140386	yes	yes	yes
ENSG00000112118	no	yes	no
ENSG00000171444	no	yes	no
ENSG00000112715	no	yes	yes
ENSG00000154975	no	yes	no
ENSG00000091428	yes	yes	yes
ENSG00000112079	no	yes	no
ENSG00000126787	yes	yes	yes
ENSG00000151623	no	yes	no
ENSG00000171858	no	yes	no
ENSG00000196335	no	yes	no
ENSG00000258790	no	yes	no
ENSG00000075218	no	yes	no
ENSG00000182022	no	yes	no
ENSG00000008441	yes	yes	yes
ENSG00000048342	no	yes	no
ENSG00000135245	no	yes	no
ENSG00000137877	no	yes	yes
ENSG00000138166	yes	yes	yes
ENSG00000146197	no	yes	no
ENSG00000188163	no	yes	no
ENSG00000205403	no	yes	no
ENSG00000116830	no	yes	no
ENSG00000114942	no	yes	no
ENSG00000132341	no	yes	no
ENSG00000138193	no	yes	no
ENSG00000158164	no	yes	no
ENSG00000179604	yes	yes	yes
ENSG00000119698	no	yes	no
ENSG00000077092	no	yes	yes
ENSG00000121310	no	yes	no
ENSG00000108684	no	yes	no
ENSG00000132274	yes	yes	no
ENSG00000107864	no	yes	no
ENSG00000155886	no	yes	yes
ENSG00000183049	no	yes	no
ENSG00000203756	no	yes	no
ENSG00000140365	no	yes	no
ENSG00000198947	no	yes	no
ENSG00000105409	no	yes	no
ENSG00000187135	no	yes	no
ENSG00000246922	no	yes	no
ENSG00000131462	no	yes	no
ENSG00000154162	no	yes	no
ENSG00000069966	no	yes	no
ENSG00000196208	yes	yes	no
ENSG00000178538	yes	yes	no
ENSG00000203814	no	yes	no
ENSG00000198435	no	yes	no
ENSG00000184113	no	yes	no
ENSG00000124614	no	yes	no
ENSG00000166900	no	yes	no
ENSG00000196230	no	yes	no
