gene	non_ase	H1	H2
ENSG00000197565	yes	yes	no
ENSG00000137267	yes	no	no
ENSG00000170873	yes	yes	yes
ENSG00000177426	yes	no	no
ENSG00000100167	yes	yes	yes
ENSG00000181449	yes	no	no
ENSG00000011426	yes	no	no
ENSG00000095370	yes	yes	yes
ENSG00000123219	yes	yes	no
ENSG00000124145	yes	no	no
ENSG00000168824	yes	no	no
ENSG00000152969	yes	no	no
ENSG00000184588	yes	no	yes
ENSG00000141837	yes	yes	yes
ENSG00000188573	yes	no	no
ENSG00000105509	yes	no	no
ENSG00000166949	yes	no	no
ENSG00000141696	yes	no	no
ENSG00000187498	yes	no	no
ENSG00000074047	yes	no	yes
ENSG00000108001	yes	no	yes
ENSG00000011201	yes	no	no
ENSG00000178764	yes	no	no
ENSG00000111247	yes	no	no
ENSG00000196411	yes	no	yes
ENSG00000188153	yes	yes	yes
ENSG00000139173	yes	no	no
ENSG00000161082	yes	yes	yes
ENSG00000170961	yes	yes	yes
ENSG00000173404	yes	no	no
ENSG00000104435	yes	yes	yes
ENSG00000186907	yes	no	no
ENSG00000177551	yes	yes	no
ENSG00000144579	yes	no	yes
ENSG00000117318	yes	no	no
ENSG00000185666	yes	yes	yes
ENSG00000147432	yes	no	no
ENSG00000163536	yes	no	no
ENSG00000132199	yes	no	yes
ENSG00000124194	yes	no	no
ENSG00000131747	yes	no	no
ENSG00000113361	yes	yes	no
ENSG00000142798	yes	no	yes
ENSG00000144834	yes	yes	yes
ENSG00000104059	yes	no	no
ENSG00000169213	yes	yes	yes
ENSG00000124440	yes	no	no
ENSG00000072182	yes	yes	yes
ENSG00000075218	yes	no	no
ENSG00000150961	yes	yes	no
ENSG00000018408	yes	no	no
ENSG00000198208	yes	yes	yes
ENSG00000123485	yes	no	no
ENSG00000213190	yes	no	no
ENSG00000176170	yes	no	no
ENSG00000162878	yes	no	no
ENSG00000152932	yes	no	no
ENSG00000122367	yes	no	no
ENSG00000188517	yes	no	no
ENSG00000103723	yes	no	no
ENSG00000197959	yes	yes	yes
ENSG00000167617	yes	no	no
ENSG00000145386	yes	no	no
ENSG00000146216	yes	no	no
ENSG00000077279	yes	no	no
ENSG00000154330	yes	no	no
ENSG00000008394	yes	no	no
ENSG00000138061	yes	no	no
ENSG00000101210	yes	no	no
ENSG00000165434	yes	yes	no
ENSG00000174460	yes	no	no
ENSG00000169258	yes	no	no
ENSG00000142279	yes	yes	no
ENSG00000162599	yes	yes	no
ENSG00000140481	yes	no	no
ENSG00000151320	yes	yes	yes
ENSG00000113916	yes	no	no
ENSG00000105696	yes	yes	yes
ENSG00000137571	yes	no	yes
ENSG00000008282	yes	no	no
ENSG00000149948	yes	yes	yes
ENSG00000173193	yes	no	no
ENSG00000132256	yes	no	no
ENSG00000255330	yes	no	yes
ENSG00000134871	yes	yes	yes
ENSG00000156802	yes	no	no
ENSG00000151632	yes	no	no
ENSG00000137807	yes	no	no
ENSG00000068078	yes	no	no
ENSG00000177511	yes	no	no
ENSG00000173210	yes	no	no
ENSG00000112742	yes	no	no
ENSG00000140600	yes	no	no
ENSG00000166068	yes	yes	yes
ENSG00000139263	yes	no	no
ENSG00000189184	yes	no	no
ENSG00000148908	yes	no	no
ENSG00000148408	yes	no	no
ENSG00000124782	yes	yes	no
ENSG00000173207	yes	no	no
ENSG00000112893	yes	no	no
ENSG00000146592	yes	no	no
ENSG00000137831	yes	yes	no
ENSG00000143228	yes	yes	yes
ENSG00000115266	yes	no	no
ENSG00000163873	yes	no	no
ENSG00000108821	yes	no	no
ENSG00000107242	yes	no	no
ENSG00000169871	yes	yes	yes
ENSG00000182255	yes	no	no
ENSG00000176890	yes	no	no
ENSG00000198467	yes	yes	yes
ENSG00000105649	yes	no	no
ENSG00000215644	yes	yes	yes
ENSG00000166257	yes	yes	yes
ENSG00000139117	yes	no	no
ENSG00000169439	yes	no	no
ENSG00000164929	yes	no	no
ENSG00000174939	yes	no	no
ENSG00000106341	yes	no	no
ENSG00000130475	yes	no	no
ENSG00000137573	yes	no	no
ENSG00000183036	yes	no	no
ENSG00000112139	yes	no	no
ENSG00000144355	yes	no	no
ENSG00000147234	yes	no	no
ENSG00000260802	yes	no	no
ENSG00000143333	yes	no	no
ENSG00000167889	yes	yes	yes
ENSG00000167654	yes	no	no
ENSG00000198963	yes	no	no
ENSG00000143032	yes	no	no
ENSG00000182010	yes	yes	yes
ENSG00000087053	yes	no	no
ENSG00000171408	yes	no	yes
ENSG00000117266	yes	no	no
ENSG00000127561	yes	no	no
ENSG00000125848	yes	yes	yes
ENSG00000077080	yes	no	no
ENSG00000105255	yes	no	no
ENSG00000163638	yes	yes	yes
ENSG00000126709	yes	no	no
ENSG00000112118	yes	no	no
ENSG00000072832	yes	yes	yes
ENSG00000198826	yes	no	no
ENSG00000077942	yes	yes	yes
ENSG00000084731	yes	yes	yes
ENSG00000128606	yes	no	no
ENSG00000108018	yes	no	no
ENSG00000142945	yes	no	no
ENSG00000084628	yes	no	no
ENSG00000105784	yes	no	no
ENSG00000130702	yes	no	no
ENSG00000184709	yes	no	no
ENSG00000254598	yes	no	no
ENSG00000147202	yes	no	no
ENSG00000086696	yes	no	no
ENSG00000145431	yes	no	no
ENSG00000185519	yes	no	no
ENSG00000099260	yes	no	no
ENSG00000073111	yes	no	no
ENSG00000133169	yes	no	no
ENSG00000197921	yes	yes	no
ENSG00000011347	yes	yes	yes
ENSG00000090006	yes	no	no
ENSG00000164082	yes	no	no
ENSG00000171533	yes	yes	yes
ENSG00000118193	yes	yes	yes
ENSG00000158856	yes	no	no
ENSG00000153044	yes	no	no
ENSG00000215397	yes	no	no
ENSG00000184524	yes	yes	yes
ENSG00000243244	yes	yes	yes
ENSG00000146648	yes	no	no
ENSG00000142549	yes	yes	yes
ENSG00000189067	yes	no	no
ENSG00000184304	yes	no	no
ENSG00000075702	yes	no	no
ENSG00000137473	yes	no	yes
ENSG00000149527	yes	no	no
