gene	non_ase	H1	H2
ENSG00000102104	yes	no	no
ENSG00000106069	yes	no	no
ENSG00000112473	yes	no	no
ENSG00000134294	yes	no	no
ENSG00000160888	yes	no	no
ENSG00000180245	yes	no	no
ENSG00000213420	yes	no	no
ENSG00000172053	yes	no	no
ENSG00000286920	yes	no	no
ENSG00000133112	yes	no	no
ENSG00000137962	yes	no	no
ENSG00000158560	yes	no	no
ENSG00000170893	yes	no	yes
ENSG00000170949	yes	no	no
ENSG00000033122	yes	no	no
ENSG00000125618	yes	no	no
ENSG00000129535	yes	yes	yes
ENSG00000110693	yes	no	no
ENSG00000153266	yes	no	yes
ENSG00000108107	yes	no	no
ENSG00000111110	yes	no	no
ENSG00000176171	yes	no	no
ENSG00000288710	yes	no	no
ENSG00000145741	yes	no	no
ENSG00000166165	yes	no	no
ENSG00000109881	yes	no	no
ENSG00000129521	yes	no	no
ENSG00000144290	yes	no	no
ENSG00000162073	yes	no	no
ENSG00000149273	yes	no	no
ENSG00000182899	yes	no	no
ENSG00000183638	yes	no	no
ENSG00000275713	yes	no	no
ENSG00000048707	yes	no	no
ENSG00000138738	yes	no	no
ENSG00000196968	yes	no	no
ENSG00000162946	yes	no	no
ENSG00000077942	yes	no	no
ENSG00000078018	yes	no	no
ENSG00000090932	yes	yes	yes
ENSG00000104435	yes	no	no
ENSG00000105514	yes	no	no
ENSG00000107105	yes	no	no
ENSG00000124440	yes	no	no
ENSG00000135899	yes	no	no
ENSG00000136531	yes	no	no
ENSG00000140481	yes	no	no
ENSG00000144476	yes	no	no
ENSG00000144485	yes	no	no
ENSG00000145113	yes	no	no
ENSG00000153944	yes	no	no
ENSG00000156482	yes	no	no
ENSG00000173894	yes	no	no
ENSG00000176244	yes	no	no
ENSG00000177868	yes	no	no
ENSG00000182774	yes	no	no
ENSG00000182916	yes	no	no
ENSG00000198691	yes	no	yes
ENSG00000103485	yes	no	no
ENSG00000108406	yes	no	no
ENSG00000136122	yes	no	no
ENSG00000147140	yes	no	no
ENSG00000151623	yes	no	no
ENSG00000164086	yes	no	no
ENSG00000176890	yes	no	no
ENSG00000187033	yes	no	no
ENSG00000185650	yes	no	no
ENSG00000221869	yes	no	no
ENSG00000278677	yes	no	no
ENSG00000073111	yes	no	no
ENSG00000261949	yes	no	no
ENSG00000171723	yes	no	no
ENSG00000213741	yes	no	no
ENSG00000110436	yes	no	no
ENSG00000183044	yes	no	no
ENSG00000111144	yes	no	no
ENSG00000114796	yes	no	no
ENSG00000138623	yes	no	no
ENSG00000162733	yes	no	no
ENSG00000169282	yes	no	no
ENSG00000073734	yes	no	no
ENSG00000135318	yes	no	no
ENSG00000106565	yes	no	no
ENSG00000114126	yes	no	no
ENSG00000117394	yes	no	no
ENSG00000158164	yes	no	no
ENSG00000168028	yes	no	no
ENSG00000151025	yes	no	no
ENSG00000105507	yes	no	no
ENSG00000119866	yes	no	no
ENSG00000141428	yes	no	no
ENSG00000110987	yes	no	no
ENSG00000135090	yes	no	no
ENSG00000274391	yes	no	no
ENSG00000125844	yes	no	no
ENSG00000103942	yes	no	no
ENSG00000113328	yes	no	no
ENSG00000114023	yes	no	no
ENSG00000152256	yes	no	no
ENSG00000164414	yes	no	no
ENSG00000166111	yes	no	no
ENSG00000170289	yes	no	no
ENSG00000213186	yes	no	no
ENSG00000100053	yes	yes	yes
ENSG00000248905	yes	no	no
ENSG00000124507	yes	no	no
ENSG00000106546	yes	no	no
ENSG00000141338	yes	no	no
ENSG00000169856	yes	no	no
ENSG00000070601	yes	no	no
ENSG00000096968	yes	no	no
ENSG00000170421	yes	no	no
ENSG00000176771	yes	no	no
ENSG00000038945	yes	no	no
ENSG00000145016	yes	no	no
ENSG00000164588	yes	no	no
ENSG00000274290	yes	no	no
ENSG00000151012	yes	no	no
ENSG00000120738	yes	no	no
ENSG00000172296	yes	no	no
ENSG00000175274	yes	no	no
ENSG00000114739	yes	no	no
ENSG00000241839	yes	no	no
ENSG00000074621	yes	no	no
ENSG00000135919	yes	no	no
ENSG00000198435	yes	no	no
ENSG00000011198	yes	no	no
ENSG00000064309	yes	no	no
ENSG00000077279	yes	no	no
ENSG00000113504	yes	no	no
ENSG00000155463	yes	no	no
ENSG00000159713	yes	no	no
ENSG00000164975	yes	no	no
ENSG00000189298	yes	no	no
ENSG00000165092	yes	no	no
ENSG00000288920	yes	no	no
ENSG00000168824	yes	no	no
ENSG00000117971	yes	no	no
ENSG00000135272	yes	no	no
ENSG00000138166	yes	no	no
ENSG00000165895	yes	no	no
ENSG00000196104	yes	no	no
ENSG00000184113	yes	no	no
ENSG00000122507	yes	no	no
ENSG00000102271	yes	no	no
ENSG00000145439	yes	no	no
