"gene_id","count","external_gene_name","gene_biotype"
"ENSG00000107651",2,"SEC23IP","protein_coding"
"ENSG00000110619",2,"CARS1","protein_coding"
"ENSG00000112305",2,"SMAP1","protein_coding"
"ENSG00000112419",2,"PHACTR2","protein_coding"
"ENSG00000112659",2,"CUL9","protein_coding"
"ENSG00000114790",2,"ARHGEF26","protein_coding"
"ENSG00000116221",2,"MRPL37","protein_coding"
"ENSG00000124788",2,"ATXN1","protein_coding"
"ENSG00000128059",2,"PPAT","protein_coding"
"ENSG00000129003",2,"VPS13C","protein_coding"
"ENSG00000139220",2,"PPFIA2","protein_coding"
"ENSG00000151090",2,"THRB","protein_coding"
"ENSG00000155256",2,"ZFYVE27","protein_coding"
"ENSG00000169062",2,"UPF3A","protein_coding"
"ENSG00000196526",2,"AFAP1","protein_coding"
"ENSG00000196712",2,"NF1","protein_coding"
"ENSG00000198467",2,"TPM2","protein_coding"
"ENSG00000018189",1,"RUFY3","protein_coding"
"ENSG00000028277",1,"POU2F2","protein_coding"
"ENSG00000032219",1,"ARID4A","protein_coding"
"ENSG00000054965",1,"FAM168A","protein_coding"
"ENSG00000064042",1,"LIMCH1","protein_coding"
"ENSG00000066136",1,"NFYC","protein_coding"
"ENSG00000070476",1,"ZXDC","protein_coding"
"ENSG00000076864",1,"RAP1GAP","protein_coding"
"ENSG00000091157",1,"WDR7","protein_coding"
"ENSG00000102038",1,"SMARCA1","protein_coding"
"ENSG00000115170",1,"ACVR1","protein_coding"
"ENSG00000115266",1,"APC2","protein_coding"
"ENSG00000115839",1,"RAB3GAP1","protein_coding"
"ENSG00000117519",1,"CNN3","protein_coding"
"ENSG00000118217",1,"ATF6","protein_coding"
"ENSG00000119397",1,"CNTRL","protein_coding"
"ENSG00000127990",1,"SGCE","protein_coding"
"ENSG00000129353",1,"SLC44A2","protein_coding"
"ENSG00000134874",1,"DZIP1","protein_coding"
"ENSG00000136717",1,"BIN1","protein_coding"
"ENSG00000136848",1,"DAB2IP","protein_coding"
"ENSG00000137221",1,"TJAP1","protein_coding"
"ENSG00000138757",1,"G3BP2","protein_coding"
"ENSG00000139624",1,"CERS5","protein_coding"
"ENSG00000146950",1,"SHROOM2","protein_coding"
"ENSG00000147533",1,"GOLGA7","protein_coding"
"ENSG00000160710",1,"ADAR","protein_coding"
"ENSG00000163875",1,"MEAF6","protein_coding"
"ENSG00000167522",1,"ANKRD11","protein_coding"
"ENSG00000167965",1,"MLST8","protein_coding"
"ENSG00000176049",1,"JAKMIP2","protein_coding"
"ENSG00000179361",1,"ARID3B","protein_coding"
"ENSG00000184752",1,"NDUFA12","protein_coding"
"ENSG00000206503",1,"HLA-A","protein_coding"
