isoform_id	logFC	logCPM	F	PValue	FDR	condition_1	condition_2
ENST00000308162	-7.78242286929746	9.25288990318173	741.344270906393	4.53991114377815e-06	0.038672102780236	FT	RGC
ENST00000232424	-6.83047521781588	9.53406352865585	720.658235646389	4.82970801879403e-06	0.038672102780236	FT	RGC
ENST00000399808	-7.08490727873639	8.01574659978064	619.185298428747	6.72917874444323e-06	0.038672102780236	FT	RGC
ENST00000282928	-4.85440345655063	6.85674919426799	463.930875819912	1.2634894178092e-05	0.038672102780236	FT	RGC
ENST00000266058	5.75918582843928	7.86375387936275	452.30216411798	1.3353802556126e-05	0.038672102780236	FT	RGC
ENST00000282441	-6.05167951622276	5.77588505282949	414.368526289535	1.61620497035262e-05	0.038672102780236	FT	RGC
ENST00000221166	4.96894368167082	8.33954711534346	413.123270107485	1.62683475362978e-05	0.038672102780236	FT	RGC
ENST00000439696	-6.90085886649634	8.95777510714919	395.915705595788	1.7847601050021e-05	0.038672102780236	FT	RGC
ENST00000607332	-6.00120270974778	5.7056446716679	350.575898683779	2.32549524413125e-05	0.038672102780236	FT	RGC
ENST00000299610	-4.35644067347985	6.60381578779044	340.635281971672	2.47558458330599e-05	0.038672102780236	FT	RGC
ENST00000409161	5.50782376231665	5.48818734816039	335.960945941849	2.55107030989946e-05	0.038672102780236	FT	RGC
ENST00000252486	-3.65617519858591	7.36847194405025	329.018954448473	2.66950366618745e-05	0.038672102780236	FT	RGC
ENST00000224237	-3.96090297942551	10.8082829044728	325.692526758901	2.72910561577677e-05	0.038672102780236	FT	RGC
ENST00000611653	7.85076796583089	7.30161290126239	312.369883972072	3.32734232137583e-05	0.038672102780236	FT	RGC
ENST00000362072	5.59334367128307	6.72102688265076	295.269557009569	3.37683354970014e-05	0.038672102780236	FT	RGC
ENST00000380518	-5.31253072514259	7.06993477967428	290.581723942252	3.49617519854858e-05	0.038672102780236	FT	RGC
ENST00000262493	4.2094287414273	6.1034409546837	290.212295557201	3.50583968611923e-05	0.038672102780236	FT	RGC
ENST00000440685	-8.64406683490279	5.56686577771036	285.886113544331	3.62196770683468e-05	0.038672102780236	FT	RGC
ENST00000403681	-4.71490621638193	5.81666009624073	277.674443057115	3.85832890957707e-05	0.038672102780236	FT	RGC
ENST00000342503	5.50216513683079	8.57977363264043	275.659861079789	3.91973891988746e-05	0.038672102780236	FT	RGC
ENST00000297268	-5.93244095620309	6.5144786058325	273.723401053691	3.98011733338547e-05	0.038672102780236	FT	RGC
ENST00000280979	3.88096483499949	6.99837035978181	272.292855186195	4.02559446141189e-05	0.038672102780236	FT	RGC
ENST00000234396	-3.80744464441545	7.26717083297422	259.112753708289	4.48262023989083e-05	0.038672102780236	FT	RGC
ENST00000252575	4.30975578956712	5.70982466929613	249.553208193637	4.8628906991451e-05	0.038672102780236	FT	RGC
ENST00000515144	5.64258163776096	5.37168953793196	247.904417549984	4.93319652048165e-05	0.038672102780236	FT	RGC
ENST00000305124	4.17855124324005	8.79801860716827	239.943215737024	5.29438524304242e-05	0.038672102780236	FT	RGC
ENST00000451137	-6.98468003714022	7.0296600333475	248.247791385682	5.45724362835475e-05	0.038672102780236	FT	RGC
ENST00000637923	4.41971987223273	6.22937098524716	234.91193089508	5.54281722169515e-05	0.038672102780236	FT	RGC
ENST00000271636	-4.17053761671121	6.24992654906622	233.587412907986	5.61103730605929e-05	0.038672102780236	FT	RGC
ENST00000249700	3.65350418929099	7.07236331051122	231.673185914016	5.71180921564127e-05	0.038672102780236	FT	RGC
ENST00000388835	-4.55685928441083	6.26546769460267	231.305403271721	5.73147190484421e-05	0.038672102780236	FT	RGC
ENST00000361727	5.69872790639531	5.02457250269817	228.997511983248	5.85713627211308e-05	0.038672102780236	FT	RGC
ENST00000350051	-5.0827302851435	6.1738725646965	227.838539728824	5.92175888262509e-05	0.038672102780236	FT	RGC
ENST00000351559	4.27530409373845	7.218104149833	223.793310267556	6.1556317396948e-05	0.038672102780236	FT	RGC
ENST00000355841	-3.61142468110904	6.44147123887118	222.126388368159	6.2559267023902e-05	0.038672102780236	FT	RGC
ENST00000507359	3.41376647130529	6.89810193738764	218.185298076031	6.50271775197505e-05	0.038672102780236	FT	RGC
ENST00000395925	-3.70298043910908	6.4994346048919	216.47953031292	6.6139418898118e-05	0.038672102780236	FT	RGC
ENST00000265770	4.45303388372336	8.94743335427927	211.324561331328	6.9674087508848e-05	0.038672102780236	FT	RGC
ENST00000371250	-3.35851762054059	6.85541549746168	206.987832745614	7.28646873141744e-05	0.038672102780236	FT	RGC
ENST00000224784	-7.96806829119113	6.8378682713163	218.622381725127	7.32044919322143e-05	0.038672102780236	FT	RGC
ENST00000693108	4.50038844610246	5.62193749482408	204.632095992108	7.46876249748115e-05	0.038672102780236	FT	RGC
ENST00000262464	-3.75973605239206	6.52703827274305	203.415048661155	7.56555059618159e-05	0.038672102780236	FT	RGC
ENST00000560615	-5.4283752040934	4.95780488153263	201.458137756201	7.72504650013145e-05	0.038672102780236	FT	RGC
ENST00000359546	4.30025572168563	6.27322766613248	198.425550858367	7.98204656320143e-05	0.038672102780236	FT	RGC
ENST00000566265	3.78299007554302	5.93072328345791	196.852038878738	8.12032233536526e-05	0.038672102780236	FT	RGC
ENST00000420428	5.63650699506316	8.08991556428706	206.244133700163	8.18162031492564e-05	0.038672102780236	FT	RGC
ENST00000374561	-2.7790240188781	9.5277886911866	195.58299451886	8.23439611178747e-05	0.038672102780236	FT	RGC
ENST00000400256	-4.36780662613631	5.39328488334497	193.217011615501	8.45338831203274e-05	0.038672102780236	FT	RGC
