gene_id	logFC	logCPM	F	PValue	FDR	condition_1	condition_2
ENSG00000151615	9.6761692452719	6.93697524131048	883.155851856424	1.16945956711102e-08	0.000176600089229436	FT	RGC
ENSG00000143768	-7.03579565952892	5.00797893366295	509.870864889986	3.17067909064729e-08	0.000239402124739324	FT	RGC
ENSG00000171243	-6.46654293594283	4.45930661500802	378.357034446057	9.64951658316431e-08	0.000485724499741214	FT	RGC
ENSG00000204520	-6.33139925099968	4.09199495267808	287.522087166956	2.1853407889644e-07	0.000490080535551072	FT	RGC
ENSG00000118523	-8.54507534310194	5.54207526569801	319.639394544861	2.21223064908048e-07	0.000490080535551072	FT	RGC
ENSG00000165646	6.02460471255825	6.51044996329698	539.18647499092	2.5127647581848e-07	0.000490080535551072	FT	RGC
ENSG00000164294	-6.23722782623846	4.46911323734314	313.770837823851	2.58765543432294e-07	0.000490080535551072	FT	RGC
ENSG00000162105	5.64067620650354	6.67739681247093	505.508361826449	3.046103898599e-07	0.000490080535551072	FT	RGC
ENSG00000142089	-7.00628175958069	6.84383318948811	467.783965634125	3.49840087373719e-07	0.000490080535551072	FT	RGC
ENSG00000185885	-6.18881022599039	5.26572923257479	395.10816653547	3.52396292688028e-07	0.000490080535551072	FT	RGC
ENSG00000137693	-6.17925294151713	8.01239055417142	468.479251886712	3.88552841909444e-07	0.000490080535551072	FT	RGC
ENSG00000185650	-6.6437238593697	7.98908551551239	470.512182542457	3.89442184399236e-07	0.000490080535551072	FT	RGC
ENSG00000053108	7.68292567157878	7.68317429918086	450.76905829451	4.45638252523881e-07	0.000517660250104856	FT	RGC
ENSG00000184232	-5.98828418143285	4.40684590920053	271.195513558695	5.56071178241027e-07	0.000586282341328845	FT	RGC
ENSG00000104722	5.02988002241373	7.41511962363863	404.996557138391	6.03746996910444e-07	0.000586282341328845	FT	RGC
ENSG00000178999	-5.54306495735056	4.27692783910333	277.363648813836	7.56227045814013e-07	0.000586282341328845	FT	RGC
ENSG00000277586	5.74790715882464	6.75623729487672	374.221862143089	7.74485788281991e-07	0.000586282341328845	FT	RGC
ENSG00000074181	-5.25590151177386	5.14298547067503	362.856400632037	7.74530442899246e-07	0.000586282341328845	FT	RGC
ENSG00000101335	-7.9129204594356	5.59510518908433	209.572502713882	8.01490345342473e-07	0.000586282341328845	FT	RGC
ENSG00000162188	5.55786485343878	6.61887497028624	364.218291822128	8.41946210642341e-07	0.000586282341328845	FT	RGC
ENSG00000187122	4.80499878225525	7.49649116417725	353.849927742032	9.17014449547039e-07	0.000586282341328845	FT	RGC
ENSG00000112984	-5.57931165662925	3.81793376291439	211.519391695357	1.04042044424403e-06	0.000586282341328845	FT	RGC
ENSG00000175874	5.84697276925138	4.518999196672	333.798839498943	1.09636623805428e-06	0.000586282341328845	FT	RGC
ENSG00000261210	-6.05758857883801	3.54586448201236	183.135208860014	1.1729732614989e-06	0.000586282341328845	FT	RGC
ENSG00000166803	-5.22328656620331	4.53079907457535	286.570190872419	1.1815025445251e-06	0.000586282341328845	FT	RGC
ENSG00000146250	-5.46756503353928	4.90320764174322	294.263365509335	1.20150337103528e-06	0.000586282341328845	FT	RGC
ENSG00000114315	-6.62429742071842	8.48319722324864	324.583154641257	1.20937540755296e-06	0.000586282341328845	FT	RGC
ENSG00000142871	-6.25273773347894	6.42229866831838	320.802401062249	1.23541008387588e-06	0.000586282341328845	FT	RGC
ENSG00000114251	-5.91908187075504	5.50565454273204	299.872300379299	1.24259752209754e-06	0.000586282341328845	FT	RGC
ENSG00000158402	-5.83884860953083	3.89025543803663	187.34797346514	1.3211741312621e-06	0.000586282341328845	FT	RGC
ENSG00000109991	5.69768731544978	5.36314820747267	318.818696388182	1.32132837077347e-06	0.000586282341328845	FT	RGC
ENSG00000157064	5.39121955353557	6.38539521125871	311.695406227059	1.36329698820464e-06	0.000586282341328845	FT	RGC
ENSG00000196132	4.49360319228133	6.12234399713266	311.402646214755	1.36356197510399e-06	0.000586282341328845	FT	RGC
ENSG00000108309	3.90154090894313	6.18851394463145	307.772285834349	1.41222021393816e-06	0.000586282341328845	FT	RGC
ENSG00000101489	4.70147420156943	8.54956294696521	304.792079193201	1.45407343839644e-06	0.000586282341328845	FT	RGC
ENSG00000152977	-4.59206647280467	6.04656959835941	307.006475898103	1.45456347244682e-06	0.000586282341328845	FT	RGC
ENSG00000180447	-4.28084588541623	5.57271245690099	305.095329741177	1.49247262328249e-06	0.000586282341328845	FT	RGC
ENSG00000135406	4.88137180737487	5.52869791721789	300.35447669227	1.53462621077189e-06	0.000586282341328845	FT	RGC
ENSG00000145808	-4.06056745513298	5.76078398613981	299.962257968692	1.55157227694642e-06	0.000586282341328845	FT	RGC
ENSG00000130287	4.50658012345552	5.16774784281165	295.562832902915	1.61267742237059e-06	0.000586282341328845	FT	RGC
ENSG00000119283	4.18195997712588	4.95152326763718	295.021381458151	1.61967379182165e-06	0.000586282341328845	FT	RGC
ENSG00000145920	3.90808419072371	6.71438263438009	293.562679485231	1.63318487096006e-06	0.000586282341328845	FT	RGC
ENSG00000145824	-4.97743727599687	4.69718987579759	277.121229902505	1.66943518158667e-06	0.000586282341328845	FT	RGC
ENSG00000015592	4.63075802932203	8.54773314616869	287.43645413821	1.74236579779641e-06	0.000597987861648263	FT	RGC
ENSG00000135447	3.99352074363372	6.69706965201019	280.531937307622	1.87878031936461e-06	0.000606125195320948	FT	RGC
ENSG00000149295	5.63910328982007	6.57602544670448	280.364300888741	1.89081810938097e-06	0.000606125195320948	FT	RGC
