isoform_id	DG-WT-hRGC	EP1-BRN3B-RO	EP1-WT_ROs_D45	H9-BRN3B-RO	H9-CRX_ROs_D45	H9-hRGC_1	H9-hRGC_2	hRGC
ENST00000440163	1.0000004708622086	5.999999772520667	0	5.0000009887021895	0	0	0	2.0000052594783617
ENST00000455464	3.000001412586626	6.999999734607445	1.0000005809463706	3.000000593221314	0.9999970235799627	1.0000004193479954	7.000000575291018	3.000002580192597
ENST00000419160	1.0000004708622086	5.999999772520667	1.0000005809463706	8.000001581923502	4.000001933864024	1.0000004193479954	1.999999285807873	4.999997221621067
ENST00000440038	6.000002825173252	3.9999998483471106	1.0000005809463706	4.000000790961751	4.000001933864024	0	8.99999986109889	15.999999603627328
ENST00000642074	1.0000004708622086	0.9999999620867777	0	2.0000003954808756	4.000001933864024	1.0000004193479954	0	3.000002580192597
ENST00000423728	0	0	0	0	2.000000966932012	0	0	3.999999900906832
ENST00000616311	2.000000941724417	0	0	0	0	0	0	2.0000052594783617
ENST00000616947	2.000000941724417	9.999999620867777	3.0000017428391117	4.000000790961751	4.000001933864024	0	0	3.000002580192597
ENST00000608420	7.000003296035461	11.999999545041334	0	6.000001186442628	2.9999979905119747	4.999999682356002	10.00000257896629	7.000002481099429
ENST00000641049	1.0000004708622086	0	1.0000005809463706	0	0	0	1.0000027178673994	0
ENST00000642124	0	1.9999999241735553	0	2.0000003954808756	0	0	0	0.9999973207142352
ENST00000445118	239.99999660853103	40.99999844555789	44.00000226825452	21.999998963982716	41.00000252267603	18.000000305111993	127.99999734119235	189.00000328138523
ENST00000669922	40.999997480650734	17.999999317562	24.999998994735403	19.999998568501837	13.999999848752	7.0000005210519936	14.99999771852251	23.000002084726756
ENST00000670780	44.999999364099565	25.999999014256222	27.000000156628147	19.999998568501837	9.00000089130801	1.0000004193479954	14.000001150582037	36.999996428875725
ENST00000610067	104.99999851623232	143.00000220984128	30.000001899467257	131.34513736104495	32.00000163136802	18.999999517268	60.999999741884366	160.99999335698752
ENST00000688309	7.000003296035461	1.9999999241735553	3.0000017428391117	2.0000003954808756	2.000000966932012	0	10.00000257896629	10.000005061292025
ENST00000659124	44.999999364099565	16.99999935547522	14.000000368787259	11.000002175144816	9.00000089130801	4.0000004701999945	19.999999008005656	27.000001985633588
ENST00000666741	25.999997692617544	10.999999582954556	7.999996883109034	6.000001186442628	4.000001933864024	3.0000000508519986	5.000001289483145	15.000002282913094
ENST00000688008	3.000001412586626	0.9999999620867777	3.0000017428391117	5.0000009887021895	0.9999970235799627	1.0000004193479954	3.999998571615746	3.000002580192597
ENST00000685764	7.000003296035461	0.9999999620867777	9.999998045001776	3.000000593221314	4.000001933864024	1.9999996315040034	3.999998571615746	12.99999702343473
