isoform_id	H9.FT_1	H9.FT_2	H9.hRGC_1	H9.hRGC_2
ENST00000236698.9	0	68.86541	1e-5	0
ENST00000236925.8	10.56053	17.18418	71.18329	253.53456
ENST00000237289.8	11.46409	6.63374	0	0
ENST00000237305.12	207.6615	149.46498	6.96525	32.23832
ENST00000238256.8	24.16842	24.12081	3.95455	8.22775
ENST00000238856.8	161.83298	96.56693	44.57546	126.41876
ENST00000238961.9	191.04833	191.73871	66.14026	234.57099
ENST00000239940.12	133.91088	266.61459	408.53087	2606.49995
ENST00000240139.10	19.96862	40.40212	16.33288	128.51694
ENST00000241001.13	172.02944	187.23321	108.0266	609.25747
ENST00000242285.11	2.34485	7.28754	4.41286	30.23043
ENST00000242576.7	160.52814	138.98992	5.20269	129.40773
ENST00000243050.5	11.25028	8.71708	0	1.51464
ENST00000243326.9	276.87145	283.07627	133.75569	333.84121
ENST00000244070.8	1.89383	1.80693	0	1.27562
ENST00000244364.10	28.42333	147.71111	136.34315	71.66729
ENST00000244763.9	556.05667	645.66297	144.09655	673.66863
ENST00000244769.8	105.27957	119.06989	50.66566	104.96154
ENST00000245222.9	21.1863	35.24587	3.86099	31.76489
ENST00000245539.11	276.88761	266.46469	106.87211	484.40421
ENST00000245865.10	1.82592	6.74594	0	0
ENST00000245925.8	20.03631	20.52753	4.5	15.52867
ENST00000245960.10	142.05047	66.66992	3.92931	10.73356
ENST00000246024.7	389.05131	265.72603	188.78042	679.94262
ENST00000246041.6	2.53256	4.30932	1.38226	2.99477
ENST00000246043.8	80.69134	70.49993	36.76756	76.61805
ENST00000246868.7	270.77297	304.6587	137.99066	656.10883
ENST00000247956.11	71.91846	95.3957	14.20017	99.61668
ENST00000247977.9	69.61338	72.44612	0	91.82737
ENST00000248553.7	1921.24521	1392.55309	186.79592	587.51152
ENST00000248572.10	10.46965	6.61499	5	9.77778
ENST00000249837.7	400.43132	499.89378	5.78826	41.68258
ENST00000250076.8	9.6465	11.36243	4.75236	0
ENST00000250173.5	0	0	2.99089	4.27905
ENST00000251076.9	85.79577	112.85239	178.00913	569.74778
ENST00000251203.14	7.38008	10.43564	7.8044	26.37197
ENST00000251507.8	2.08858	7.23789	1e-5	12.04549
ENST00000251607.11	23.17375	20.1435	0	29.57086
ENST00000251722.10	42.26333	32.97245	4.75653	19.85292
ENST00000251822.7	76.11371	68	29.51996	158.40316
ENST00000252029.8	0	0	0	1.64026
ENST00000252268.8	5.09546	2.23727	19.27918	62.99817
ENST00000252799.3	21	10.06558	6	28.36542
ENST00000252971.11	0	1	0	4.72815
ENST00000253144.13	23.20989	26.84048	0	3.96465
ENST00000253392.5	0	0	13.57615	0
ENST00000253796.10	215.33252	159.24058	26.69271	163.56872
ENST00000254695.13	7.95096	12.9056	0	15.73731
ENST00000254770.3	73.80476	87.64915	23.85618	173.8876
ENST00000254976.7	4.93604	3.9707	25.16989	125.58552
ENST00000255006.12	340.90742	163.41803	60.82674	265.73379
ENST00000255194.11	9.06843	141.13719	0	31.9804
ENST00000255681.7	127.22293	104.21911	19.21052	106.79028
ENST00000256429.8	131.2861	130.02744	39.47154	115.06228
ENST00000256678.12	12.14339	0	0	20.52894
ENST00000256707.8	75.13796	99.28705	102.74452	166.16825
ENST00000257789.4	120.10572	147.80543	32.47379	100.65143
ENST00000258349.8	30.96311	9.84366	53.81201	180.03076
ENST00000258781.11	80.66367	57.42952	18.3085	132.78274
ENST00000258947.8	230.31504	243.24225	29.05875	107.38018
ENST00000258962.5	404.54411	393.81407	164.83368	778.11224
ENST00000259751.5	5.00288	15.87457	1.99154	7.9934
ENST00000260054.8	0	0	9.08683	0
ENST00000260058.9	73.38144	25.25463	9.48647	68.69988
ENST00000260363.9	51.57911	48.95252	1.5	2.87085
ENST00000260376.11	38.44752	23.73927	0	3.62895
ENST00000260762.10	138.96478	88.77967	29.54088	136.52781
ENST00000261017.9	328.38325	347.21643	43.54423	246.05897
ENST00000261018.12	12.01759	7.58973	26.05276	253.76167
ENST00000261168.9	595.5055	418.16149	113.40185	624.18321
ENST00000261183.8	197.23759	231.04217	98.91101	138.38312
ENST00000261187.8	0	0	7.22108	17.48417
ENST00000261245.9	275.17377	227.45805	62.78138	262.52518
ENST00000261435.11	277.49601	212.14592	114.68572	219.14377
ENST00000261439.9	25.87054	2.47483	6.50903	1e-5
ENST00000261692.7	312.33235	214.81953	25.98472	170.9661
ENST00000261735.4	845.97768	763.68098	134.29615	915.12189
ENST00000261833.11	1e-5	15.41074	2.79864	1e-5
ENST00000261879.10	164.19603	176.67846	42.90583	274.43157
ENST00000261908.11	267.90634	270.03303	111.04894	467.71959
ENST00000261947.4	89.4662	153.86963	63.84668	387.98797
ENST00000262094.10	8	19.74714	0	5.11559
ENST00000262126.9	805.79896	606.93787	628.09812	1737.17968
ENST00000262135.9	14.80881	30.33575	16.09087	36.95617
ENST00000262160.11	632.71354	602.68934	285.98228	878.52253
ENST00000262173.7	2.73488	3.9088	37.62093	47.35294
ENST00000262188.13	165.74928	95.02723	0	32.00734
ENST00000262233.11	353.63657	356.10618	46.77278	161.95322
ENST00000262318.12	2.90658	6.97684	0	4.32762
ENST00000262406.10	35.35216	16.76323	23.05859	66.89045
ENST00000262547.9	3.21752	0	2.06275	8.06975
ENST00000262584.7	9619.09506	9752.59563	1087.76507	10234.5015
ENST00000262593.10	38.72222	31.625	16.94118	140.52732
ENST00000262738.9	27.50506	55.68451	3.42818	40.16541
ENST00000262752.5	83	139.75887	29.6	121.07802
ENST00000262765.10	18.91444	52.97927	0	2.04214
ENST00000263097.9	936.68669	827.4844	71.30132	426.3492
ENST00000263246.8	83.13225	81.80892	2.65233	32.56333
ENST00000263441.11	26.87464	0	5.33349	0
ENST00000263574.9	124.55715	230.639	37.8876	63.67822
ENST00000263578.10	67.47727	62.212	13.64323	150.51873
ENST00000263688.4	393.82117	323.48576	61.53932	246.35388
ENST00000263710.8	20.03078	92.93393	52.60394	248.87119
ENST00000263934.10	51.0821	47.72099	2.99699	23.62016
ENST00000263991.9	51.05458	41.23337	64.60172	157.1654
ENST00000263997.11	87.96782	95	17.26205	94.08632
ENST00000264093.9	45.61013	44.1446	22.17019	108.89205
ENST00000264160.8	20.60646	11.62478	5.6244	79.45279
ENST00000264312.12	502.10431	381.3681	152.59523	531.13496
ENST00000264501.8	55.107170000000004	72.20577	93.78961	642.93516
ENST00000264554.11	172.41134	123.1304	94.78115	576.70921
ENST00000264723.9	95.98535	52.22176	1.56358	11.31911
ENST00000264758.11	240.0337	210.51161	7.0908	24.37288
ENST00000264775.9	13.88277	9.55245	1.61538	4.26761
ENST00000264963.9	146.5803	128.16315	27.19419	108.42158
ENST00000265026.8	97.40822	107.60204	140	589.51404
