isoform_id	H9.FT_1	H9.FT_2	H9.hRGC_1	H9.hRGC_2
ENST00000233545.6	1.15194	4.24179	5.00348	3.24191
ENST00000236040.8	1.36352	1.40146	0.9644	0.16386
ENST00000236698.9	0	9.1058	0	0
ENST00000236925.8	1.27524	2.27219	23.44516	20.6656
ENST00000237289.8	1.38435	0.87715	0	0
ENST00000237305.12	25.0763	19.76315	2.2941	2.62774
ENST00000238256.8	2.91847	3.1894	1.30248	0.67064
ENST00000238856.8	19.54224	12.76866	14.68152	10.30439
ENST00000238961.9	23.07016	25.35284	21.78417	19.11988
ENST00000239940.12	16.17049	35.25337	134.55508	212.45575
ENST00000240139.10	2.41132	5.34221	5.37945	10.47541
ENST00000241001.13	20.77352	24.75709	35.58	49.66056
ENST00000242285.11	0.28315	0.9636	1.45344	2.46408
ENST00000242576.7	19.38468	18.37808	1.71357	10.54802
ENST00000243050.5	1.35853	1.15262	0	0.12346
ENST00000243326.9	33.43379	37.43003	44.05421	27.21139
ENST00000244070.8	0.22869	0.23892	0	0.10398
ENST00000244364.10	3.43228	19.53124	44.90643	5.8416
ENST00000244763.9	67.14698	85.37341	47.46011	54.91071
ENST00000244769.8	12.7131	15.74413	16.68741	8.55541
ENST00000245222.9	2.55837	4.66042	1.27167	2.58916
ENST00000245539.11	33.43574	35.23355	35.19975	39.48378
ENST00000245865.10	0.22049	0.89199	0	0
ENST00000245925.8	2.4195	2.71427	1.48213	1.26574
ENST00000245960.10	17.15339	8.81549	1.29417	0.87489
ENST00000246024.7	46.98014	35.13588	62.17734	55.422110000000004
ENST00000246041.6	0.30582	0.5698	0.45526	0.2441
ENST00000246043.8	9.74393	9.32192	12.10988	6.24514
ENST00000246868.7	32.69736	40.28379	45.44906	53.47942
ENST00000247956.11	8.68456	12.61379	4.67701	8.11975
ENST00000247977.9	8.40621	9.57926	0	7.48485
ENST00000248553.7	232.00119	184.13168	61.52372	47.88805
ENST00000248572.10	1.26427	0.87467	1.64682	0.79699
ENST00000249837.7	48.35434	66.09894	1.90644	3.39755
ENST00000250076.8	1.16487	1.50241	1.56525	0
ENST00000250173.5	0	0	0.98509	0.34878
ENST00000251076.9	10.36032	14.92202	58.62967	46.44013
ENST00000251203.14	0.89119	1.37986	2.57048	2.14958
ENST00000251507.8	0.25221	0.95704	0	0.98183
ENST00000251607.11	2.79836	2.66349	0	2.41032
ENST00000251722.10	5.10354	4.35981	1.56663	1.61821
ENST00000251822.7	9.19116	8.99137	9.72279	12.91144
ENST00000252029.8	0	0	0	0.1337
ENST00000252268.8	0.61531	0.29583	6.34986	5.13498
ENST00000252799.3	2.53587	1.33093	1.97618	2.31206
ENST00000252971.11	0	0.13223	0	0.38539
ENST00000253144.13	2.80273	3.54901	0	0.32316
ENST00000253392.5	0	0	4.47148	0
ENST00000253796.10	26.00262	21.05574	8.7916	13.33248
ENST00000254695.13	0.96012	1.70646	0	1.28275
ENST00000254770.3	8.91234	11.58949	7.85735	14.17357
ENST00000254976.7	0.59605	0.52503	8.29004	10.23647
ENST00000255006.12	41.16649	21.60811	20.0341	21.65995
ENST00000255194.11	1.09506	18.662	0	2.60672
ENST00000255681.7	15.36289	13.78047	6.32724	8.70447
ENST00000256429.8	15.85354	17.193	13.00048	9.37872
ENST00000256678.12	1.46638	0	0	1.67331
ENST00000256707.8	9.07333	13.12833	33.84027	13.54437
ENST00000257789.4	14.50344	19.54372	10.69567	8.2041
ENST00000258349.8	3.73897	1.30159	17.7237	14.6743
ENST00000258781.11	9.74059	7.59367	6.03015	10.82312
ENST00000258947.8	27.81184	32.16294	9.57089	8.75256
ENST00000258962.5	48.85098	52.07245	54.29017	63.42391
ENST00000259751.5	0.60413	2.09903	0.65594	0.65154
ENST00000260054.8	0	0	2.99287	0
ENST00000260058.9	8.86122	3.33932	3.12449	5.59973
ENST00000260363.9	6.22847	6.47279	0.49404	0.234
ENST00000260376.11	4.64275	3.13895	0	0.2958
ENST00000260762.10	16.78078	11.73898	9.72968	11.12838
ENST00000261017.9	39.65413	45.91103	14.34187	20.05626
ENST00000261018.12	1.45119	1.00356	8.58082	20.68411
ENST00000261168.9	71.91064	55.29181	37.35041	50.87716
ENST00000261183.8	23.81755	30.54978	32.57766	11.2796
ENST00000261187.8	0	0	2.37836	1.42513
ENST00000261245.9	33.22878	30.07586	20.67788	21.39842
ENST00000261435.11	33.50921	28.0512	37.77327	17.8624
ENST00000261439.9	3.12401	0.32724	2.14384	0
ENST00000261692.7	37.71589	28.40472	8.55841	13.93544
ENST00000261735.4	102.15657	100.97846	44.23222	74.59156
ENST00000261833.11	0	2.0377	0.92177	0
ENST00000261879.10	19.8276	23.36148	14.13161	22.36891
ENST00000261908.11	32.3512	35.70538	36.57544	38.12381
