"","gene_id","gene_name","DG-WT-hRGC","EP1-BRN3B-RO","H9-BRN3B-RO","hRGC"
"1","A1BG","A1BG",421.275043384027,425.510625029498,525.806336672254,928.722743234299
"2","A1CF","A1CF",7.00786678717543,25.9135865144044,54.3290581165825,36.1603141043486
"3","A2M","A2M",104.279807460669,338.524970849032,335.918823555766,230.702762444588
"4","A2ML1","A2ML1",49.6560878940626,63.0055526488558,77.3991340795843,39.018630749731
"5","A2MP1","A2MP1",34.1956432821853,39.188762895388,65.3546224742303,65.5412947571201
"6","A3GALT2","A3GALT2",7.03122987611222,21.9322433169844,11.2588906632093,38.9956405705378
"7","A4GALT","A4GALT",174.960328490005,100.975724357197,107.665054448367,190.852392218198
"8","A4GNT","A4GNT",0,6.99999920433058,7.00000345047883,0
"9","AAAS","AAAS",205.927232248613,217.609920081398,191.215985929773,276.430004863488
"10","AACS","AACS",507.182499266598,415.048987383758,424.92903059275,884.607766039157
"11","AACSP1","AACSP1",25.5720591538853,3.01178261557469,36.5368308995929,96.8261228974839
"12","AADAC","AADAC",0,2.00000413672387,7.99999373942184,2.00000304662724
"13","AADACL2","AADACL2",32.8669603396185,58.420160546632,76.0520185901981,58.6380505523182
"14","AADACL3","AADACL3",23.9826120391413,40.8822290527327,52.917714679495,33.0859427191609
"15","AADACL4","AADACL4",0,4.99999506760671,6.05351264199428,1.00000152331362
"16","AADACP1","AADACP1",0.999994715321423,3.99999299924477,13.0000023264391,1.00000152331362
"17","AADAT","AADAT",632.486467318406,268.459330281367,211.799343184533,745.974684449737
"18","AAGAB","AAGAB",710.118014541353,465.834001544011,431.811420899674,827.807015670974
"19","AAK1","AAK1",3840.14670068254,3174.43286798564,3440.11650679383,4964.0185986439
"20","AAMDC","AAMDC",140.696110075095,432.534375619445,255.029651939893,320.989248435476
"21","AAMP","AAMP",714.237670560744,920.581329782599,785.922153505344,1044.01674064351
"22","AANAT","AANAT",5.00557587272287,635.182236343994,487.186925996908,47.2529839301777
"23","AAR2","AAR2",383.822452260254,430.014498710477,364.428103840689,481.430154236285
"24","AARD","AARD",45.8158198960985,78.1601891567342,92.5144158642246,61.2394025641848
"25","AARS1","AARS1",769.819443328509,1047.0297202371,1205.64356324152,1024.69258886422
