"gene","logFC","logCPM","F","PValue","FDR"
"ENSG00000109762",4.87214503773733,5.25601269664015,1432.17947247731,1.08012647983066e-15,1.46400343076247e-11
"ENSG00000154545",-7.52158093030835,7.50955644695726,1255.34543169154,3.05655712731343e-15,2.07142876518031e-11
"ENSG00000068305",3.65061287453921,7.20415161549641,937.243173082554,2.11640657240977e-14,7.27705010724832e-11
"ENSG00000075151",4.00670664669722,7.83922771607341,909.555267777209,2.61198742975962e-14,7.27705010724832e-11
"ENSG00000178951",5.53794685135923,3.74018553584985,908.172665211961,3.20350422644398e-14,7.27705010724832e-11
"ENSG00000124593",4.04522808597164,5.40840790465596,875.051701771442,3.43701955629123e-14,7.27705010724832e-11
"ENSG00000160145",4.46097591011,7.10132261242003,844.355688309822,4.40452152290563e-14,7.27705010724832e-11
"ENSG00000181588",5.4371088876245,3.61545325849577,859.903276031102,4.72043376190297e-14,7.27705010724832e-11
"ENSG00000176406",3.45596894196579,6.90196810269573,833.20978739776,4.83203858383023e-14,7.27705010724832e-11
"ENSG00000109265",3.05185694197528,6.80878528492513,802.422665438963,6.28905116715728e-14,8.52417995196498e-11
"ENSG00000143776",3.56535643203416,6.64456610419102,764.956358531909,8.79606480742285e-14,9.40531096030536e-11
"ENSG00000112787",4.10014900896945,4.92087843209514,757.719997754111,9.44288530485469e-14,9.40531096030536e-11
"ENSG00000272772",-7.49597829725668,7.84708737157576,765.624180103775,9.67427786955522e-14,9.40531096030536e-11
"ENSG00000197921",4.56528428374562,5.49435630096555,754.549696606812,9.71479662419028e-14,9.40531096030536e-11
"ENSG00000105583",-6.99858577220487,7.26952111428427,757.343574735389,1.04855016603836e-13,9.47469930032261e-11
"ENSG00000178852",6.90433489102063,5.09289438907265,733.022180190483,1.42116449447422e-13,1.12513025640791e-10
"ENSG00000101333",4.07166642951773,7.02452761104031,708.052048847287,1.51039642692021e-13,1.12513025640791e-10
"ENSG00000139746",3.79571528384411,6.05094579889295,706.672070858133,1.5318704769691e-13,1.12513025640791e-10
"ENSG00000187017",6.09754559476675,4.39675027967513,716.531274238035,1.61831001011114e-13,1.12513025640791e-10
"ENSG00000142599",2.93661412608756,7.15140606416281,698.464191951872,1.66021876406656e-13,1.12513025640791e-10
"ENSG00000144935",3.97350822760159,5.35386674718575,693.226614545803,1.75500699830056e-13,1.13273165976027e-10
"ENSG00000177189",3.93944835861529,6.0359685261387,681.653273790684,1.97096102521773e-13,1.16510070547876e-10
"ENSG00000198707",3.66498687741835,6.39590511453509,678.023043805847,2.04456847023625e-13,1.16510070547876e-10
"ENSG00000204406",3.11617027782827,6.44984138736733,677.128029962126,2.06303799110892e-13,1.16510070547876e-10
