"","LR__H9_CRX_ROs_D45","LR__EP1_WT_ROs_D45","SR__D0_1","SR__D0_2","SR__D0_3","SR__D10_3","SR__D10_4","SR__D10_5","SR__D10_6","SR__D25_1","SR__D25_2","SR__D25_3","SR__D25_4"
"ENSG00000000003",1141.00001,2523.99999,3434,3664,2772,6646,6418,4852,5561,5466,4887,6136,5604
"ENSG00000000419",1265.99999,1485,1110,1090,821,1298,1705,965,1164,878,822,917,945
"ENSG00000000457",339.99999,292.99999,247,189,218,299,209,239,290,477,492,477,351
"ENSG00000000460",541,819.00001,1172,1079,955,1147,1037,1007,1144,1331,1030,1042,1335
"ENSG00000001036",673,486,2888,2803,2304,1608,1350,1274,1419,1863,1635,1685,1617
"ENSG00000001084",212,229,485,423,394,465,272,343,404,360,307,342,401
"ENSG00000001167",512,639,1032,1091,976,1329,893,1295,1254,1312,1170,986,1086
"ENSG00000001460",90,104,341,310,270,544,421,486,525,335,282,252,318
"ENSG00000001461",174.00001,166,521,483,438,482,289,449,426,507,675,459,412
"ENSG00000001497",485.99999,535.99999,3654,3253,2815,3319,2281,3488,3786,2542,2522,1962,2330
"ENSG00000001561",89,122,111,136,108,444,212,304,298,349,306,324,349
"ENSG00000001617",695,474,228,181,187,379,265,368,409,74,70,69,100
"ENSG00000001629",767,1059,520,487,463,793,551,731,613,317,278,283,307
"ENSG00000001630",850,1277,3643,3643,3001,3272,2059,2530,2796,4189,3813,3462,4019
"ENSG00000001631",931,1722,797,626,617,1102,466,814,1001,955,954,998,968
"ENSG00000002016",319.99999,460.99999,264,239,166,358,266,348,376,329,344,348,302
"ENSG00000002330",679.00001,681,686,464,493,581,1005,550,598,1710,1866,1452,1491
"ENSG00000002549",462,497,1972,1683,1443,1780,1438,1647,1701,1267,1279,1251,1356
"ENSG00000002587",78,106,46,42,22,22,12,15,22,91,106,71,62
"ENSG00000002746",103,125,265,191,231,41,24,61,67,184,263,186,198
"ENSG00000002822",674,1066,916,764,707,1012,718,1104,1166,1438,1537,1085,1350
"ENSG00000002834",939,888,3553,3297,2813,2589,1456,2470,2563,3088,3263,2276,3014
"ENSG00000002919",162,192.99999,984,899,700,1555,1537,1463,1493,1335,1343,1164,1243
"ENSG00000002933",335,335.99999,7,9,1,9,11,7,4,783,1157,997,713
"ENSG00000003056",370,478,5016,4540,3637,4854,3327,3941,4530,3161,3102,2603,2696
"ENSG00000003096",232,386,786,720,545,1780,1431,1446,1674,1968,1784,1783,1729
"ENSG00000003147",117.99999,326,1020,932,804,316,218,265,233,59,58,64,62
"ENSG00000003249",126,186,766,550,576,620,691,741,658,119,153,149,144
"ENSG00000003393",652,705.99999,1042,1077,994,1612,837,1438,1446,1338,1366,1137,1071
"ENSG00000003402",141,155,385,275,303,559,377,419,447,568,563,475,593
"ENSG00000003436",162.99999,187,276,251,208,1359,707,879,1069,403,228,309,338
"ENSG00000003509",294,293.00001,1015,956,946,513,415,417,505,555,495,518,488
"ENSG00000003756",1491.99998,2065,1765,1422,1396,2861,2027,2533,2711,2307,2585,2129,2141
"ENSG00000003987",294,499,182,182,150,243,135,224,191,340,269,242,234
"ENSG00000003989",112.00001,126,252,237,228,329,192,348,291,40,32,56,50
"ENSG00000004059",1255,1414,2182,1951,2116,3582,5641,3670,3266,3022,2668,3291,3909
"ENSG00000004139",673,487,91,54,53,51,55,61,63,452,441,352,442
"ENSG00000004142",591,616,1726,2131,2294,2850,3411,2847,2515,2786,2227,2842,3544
"ENSG00000004399",306,63,356,278,271,197,142,215,207,58,53,45,63
"ENSG00000004455",870,1129,4325,3625,3296,4815,5300,4216,4222,4938,4488,4591,4581
"ENSG00000004478",780,854,4857,5386,6293,3996,4106,4301,3588,2350,1915,2557,3488
"ENSG00000004487",4568.99999,6543.00001,2044,1602,1929,2715,3887,3320,2013,1661,1511,1572,3872
"ENSG00000004534",2277,3294.99999,1765,1621,1378,2618,1453,2502,2690,1811,1988,1505,1587
"ENSG00000004660",224,156,120,66,77,75,63,80,82,105,112,123,111
"ENSG00000004700",592,452,1178,1108,938,1119,742,889,1065,884,715,729,787
"ENSG00000004766",398,756,268,267,190,361,216,244,291,463,392,381,393
"ENSG00000004777",527.00001,453,144,109,111,250,157,304,302,1071,1133,775,929
"ENSG00000004779",1318,1685,4045,3817,3400,3170,5339,2794,2877,3095,2990,3183,3410
"ENSG00000004799",46,53,0,1,0,0,1,1,0,60,67,81,90
"ENSG00000004838",187,241,9,6,3,16,20,8,11,257,135,159,237
"ENSG00000004848",70,27,1,0,0,11,3,12,17,93,74,43,71
"ENSG00000004864",802,1120,2577,2505,2231,3811,2191,3098,3488,2612,2529,2449,2568
"ENSG00000004866",521.00002,938.99998,354,352,259,123,105,137,111,666,864,616,584
"ENSG00000004897",1619,1602.00001,1753,1726,1435,2804,1831,2312,2566,2171,1894,1870,2014
"ENSG00000004961",162.99999,212,888,744,759,778,715,583,596,659,677,788,692
"ENSG00000004975",413,445,702,728,699,1413,1011,1399,1332,1442,1549,1309,1821
"ENSG00000005007",445,417,371,236,302,206,253,297,234,220,202,184,263
"ENSG00000005020",37,24,104,105,79,94,47,79,105,74,155,125,123
"ENSG00000005022",2298,2252,15850,13814,12596,9543,13528,7602,7400,6052,5930,6703,6082
"ENSG00000005059",589,739,93,89,127,309,526,300,222,266,171,334,536
"ENSG00000005075",1554,1472,1430,1050,1030,1281,1453,1388,1383,1739,1827,1544,1667
"ENSG00000005100",284.99999,310,716,689,597,490,347,517,486,387,263,238,287
"ENSG00000005108",342,681,23,15,19,24,15,42,27,256,339,282,238
"ENSG00000005156",521.99999,677.99999,3386,3281,2634,3917,2279,3647,3875,3746,3743,3090,3455
"ENSG00000005175",794,930,919,922,784,1440,760,1090,1126,1149,1013,930,1003
"ENSG00000005189",432,378.00001,238,217,205,273,269,217,230,568,572,520,505
"ENSG00000005194",812,894.00001,4086,3323,3145,3968,4969,3508,3675,4107,3911,3939,3665
"ENSG00000005206",653,584,959,751,743,944,671,979,1140,1363,1763,1078,1383
"ENSG00000005238",278.99999,271.00001,132,128,155,508,280,494,492,866,998,739,806
"ENSG00000005249",339,469.99999,248,190,171,279,256,214,219,344,284,307,395
"ENSG00000005302",494.99999,413.00001,281,247,227,583,488,445,500,661,616,572,687
"ENSG00000005339",2462.00001,2289,1120,885,704,1156,799,1261,1037,1439,1392,997,1097
"ENSG00000005379",357,382,157,137,144,425,249,392,471,687,894,620,749
"ENSG00000005421",14,35,52,32,29,132,159,109,109,8,10,2,4
"ENSG00000005436",1021,644,371,420,338,485,420,484,393,399,324,322,343
"ENSG00000005448",1004,1112.99999,5431,4150,3663,8085,10284,7019,7620,6394,6191,6042,5902
"ENSG00000005469",357,410,140,167,90,236,96,131,178,785,638,700,662
"ENSG00000005471",74.00001,49,18,21,25,21,25,26,21,19,29,25,28
"ENSG00000005483",3632,2799.99998,2042,1717,1556,4567,2169,4092,4298,6038,6239,4935,5897
"ENSG00000005486",1155,960,1319,1027,1001,2754,2185,2528,2837,5709,6300,4977,5250
"ENSG00000005513",81,39,35,34,33,38,55,48,29,54,49,66,72
"ENSG00000005700",1653,2060,878,910,688,801,409,787,831,1458,1372,1338,1543
"ENSG00000005801",853.00001,789,2796,2591,2106,2305,2232,1958,2089,1955,1974,2003,1962
"ENSG00000005810",4187.99998,3941.99999,1147,990,868,1079,585,849,838,1492,1576,1181,1279
"ENSG00000005812",322,295,56,96,90,249,214,222,188,159,115,253,337
"ENSG00000005882",416.99999,369.99999,718,549,397,1413,992,1250,1411,1650,1813,1493,1518
"ENSG00000005884",122,78,305,256,316,228,112,148,131,110,83,85,128
"ENSG00000005889",853.99999,956.99999,935,1019,850,1611,865,1396,1336,1628,1538,1366,1457
"ENSG00000005893",826,858.00001,1873,1997,1539,1717,1146,1193,1465,3919,3823,3894,3654
"ENSG00000005961",95,123,206,123,160,250,155,242,319,105,110,93,121
"ENSG00000006007",517,472,1793,1741,1440,1849,1662,1523,1608,2350,2419,2196,2441
"ENSG00000006015",709.00002,655,1380,1216,1360,1267,2098,1581,1470,1224,1362,1384,1502
"ENSG00000006016",60.00001,30.00001,55,51,57,31,54,29,30,15,43,23,19
"ENSG00000006025",77,92.00001,128,100,100,152,84,195,204,196,264,125,169
"ENSG00000006042",1649,1896.00001,2139,1849,1640,4722,5838,4198,4315,5075,5640,5096,4584
"ENSG00000006047",25,43,51,44,45,88,62,92,101,16,19,10,16
"ENSG00000006062",402,246.00001,196,160,147,117,60,99,119,254,258,162,189
"ENSG00000006071",29.00001,241,56,68,64,71,67,58,108,183,157,176,180
"ENSG00000006118",809,669,199,206,267,349,470,439,335,639,666,717,1447
"ENSG00000006125",1835,1546,6395,6663,5630,9816,4866,8987,8881,8271,7837,6121,6976
"ENSG00000006128",19,47,14,22,26,26,12,9,13,14,13,17,5
"ENSG00000006194",218,209,418,556,448,775,702,815,750,624,408,593,820
"ENSG00000006210",40,36,61,60,39,44,29,26,25,340,431,225,274
"ENSG00000006282",165,131,686,599,524,741,530,716,670,533,524,546,648
"ENSG00000006283",340,172,19,9,18,72,68,97,65,73,59,39,77
"ENSG00000006327",484.99999,127,1874,1562,1561,312,413,358,434,1179,828,883,1367
"ENSG00000006432",277,168,790,611,646,810,530,853,817,390,358,252,294
"ENSG00000006451",852,962,2855,2652,2314,2768,2119,2199,2458,2346,1997,1773,2210
"ENSG00000006453",323,226,270,247,233,291,407,447,281,154,85,76,248
"ENSG00000006459",236,280,170,120,125,199,123,189,140,166,120,108,116
"ENSG00000006468",460,777.99999,2202,2015,1646,2019,1257,1710,1696,1103,795,776,1047
"ENSG00000006530",432.99999,488.99999,1472,1303,1023,997,671,872,986,1819,1651,1463,1641
"ENSG00000006534",50,21,20,13,8,29,17,30,30,23,44,21,16
"ENSG00000006576",838.00001,975,490,583,433,802,519,623,736,732,774,771,694
"ENSG00000006607",467,644,804,894,728,990,446,1020,1059,1152,1101,949,1078
"ENSG00000006625",733,741.00001,2142,1952,1701,1964,1647,1788,1741,1224,1029,1009,1308
"ENSG00000006634",833,943.00001,817,743,695,1098,856,879,977,996,720,879,969
"ENSG00000006652",1307,1939,912,788,680,1720,1337,1308,1396,1735,1717,1636,1577
"ENSG00000006695",306.00001,320,1067,973,886,1153,704,1026,931,1139,1093,946,1025
"ENSG00000006704",1189,1010,378,300,228,560,460,619,502,828,883,638,738
"ENSG00000006712",589,541,958,768,728,1102,1014,996,959,1964,2024,1632,1777
"ENSG00000006715",905,1206.00001,1152,1277,1018,1521,997,1588,1476,1612,1568,1397,1620
"ENSG00000006740",183,341,117,89,82,70,99,111,63,65,72,61,77
"ENSG00000006744",576,578,3845,3980,3643,3080,2170,3144,3039,3127,2851,2794,3337
"ENSG00000006756",348,457,185,168,182,251,138,195,175,461,557,488,493
"ENSG00000006757",300.99999,324,521,361,401,777,990,684,611,276,251,272,269
"ENSG00000006831",385,392,420,302,276,404,480,418,318,469,352,436,409
"ENSG00000006837",304.99999,252,33,37,22,97,99,37,60,60,64,75,107
"ENSG00000007047",746,691,121,89,119,129,120,128,110,77,127,89,101
"ENSG00000007062",838.00001,1565.00001,2021,2041,1619,1451,760,1098,1467,1848,1695,1754,1860
"ENSG00000007080",839,792,2058,1448,1535,1429,1585,1510,1551,1905,2006,1332,1692
"ENSG00000007168",1963.99999,2080,1972,1788,1424,2714,1981,2444,2595,2392,2468,2198,2553
"ENSG00000007171",15,19,65,111,74,490,310,381,680,2405,1429,1715,2533
"ENSG00000007174",177,330,9,13,11,11,17,13,3,65,41,41,75
"ENSG00000007202",955,933,3983,3892,3657,3878,2076,3718,3456,4361,3968,3390,4368
"ENSG00000007237",195.99999,289,81,56,46,38,23,46,45,182,217,194,229
"ENSG00000007255",253.00001,206.99999,1467,1003,1083,1850,2776,1628,1881,909,878,831,880
"ENSG00000007341",1163.99999,1793.99999,364,307,239,383,322,310,366,579,535,487,571
"ENSG00000007350",30,15,1,1,0,43,28,29,19,1785,1880,1585,1188
"ENSG00000007372",9133,16936,13,12,4,1580,1396,1456,1631,7872,7824,7382,5991
"ENSG00000007376",155,113,391,352,437,354,572,480,457,214,254,298,478
"ENSG00000007384",111,94,360,276,295,329,250,338,264,111,129,87,149
"ENSG00000007392",1338.00002,2097,1246,1143,1216,1751,1547,1668,1719,1361,1455,1200,1288
"ENSG00000007402",505,192,239,203,157,178,139,227,214,154,151,121,138
"ENSG00000007516",155,109,74,96,61,147,52,112,108,256,395,278,215
"ENSG00000007520",517,494,165,78,100,114,210,131,119,100,148,84,155
"ENSG00000007541",386.00001,395.99999,812,721,744,1189,915,1138,1318,1499,1599,1438,2006
"ENSG00000007545",348.99999,340,237,167,154,197,147,220,164,240,217,173,196
"ENSG00000007866",264,217,1002,739,667,888,604,950,1010,670,729,591,642
"ENSG00000007923",657.00003,731.99999,3401,2818,2584,2328,1660,2425,2653,2370,2346,1895,2108
"ENSG00000007944",182,179,743,629,561,370,229,334,299,138,136,96,185
"ENSG00000007968",355,340,91,67,78,278,195,260,284,429,364,367,505
"ENSG00000008018",2347,2657,12964,12144,10278,12085,15622,10369,10769,10138,9526,10191,10202
"ENSG00000008056",87,51.00001,21,36,40,33,21,41,22,13,27,10,20
"ENSG00000008083",598,570,6439,6038,5167,3941,1998,3729,3578,2208,2454,1851,2305
"ENSG00000008086",281,350,255,208,206,239,149,280,212,137,203,160,147
"ENSG00000008118",60,44,97,68,83,283,177,250,245,559,582,403,522
"ENSG00000008128",362,156.99999,175,74,99,73,70,113,118,58,102,48,61
"ENSG00000008130",338,407,875,614,608,354,430,451,385,286,207,217,439
"ENSG00000008196",19,13,0,0,0,51,32,51,58,1,1,2,0
"ENSG00000008226",22,46,19,10,12,73,81,82,92,37,29,29,33
"ENSG00000008256",293,347,131,137,128,180,114,190,157,385,368,324,417
"ENSG00000008277",574.99999,733.00001,195,272,260,319,158,227,282,419,301,345,403
"ENSG00000008282",414,486,2469,2669,1936,2029,1177,1425,1641,1018,859,1013,976
"ENSG00000008283",164,201,856,706,625,572,448,598,658,682,621,614,667
"ENSG00000008294",1742.99999,1772.99999,749,762,681,929,629,830,859,2858,3039,2232,2834
"ENSG00000008300",216,214,598,404,450,488,335,616,482,373,478,315,377
"ENSG00000008311",929,1530,12020,11970,10206,4315,1932,3885,4156,1507,1509,1229,1301
"ENSG00000008324",514,559,1182,1037,1016,1085,1526,1055,1041,782,763,739,830
"ENSG00000008382",279,305,71,46,65,109,180,152,94,73,71,70,78
"ENSG00000008394",157,96,7897,7538,6366,7165,6709,5747,6470,1005,1309,1142,906
"ENSG00000008405",491,587,995,936,908,1725,1189,1463,1541,1332,1271,1085,1264
"ENSG00000008513",52,119,162,148,113,275,138,149,229,321,315,216,296
"ENSG00000008710",445.00001,323.00001,299,142,162,159,120,162,274,181,281,166,223
"ENSG00000008735",180,169,5,13,6,10,13,9,6,96,117,88,113
"ENSG00000008838",695.00001,634,2818,2504,2140,2821,1809,2847,3212,4284,4887,3491,3891
"ENSG00000008853",348,274,127,103,74,137,100,94,106,484,480,372,418
"ENSG00000008869",279,372,448,533,423,653,271,698,683,856,933,774,792
"ENSG00000008952",2351.99999,2936,775,831,772,1069,749,928,918,1212,1064,884,1161
"ENSG00000008988",15402,21283.00002,8487,7147,7553,8875,11117,10075,8024,7212,6926,6590,6823
"ENSG00000009307",5451.00001,6127.00001,14497,14536,12362,19179,10281,16649,17242,15247,14751,12629,13708
"ENSG00000009335",923,1145,588,485,515,424,422,533,405,250,269,266,297
"ENSG00000009413",1648,2274,290,254,275,474,205,409,346,728,759,684,720
"ENSG00000009694",105,48,179,131,158,198,115,138,167,39,65,37,29
"ENSG00000009780",204,240,320,348,279,457,362,324,357,356,419,369,446
"ENSG00000009830",428.99999,486.00002,575,562,622,744,562,707,724,1127,1014,1054,1627
"ENSG00000009844",1148,1196,3199,2979,2394,3523,3131,2792,3006,3734,3319,3581,3495
"ENSG00000009950",35.00001,15,103,85,86,32,15,32,40,15,40,22,28
"ENSG00000009954",2464,2769,942,736,683,995,812,1153,1047,1254,1120,835,1204
"ENSG00000010017",747,1385,268,217,173,305,253,286,276,351,375,370,381
"ENSG00000010072",226,276,272,318,224,343,349,292,331,464,393,399,420
"ENSG00000010165",247,240,2314,2180,1791,2260,1422,1980,2197,1538,1535,1220,1385
"ENSG00000010219",329.99999,504,223,209,145,220,259,222,215,817,1001,908,866
"ENSG00000010244",2128,2579.00001,6424,5952,4959,7045,6104,6134,6439,6885,6176,6239,6288
"ENSG00000010256",1927.99999,1901.99999,15261,12899,10939,11070,12308,9692,11299,16290,15539,14435,15636
"ENSG00000010270",941,1098,977,985,855,1524,2021,1167,1265,2253,2270,2720,2541
"ENSG00000010278",825.00002,482.99999,8319,7054,6481,889,1030,609,705,1416,878,971,1267
"ENSG00000010292",1277,1188,5952,6115,5231,8026,4372,8253,8297,7023,6491,4960,6510
"ENSG00000010295",171,175.99999,75,44,59,54,86,81,60,66,84,65,63
"ENSG00000010310",23,23,4,9,16,5,15,6,3,21,28,30,28
"ENSG00000010318",149,139,184,161,155,159,87,105,144,101,113,101,104
"ENSG00000010322",904.00001,1031.00001,2059,2045,1704,4776,2682,5157,5556,4463,5329,3591,3935
"ENSG00000010361",300.00001,302.00002,464,412,315,541,517,473,546,595,716,493,645
"ENSG00000010404",1245,580.99999,1535,1478,1326,1937,926,1688,1748,2581,2545,2163,2243
"ENSG00000010539",161,200,338,320,277,366,278,298,305,360,409,386,383
"ENSG00000010610",61,121,209,175,162,349,253,342,293,148,219,175,169
"ENSG00000010626",207,169,97,53,84,94,117,118,107,192,175,154,194
"ENSG00000010704",18,25,52,49,39,49,21,36,44,39,49,48,33
"ENSG00000010803",2317,2367,485,471,348,713,468,652,800,1972,2022,1548,1778
"ENSG00000010810",2468.99999,2341.99999,306,219,203,360,438,386,309,513,540,430,514
"ENSG00000010818",191,142,215,220,205,181,87,168,146,429,379,328,316
"ENSG00000011007",673,614,2048,1844,1558,2027,1403,1952,2098,2071,2194,1723,1816
"ENSG00000011009",564,591,5734,4134,4005,3183,3067,3254,3561,2370,2482,1780,2023
"ENSG00000011021",595.99999,495,629,490,523,756,446,713,799,1133,1302,890,975
"ENSG00000011028",494,302,138,111,122,873,504,929,778,715,683,706,1739
"ENSG00000011052",54,74,354,290,319,373,736,459,462,562,694,494,484
"ENSG00000011105",378,1646,83,124,102,156,124,120,155,84,132,107,115
"ENSG00000011114",907.99999,863,502,480,466,793,436,664,615,561,508,456,733
"ENSG00000011132",85,96.00001,570,461,455,509,497,502,619,507,530,370,438
"ENSG00000011143",246,267.00001,941,667,731,1327,987,1171,1333,1487,1698,1366,1546
"ENSG00000011198",316,305.00001,294,316,220,324,231,286,223,373,313,325,372
"ENSG00000011201",364,615,1370,1237,944,768,559,640,607,352,220,287,302
"ENSG00000011243",2130.00002,1143,529,580,997,1281,928,1432,1390,886,757,1030,1804
"ENSG00000011258",1132.00001,1272,547,510,445,586,404,505,482,471,441,400,452
"ENSG00000011260",664,660,2164,2180,1939,2553,2520,2213,2267,1561,1325,1369,1577
"ENSG00000011275",984,928,1573,1360,1161,1999,1202,2107,2105,2201,2288,1727,2041
"ENSG00000011295",1015,1202.99999,732,558,525,485,473,375,376,445,481,388,568
"ENSG00000011304",2334.99999,2134.00001,7946,7684,7504,10843,7409,11144,10901,7176,6745,6570,8187
"ENSG00000011332",296.00001,365.99999,12,17,24,67,49,52,63,84,92,52,75
"ENSG00000011347",2703,2421.99998,159,88,110,123,138,141,129,271,369,206,265
"ENSG00000011376",838,668.99999,2081,2309,1929,1516,856,1361,1534,1598,1794,1226,1494
"ENSG00000011405",972,1290,2661,3165,2391,3104,1286,2442,2595,1740,1763,1497,1599
"ENSG00000011422",206,98,554,452,359,387,326,361,435,416,427,378,371
"ENSG00000011426",845,878,2340,2339,2008,3319,1698,2437,2828,1991,1933,1746,1833
"ENSG00000011451",594.99998,477.99999,119,100,110,181,169,186,167,271,290,194,372
"ENSG00000011454",1250,1306,896,1042,798,1784,681,1414,1549,2193,2223,1642,1972
"ENSG00000011478",114,154,462,353,324,374,379,351,429,217,210,180,196
"ENSG00000011485",780,853.99999,2032,2095,1681,2481,1708,2236,2475,2602,2479,2233,2590
"ENSG00000011523",673.00002,691.99999,1449,1191,1027,2167,1199,2210,1960,2281,2485,1847,2184
"ENSG00000011566",1059,1358.99999,415,411,408,353,386,321,246,374,262,360,553
"ENSG00000011638",236.99999,294,559,403,396,687,614,481,546,647,665,662,641
"ENSG00000011677",98,147,279,221,179,649,453,534,658,1086,1136,825,929
"ENSG00000012048",1938.99999,1662.00002,1035,1100,894,1972,1070,1731,1869,1680,1565,1353,1566
"ENSG00000012061",1291.99999,1080,1617,1259,1189,2194,2483,2064,2177,3125,3374,2562,2897
"ENSG00000012171",179.00001,168,119,102,90,263,182,284,278,464,542,397,570
"ENSG00000012174",343,366,687,709,569,703,339,532,679,1139,1125,1032,965
"ENSG00000012211",25,42,150,131,130,182,119,204,214,45,39,17,66
"ENSG00000012232",527.00001,932.99999,3259,3490,3097,3617,1774,3699,3594,3736,3555,2672,3573
"ENSG00000012660",634.99999,799,4850,5248,3918,4983,2852,3781,4431,6431,5697,5441,6309
"ENSG00000012822",342.99999,351.00001,499,360,322,1006,593,852,978,1481,2042,1228,1307
"ENSG00000012963",458,672,1744,1827,1420,2879,1592,2397,2719,2997,2705,2560,2570
"ENSG00000012983",1005,1295,315,367,377,564,383,596,574,629,577,540,735
"ENSG00000013016",126,109,509,535,542,619,374,573,706,398,417,439,439
"ENSG00000013275",725,707,4577,3968,3473,3462,3254,3283,3348,3580,3442,2853,3021
"ENSG00000013288",383,205,168,145,111,292,195,246,286,450,547,413,380
"ENSG00000013306",1214,903.99999,7560,6656,6366,5708,5582,6110,5760,3132,2573,2760,3702
"ENSG00000013364",59,34,95,97,113,161,122,173,173,204,261,147,149
"ENSG00000013374",739.00001,684,1039,961,853,1435,1164,1175,1222,1407,1377,1254,1331
"ENSG00000013375",545,697.99998,2100,2437,1834,2829,1786,2442,2305,1852,1774,1716,1898
"ENSG00000013392",131,161,207,146,178,373,471,346,277,324,330,337,298
"ENSG00000013441",906,1580,470,410,343,647,549,379,442,1666,1381,1405,1325
"ENSG00000013503",232,257,588,650,476,531,347,593,539,744,719,615,752
"ENSG00000013523",244,218,1451,1522,1305,1610,781,1306,1548,1816,1823,1384,1506
"ENSG00000013561",477,494,663,636,586,1015,876,700,727,1418,1391,1420,1343
"ENSG00000013563",188.00001,172.00001,475,412,359,480,502,426,525,335,396,296,330
"ENSG00000013573",399,603,2550,1849,1859,1910,1061,2160,2451,1875,2045,1352,1772
"ENSG00000013583",300,447,753,800,782,727,808,731,578,809,660,758,979
"ENSG00000013588",25,19,48,45,37,5,0,1,0,142,183,94,108
"ENSG00000013619",1670,445,46,30,14,22,24,20,22,162,234,177,335
"ENSG00000013810",938,917.00001,3715,3039,2891,3764,2640,4104,4214,3523,3660,2673,3348
"ENSG00000014123",494,558,593,487,467,693,505,528,584,1083,1151,1167,1110
"ENSG00000014138",758,855.00001,1716,1363,1166,1770,1622,1664,1716,2208,1969,1628,1872
"ENSG00000014164",251,204,809,744,729,894,561,991,993,1086,1246,877,1200
"ENSG00000014216",469,533,6442,5456,4797,3540,2589,3616,3566,2028,2126,1607,1841
"ENSG00000014641",1998.00001,2458.00001,13349,11938,10685,8741,9783,7964,7633,7541,7089,7189,7438
"ENSG00000014824",1237.00001,1686,3453,3694,3079,4740,3273,3587,3925,4563,3787,4133,4233
"ENSG00000014914",33,62,161,142,149,117,64,105,138,263,271,251,275
"ENSG00000014919",428,507.99999,1683,1522,1272,1871,1384,1686,1843,1961,1770,1716,1726
"ENSG00000015133",363,387,709,445,450,496,390,468,516,432,396,333,430
"ENSG00000015153",1046,1142.99999,5,6,5,116,113,139,96,384,413,395,409
"ENSG00000015171",1486.99999,1689.99998,650,556,570,995,505,856,808,1107,1101,978,1058
"ENSG00000015475",351,482.99999,1321,1119,991,890,1024,852,961,891,821,735,829
"ENSG00000015479",5572.00002,7013.99999,11565,12591,9534,15268,8617,12804,13606,21186,19324,17775,18734
"ENSG00000015532",211,100,996,974,784,699,453,659,757,627,498,523,517
"ENSG00000015568",16,18,48,134,87,161,5,129,167,356,563,98,50
"ENSG00000015592",670.99999,755.00001,7,3,2,163,185,70,113,4599,4777,3289,3921
"ENSG00000015676",710,663,3081,2924,2453,4492,3138,4031,4384,4066,3961,3223,3465
"ENSG00000016082",131,275,0,2,5,8,15,11,13,69,107,68,100
"ENSG00000016391",67,40,216,203,191,157,173,171,156,92,104,61,137
"ENSG00000016864",602,645.00001,766,806,806,1232,1380,1022,928,1382,997,1533,1809
"ENSG00000017260",3659.99999,4361.00001,1694,1961,1691,2979,1672,2233,2300,1843,1769,1676,1661
"ENSG00000017483",85.00001,62.00001,1452,1393,1097,375,330,355,451,66,82,55,44
"ENSG00000017797",733,809.99999,842,737,727,818,669,891,790,719,592,540,780
"ENSG00000018189",2226.00001,3614,243,247,212,397,242,319,281,2098,2520,1800,1950
"ENSG00000018236",115.00002,486,226,237,179,215,36,102,130,342,479,419,267
"ENSG00000018408",407,357,288,340,340,262,138,200,181,318,342,343,397
"ENSG00000018510",1836,1784.00001,1001,1221,961,1571,730,1234,1239,1007,835,936,1111
"ENSG00000018610",233,275,368,272,228,372,266,324,387,334,318,281,280
"ENSG00000018625",619,289,1156,1024,866,1449,908,1447,1608,681,444,475,457
"ENSG00000018699",193,308,982,979,808,686,608,673,631,621,526,600,589
"ENSG00000018869",59,106,61,50,45,98,105,74,86,127,113,109,81
"ENSG00000019144",446,391,1341,1089,935,1055,683,1074,1137,1146,1519,906,1293
"ENSG00000019485",325,263,74,97,38,68,60,81,93,52,78,45,76
"ENSG00000019505",65,61,257,204,170,324,285,283,341,154,151,141,155
"ENSG00000019549",14,37,46,52,31,63,28,58,71,22,21,22,16
"ENSG00000019582",81,42,1295,1066,1043,1037,757,810,1033,339,332,281,289
"ENSG00000019995",259,333,254,197,169,262,183,169,216,342,448,262,403
"ENSG00000020129",286,221,715,599,596,626,468,812,776,800,1028,616,774
"ENSG00000020181",525,409,10,9,12,6,4,7,12,18,37,10,39
"ENSG00000020256",452,504,549,369,469,911,858,991,967,723,739,535,571
"ENSG00000020426",1038,1407.99999,729,644,535,481,556,496,480,614,554,563,535
"ENSG00000020577",172,66.99999,55,44,33,5,7,7,7,46,60,35,25
"ENSG00000020922",1070,1177,950,1056,876,1011,549,820,855,1129,979,975,1079
"ENSG00000021300",245.00002,247,220,181,156,2108,1617,1823,1761,1394,1202,1160,1609
"ENSG00000021355",347,104,454,361,325,356,349,299,288,218,168,176,215
"ENSG00000021574",1149,1125,339,399,352,449,328,346,380,531,445,623,689
"ENSG00000021645",450.99999,315.99999,132,92,103,608,231,515,576,950,1076,697,626
"ENSG00000021762",255,251.99999,167,161,159,399,292,417,484,466,457,356,418
"ENSG00000021776",673,732,2767,3027,2474,2699,1170,2144,2183,2152,1970,1696,1860
"ENSG00000021826",213,403,315,245,262,960,608,809,859,877,712,659,698
"ENSG00000022267",1651,1013,488,557,624,3117,3303,3492,2504,3455,2969,3630,5844
"ENSG00000022277",924,1091.99998,1819,1547,1418,2480,2580,2199,2363,3237,3254,2853,2887
"ENSG00000022556",276,705.99999,55,57,67,0,3,1,1,0,0,0,1
"ENSG00000022567",111,68,211,98,127,160,116,155,156,62,77,61,81
"ENSG00000022840",837,683,1416,1928,2704,3079,2472,3462,2617,1717,1224,1805,3282
"ENSG00000022976",250,331,133,105,78,152,157,125,161,104,91,103,84
"ENSG00000023041",406.99999,408,735,632,497,1066,986,853,878,1108,1090,1237,1062
"ENSG00000023171",357.99999,282.00001,257,241,223,410,219,370,379,270,260,255,253
