"","LR__H9_CRX_ROs_D45","LR__EP1_WT_ROs_D45","SR__D0_1","SR__D0_2","SR__D0_3","SR__D10_3","SR__D10_4","SR__D10_5","SR__D10_6","SR__D25_1","SR__D25_2","SR__D25_3","SR__D25_4"
"ENSG00000112964",43,73,3,2,3,6,2,6,12,24,42,24,28
"ENSG00000112972",2130,3969,3171,3823,2908,5725,2974,3851,5368,6769,6726,5749,7458
"ENSG00000112977",1206,1178,309,256,217,353,397,430,369,906,760,806,1014
"ENSG00000112981",151,235,6,17,7,75,105,78,80,203,178,219,223
"ENSG00000112983",1354.00001,1620.99999,2046,1799,1574,3526,2200,3135,3484,4752,4819,4569,4370
"ENSG00000112984",442,703,3473,3510,2872,4808,2730,4085,4524,4192,3810,3418,3920
"ENSG00000112992",626,1108,645,588,438,810,381,617,658,2635,2357,2217,2238
"ENSG00000112996",258,516,1561,1230,1220,1125,906,935,966,1008,867,984,952
"ENSG00000113013",2054.00001,2162.00001,13832,13294,11089,8674,6044,7951,8627,8065,7330,6594,7610
"ENSG00000113048",889.00001,2074,4398,3982,3253,4195,4291,3686,3856,3822,3292,3445,3647
"ENSG00000113068",849,949,1769,1515,1405,1933,1946,1808,2025,2538,2470,2430,2427
"ENSG00000113070",76,22,45,49,59,41,18,40,49,73,92,76,46
"ENSG00000113083",52,71,29,31,48,110,104,76,107,173,129,173,292
"ENSG00000113108",288,284.99999,238,191,185,186,156,225,260,535,731,577,531
"ENSG00000113119",114,125,549,514,480,550,381,586,559,499,426,354,441
"ENSG00000113140",4760,4768,14367,12971,10548,7863,5994,5994,6840,29019,30720,28105,24066
"ENSG00000113141",1303.00001,1656.99999,2212,1759,1786,2953,2032,2510,2837,2951,3302,2462,2739
"ENSG00000113161",1151.00001,1774,7237,7642,6261,10185,5332,7754,9245,10085,9391,8222,9056
"ENSG00000113163",1053,3973,863,822,683,961,577,879,915,733,721,605,717
"ENSG00000113194",673,799,2375,2183,1702,2953,1717,2279,2701,3969,3697,3282,3449
"ENSG00000113205",27,35,13,21,19,19,11,26,28,50,31,32,41
"ENSG00000113231",158,86,24,31,20,47,18,31,49,38,41,12,49
"ENSG00000113240",420,580.00001,325,287,216,385,208,265,314,771,677,661,700
"ENSG00000113248",55,56,17,23,15,26,31,40,44,39,37,19,29
"ENSG00000113269",2102,2011.99999,1109,1187,1227,3824,3608,3342,2991,2708,2437,2624,3143
"ENSG00000113272",157,195,338,293,253,321,250,319,297,393,361,336,471
"ENSG00000113273",422,381.00001,214,181,161,219,182,250,142,171,188,214,389
"ENSG00000113282",1147,1345,2420,2181,1957,2503,1456,1819,1990,2225,1980,1967,1736
"ENSG00000113296",121,185,379,417,375,664,598,670,708,454,525,489,464
"ENSG00000113300",1040.99999,1135,562,452,374,587,354,492,512,762,587,607,728
"ENSG00000113312",812,980.99999,1497,1303,1038,1613,1914,1259,1367,1179,1084,1112,1156
"ENSG00000113318",887.99999,1247.00001,427,509,486,710,477,678,626,704,550,615,929
"ENSG00000113319",742,584,289,253,154,30,12,33,20,54,78,66,49
"ENSG00000113328",1822.00001,2002,14021,14600,11345,12305,7949,9079,10305,10309,8122,8985,10088
"ENSG00000113356",187.00001,130,4175,4347,3320,556,434,395,406,52,63,48,79
"ENSG00000113360",1067.99999,953.99999,1919,2094,1783,2277,1040,2095,2176,1994,1937,1522,2029
"ENSG00000113361",3356.99999,3351,45,50,56,3305,1739,2851,3536,480,595,498,441
"ENSG00000113368",1400,1577,268,259,260,379,304,333,299,437,288,366,625
"ENSG00000113369",465,736,248,240,203,6745,3369,5120,6085,12889,10212,11850,12058
"ENSG00000113384",508,683,386,382,359,440,532,459,318,360,235,215,591
"ENSG00000113387",2278,2913,3741,3646,3439,4497,5636,3618,3430,3653,3025,3838,3675
"ENSG00000113391",572.00001,934,279,365,316,598,421,470,520,958,760,1060,1080
"ENSG00000113407",1336.99999,1477,7901,7544,6503,3351,2544,3115,3356,3538,2999,3098,3371
"ENSG00000113441",501,470,113,155,130,257,118,176,197,525,485,550,383
"ENSG00000113448",537,1156.99999,26,37,27,32,12,29,27,122,186,133,102
"ENSG00000113456",455,576.00001,1018,1075,853,1099,849,853,902,1125,917,921,1170
"ENSG00000113460",443,538,1677,1581,1384,1668,1295,1324,1434,1144,890,1003,1074
"ENSG00000113494",311.00001,944,35,35,20,21,17,15,26,3,7,5,4
"ENSG00000113504",341,294,712,729,649,1137,614,1183,1191,1244,1114,1028,1524
"ENSG00000113522",1353.99999,1522,1629,1572,1365,2178,1088,1951,1911,1009,990,792,855
"ENSG00000113532",65,162,17,10,6,94,62,45,61,443,329,365,338
"ENSG00000113552",675,907.99999,2754,2583,2365,3134,2719,2666,2834,2994,2891,2768,2824
"ENSG00000113555",19,15,30,20,19,9,8,5,7,15,14,13,11
"ENSG00000113558",4464.99999,5440.99999,6099,5563,4646,7612,9272,6774,6498,6683,6756,7404,7084
"ENSG00000113569",886,1037,3184,3698,2740,3351,1499,2707,3046,2431,2142,1894,2363
"ENSG00000113575",1568,1770.00001,5756,6574,5424,8835,7534,7340,7222,8382,7099,8545,9195
"ENSG00000113580",213,238,124,80,54,204,85,171,126,409,511,393,318
"ENSG00000113583",639,725,930,899,779,1372,929,970,1089,1374,1258,1336,1285
"ENSG00000113593",650.99999,780.99999,1044,975,853,1406,937,1215,1272,977,810,770,1050
"ENSG00000113594",151,212,197,173,159,62,40,61,68,185,192,132,185
