variants_overlapped.counts_per_read	variants_overlapped.Freq	sample	sample_clean	Freq_percentage
67	7	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	8.458104471123186e-5
68	4	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	4.8332025549275346e-5
69	3	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	3.6249019161956504e-5
70	6	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	7.249803832391301e-5
71	2	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	2.4166012774637673e-5
72	2	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	2.4166012774637673e-5
73	1	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	1.2083006387318836e-5
74	1	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	1.2083006387318836e-5
75	4	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	4.8332025549275346e-5
76	3	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	3.6249019161956504e-5
78	2	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	2.4166012774637673e-5
80	4	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	4.8332025549275346e-5
82	2	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	2.4166012774637673e-5
84	1	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	1.2083006387318836e-5
85	1	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	1.2083006387318836e-5
86	2	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	2.4166012774637673e-5
87	2	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	2.4166012774637673e-5
93	1	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	1.2083006387318836e-5
100	1	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	1.2083006387318836e-5
1	1703278	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	51.40323313702897
2	702056	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	21.18735065165523
3	352533	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	10.639094726460527
4	198538	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	5.991679045088035
5	117998	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	3.56106208364292
6	72256	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	2.18061409443976
7	47372	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	1.4296397653039237
8	31330	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	0.9455081872619253
9	22066	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	0.6659298965886258
10	15749	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	0.4752891299453579
11	11923	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	0.35982426162540493
12	8218	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	0.24801105275833074
13	6169	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	0.18617427408933349
