variants_overlapped.counts_per_read	variants_overlapped.Freq	sample	sample_clean	Freq_percentage
11	13271	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	0.34618440665020483
12	9190	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	0.23972833223686096
13	6762	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	0.17639205468831926
14	5209	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	0.13588083597625775
15	4141	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	0.10802122130498816
16	3336	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	0.08702216717542635
17	2496	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	0.06511011069240534
18	1944	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	0.050710759289277235
19	1638	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	0.042728510141891
20	1453	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	0.037902640559320896
21	1040	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	0.027129212788502218
22	919	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	0.0239728332236861
23	681	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	0.017764417220163475
24	592	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	0.015442782664224343
25	494	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	0.012886376074538556
26	401	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	0.010460398392489799
27	336	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	0.00876482259320841
28	278	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	0.007251847264618864
29	277	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	0.007225761483091457
30	208	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	0.005425842557700444
31	202	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	0.005269327868536009
32	174	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	0.004538925985768641
33	136	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	0.003547666287727214
34	124	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	0.0032346369093983417
35	101	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	0.0026346639342680043
36	63	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	0.001643404236226577
37	68	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	0.001773833143863607
38	74	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	0.0019303478330280428
39	58	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	0.001512975328589547
40	62	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	0.0016173184546991709
41	40	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	0.0010434312610962393
42	54	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	0.001408632202479923
43	49	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	0.0012782032948428933
44	34	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	8.869165719318035e-4
45	52	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	0.001356460639425111
46	41	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	0.0010695170426236451
47	14	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	3.652009413836838e-4
48	25	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	6.521445381851496e-4
49	22	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	5.738871936029316e-4
50	16	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	4.173725044384957e-4
51	13	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	3.3911515985627776e-4
52	11	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	2.869435968014658e-4
53	12	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	3.130293783288718e-4
54	10	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	2.608578152740598e-4
55	11	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	2.869435968014658e-4
56	14	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	3.652009413836838e-4
57	4	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	1.0434312610962392e-4
58	5	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	1.304289076370299e-4
59	6	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	1.565146891644359e-4
60	4	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	1.0434312610962392e-4
61	4	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	1.0434312610962392e-4
62	3	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	7.825734458221795e-5
63	8	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	2.0868625221924785e-4
64	3	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	7.825734458221795e-5
65	3	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	7.825734458221795e-5
66	5	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	1.304289076370299e-4
68	1	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	2.608578152740598e-5
69	2	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	5.217156305481196e-5
70	10	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	2.608578152740598e-4
71	12	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	3.130293783288718e-4
72	1	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	2.608578152740598e-5
73	1	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	2.608578152740598e-5
75	1	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	2.608578152740598e-5
76	1	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	2.608578152740598e-5
79	3	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	7.825734458221795e-5
80	2	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	5.217156305481196e-5
84	1	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	2.608578152740598e-5
87	1	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	2.608578152740598e-5
89	2	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	5.217156305481196e-5
91	1	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	2.608578152740598e-5
92	1	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	2.608578152740598e-5
93	1	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	2.608578152740598e-5
95	2	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	5.217156305481196e-5
1	4228335	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	50.47232287504243
2	1889452	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	22.553802241519342
3	929680	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	11.097301687418204
4	512449	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	6.11694470400113
5	295744	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	3.530204360902471
6	172384	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	2.05769431856542
7	108412	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	1.2940804045869356
8	69081	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	0.824598461694924
9	46143	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	0.5507946731805978
10	32337	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	0.3859967350766312
11	24902	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	0.2972474471001722
12	16240	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	0.19385184085241333
13	11791	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	0.1407455083430299
14	8790	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	0.1049235025303395
15	6532	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	0.07797045717044113
16	5232	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	0.06245276055048193
17	3884	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	0.04636210282455501
18	2954	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	0.03526098139643036
19	2462	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	0.029388130060261183
20	1916	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	0.02287069747987832
21	1458	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	0.01740369359376962
22	1243	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	0.014837305306622523
23	1027	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	0.012258980329767766
24	794	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	0.00947773162788277
25	666	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	0.007949835345302173
26	521	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	0.00621901533769134
27	449	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	0.005359573678739753
28	339	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	0.004046537810897052
29	299	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	0.0035690702225906154
30	288	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	0.0034377666358063447
31	234	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	0.002793185391592655
32	189	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	0.002256034354747914
33	179	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	0.0021366674576713046
34	140	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	0.0016711365590725289
35	130	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	0.0015517696619959198
36	89	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	0.0010623653839818218
37	85	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	0.0010146186251511781
38	78	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	9.310617971975518e-4
39	64	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	7.639481412902988e-4
40	50	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	5.96834485383046e-4
41	63	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	7.52011451582638e-4
42	44	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	5.252143471370805e-4
43	46	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	5.490877265524023e-4
44	46	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	5.490877265524023e-4
45	36	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	4.297208294757931e-4
46	30	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	3.581006912298276e-4
47	17	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	2.0292372503023562e-4
48	15	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	1.790503456149138e-4
49	24	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	2.864805529838621e-4
50	16	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	1.909870353225747e-4
51	15	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	1.790503456149138e-4
52	11	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	1.313035867842701e-4
53	16	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	1.909870353225747e-4
54	14	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	1.671136559072529e-4
55	14	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	1.671136559072529e-4
56	9	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	1.0743020736894827e-4
57	5	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	5.96834485383046e-5
58	7	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	8.355682795362645e-5
59	2	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	2.3873379415321836e-5
60	8	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	9.549351766128735e-5
61	3	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	3.581006912298276e-5
62	2	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	2.3873379415321836e-5
63	1	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	1.1936689707660918e-5
64	3	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	3.581006912298276e-5
65	2	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	2.3873379415321836e-5
66	3	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	3.581006912298276e-5
67	4	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	4.774675883064367e-5
68	4	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	4.774675883064367e-5
69	4	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	4.774675883064367e-5
70	1	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	1.1936689707660918e-5
71	1	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	1.1936689707660918e-5
73	1	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	1.1936689707660918e-5
74	3	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	3.581006912298276e-5
76	3	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	3.581006912298276e-5
77	2	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	2.3873379415321836e-5
78	1	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	1.1936689707660918e-5
80	2	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	2.3873379415321836e-5
81	4	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	4.774675883064367e-5
82	1	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	1.1936689707660918e-5
83	1	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	1.1936689707660918e-5
84	1	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	1.1936689707660918e-5
89	1	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	1.1936689707660918e-5
95	1	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	1.1936689707660918e-5
105	2	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	2.3873379415321836e-5
116	1	H9-BRN3B-RO_variants_per_read	H9-BRN3B-RO	1.1936689707660918e-5
1	1786651	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	51.07835841483785
2	743328	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	21.250918060541537
3	366584	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	10.48022749890433
4	213124	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	6.092977340736329
5	128781	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	3.6817050867915637
6	77938	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	2.22816045110972
7	50904	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	1.4552885576136059
8	34006	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	0.9721935936313115
9	24025	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	0.6868479411572151
10	17202	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	0.49178598475697877
11	12770	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	0.3650800503050005
12	9042	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	0.2585006902786072
13	6757	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	0.19317509004783778
14	5164	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	0.1476329976331263
15	4008	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	0.11458424758202365
16	3361	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	0.09608723955169199
17	2565	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	0.07333048778639986
18	1867	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	0.05337544666557838
19	1632	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	0.0466570588956743
20	1362	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	0.038938060181316424
21	1035	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	0.02958949507170521
22	862	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	0.024643618117690714
23	747	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	0.021355896443056806
24	595	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	0.017010386055714588
25	502	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	0.014351619831880208
26	395	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	0.011292609230264308
27	363	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	0.010377764938192261
28	304	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	0.008691020774684428
29	273	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	0.007804765366739635
30	177	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	0.005060232490523499
31	184	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	0.005260354679414259
32	163	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	0.00465998811274198
33	121	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	0.0034592549793974205
34	98	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	0.002801710644470638
35	92	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	0.0026301773397071296
36	81	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	0.0023156996143073646
37	70	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	0.0020012218889075986
38	70	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	0.0020012218889075986
39	73	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	0.002086988541289353
40	60	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	0.0017153330476350848
41	54	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	0.001543799742871576
42	52	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	0.0014866219746170735
43	37	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	0.0010577887127083021
44	37	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	0.0010577887127083021
45	49	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	0.001400855322235319
46	28	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	8.004887555630395e-4
47	33	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	9.434331761992966e-4
48	19	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	5.431887984177768e-4
49	18	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	5.145999142905254e-4
50	25	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	7.147221031812852e-4
51	24	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	6.861332190540338e-4
52	12	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	3.430666095270169e-4
53	13	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	3.716554936542684e-4
54	9	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	2.572999571452627e-4
55	5	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	1.4294442063625705e-4
56	9	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	2.572999571452627e-4
57	5	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	1.4294442063625705e-4
58	20	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	5.717776825450282e-4
59	6	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	1.7153330476350846e-4
60	8	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	2.287110730180113e-4
61	8	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	2.287110730180113e-4
62	2	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	5.7177768254502825e-5
63	3	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	8.576665238175423e-5
64	7	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	2.0012218889075986e-4
65	1	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	2.8588884127251413e-5
66	3	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	8.576665238175423e-5
67	5	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	1.4294442063625705e-4
68	3	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	8.576665238175423e-5
69	2	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	5.7177768254502825e-5
70	1	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	2.8588884127251413e-5
71	3	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	8.576665238175423e-5
72	3	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	8.576665238175423e-5
73	2	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	5.7177768254502825e-5
74	2	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	5.7177768254502825e-5
76	2	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	5.7177768254502825e-5
78	1	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	2.8588884127251413e-5
79	1	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	2.8588884127251413e-5
80	2	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	5.7177768254502825e-5
81	2	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	5.7177768254502825e-5
84	1	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	2.8588884127251413e-5
85	1	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	2.8588884127251413e-5
86	1	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	2.8588884127251413e-5
88	2	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	5.7177768254502825e-5
91	1	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	2.8588884127251413e-5
92	1	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	2.8588884127251413e-5
93	1	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	2.8588884127251413e-5
102	1	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	2.8588884127251413e-5
111	1	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	2.8588884127251413e-5
127	1	H9-CRX_hRO_2_variants_per_read	H9-CRX_hRO_2	2.8588884127251413e-5
1	2736799	H9-CRX_ROs_D45_variants_per_read	H9-CRX_ROs_D45	53.46789268282009
2	1115610	H9-CRX_ROs_D45_variants_per_read	H9-CRX_ROs_D45	21.795285571165778
3	508349	H9-CRX_ROs_D45_variants_per_read	H9-CRX_ROs_D45	9.93143806959112
4	283767	H9-CRX_ROs_D45_variants_per_read	H9-CRX_ROs_D45	5.5438574418237545
5	164124	H9-CRX_ROs_D45_variants_per_read	H9-CRX_ROs_D45	3.2064336543075194
6	98135	H9-CRX_ROs_D45_variants_per_read	H9-CRX_ROs_D45	1.9172294525204625
7	63437	H9-CRX_ROs_D45_variants_per_read	H9-CRX_ROs_D45	1.2393466630615029
8	40508	H9-CRX_ROs_D45_variants_per_read	H9-CRX_ROs_D45	0.7913907440026383
9	27228	H9-CRX_ROs_D45_variants_per_read	H9-CRX_ROs_D45	0.5319439907599446
10	19563	H9-CRX_ROs_D45_variants_per_read	H9-CRX_ROs_D45	0.38219554470533257
11	15008	H9-CRX_ROs_D45_variants_per_read	H9-CRX_ROs_D45	0.29320608980921287
12	10035	H9-CRX_ROs_D45_variants_per_read	H9-CRX_ROs_D45	0.1960503139149421
13	7247	H9-CRX_ROs_D45_variants_per_read	H9-CRX_ROs_D45	0.14158212505646092
14	5838	H9-CRX_ROs_D45_variants_per_read	H9-CRX_ROs_D45	0.11405498083063598
15	4724	H9-CRX_ROs_D45_variants_per_read	H9-CRX_ROs_D45	0.09229114927097026
16	3569	H9-CRX_ROs_D45_variants_per_read	H9-CRX_ROs_D45	0.06972631493397392
17	2597	H9-CRX_ROs_D45_variants_per_read	H9-CRX_ROs_D45	0.05073668811530689
18	2092	H9-CRX_ROs_D45_variants_per_read	H9-CRX_ROs_D45	0.04087067829696651
19	1807	H9-CRX_ROs_D45_variants_per_read	H9-CRX_ROs_D45	0.03530273216186352
20	1494	H9-CRX_ROs_D45_variants_per_read	H9-CRX_ROs_D45	0.029187759739803042
21	1045	H9-CRX_ROs_D45_variants_per_read	H9-CRX_ROs_D45	0.020415802495377628
22	867	H9-CRX_ROs_D45_variants_per_read	H9-CRX_ROs_D45	0.016938278242576463
23	795	H9-CRX_ROs_D45_variants_per_read	H9-CRX_ROs_D45	0.015531639218971497
24	608	H9-CRX_ROs_D45_variants_per_read	H9-CRX_ROs_D45	0.011878285088219712
25	458	H9-CRX_ROs_D45_variants_per_read	H9-CRX_ROs_D45	0.008947787122376033
26	398	H9-CRX_ROs_D45_variants_per_read	H9-CRX_ROs_D45	0.0077755879360385605
27	364	H9-CRX_ROs_D45_variants_per_read	H9-CRX_ROs_D45	0.007111341730447327
28	266	H9-CRX_ROs_D45_variants_per_read	H9-CRX_ROs_D45	0.005196749726096123
29	245	H9-CRX_ROs_D45_variants_per_read	H9-CRX_ROs_D45	0.004786480010878009
30	203	H9-CRX_ROs_D45_variants_per_read	H9-CRX_ROs_D45	0.003965940580441779
31	191	H9-CRX_ROs_D45_variants_per_read	H9-CRX_ROs_D45	0.0037315007431742843
32	152	H9-CRX_ROs_D45_variants_per_read	H9-CRX_ROs_D45	0.002969571272054928
33	156	H9-CRX_ROs_D45_variants_per_read	H9-CRX_ROs_D45	0.003047717884477426
34	104	H9-CRX_ROs_D45_variants_per_read	H9-CRX_ROs_D45	0.0020318119229849503
35	80	H9-CRX_ROs_D45_variants_per_read	H9-CRX_ROs_D45	0.001562932248449962
36	84	H9-CRX_ROs_D45_variants_per_read	H9-CRX_ROs_D45	0.0016410788608724601
37	84	H9-CRX_ROs_D45_variants_per_read	H9-CRX_ROs_D45	0.0016410788608724601
38	61	H9-CRX_ROs_D45_variants_per_read	H9-CRX_ROs_D45	0.001191735839443096
39	46	H9-CRX_ROs_D45_variants_per_read	H9-CRX_ROs_D45	8.986860428587282e-4
40	49	H9-CRX_ROs_D45_variants_per_read	H9-CRX_ROs_D45	9.572960021756016e-4
41	40	H9-CRX_ROs_D45_variants_per_read	H9-CRX_ROs_D45	7.81466124224981e-4
42	35	H9-CRX_ROs_D45_variants_per_read	H9-CRX_ROs_D45	6.837828586968583e-4
