H9.BRN3B_hRO_2_h1	H9.BRN3B_hRO_2_h2	H9.BRN3B.RO_h1	H9.BRN3B.RO_h2	H9.CRX_hRO_2_h1	H9.CRX_hRO_2_h2	H9.CRX_ROs_D45_h1	H9.CRX_ROs_D45_h2	H9.FT_1_h1	H9.FT_1_h2	H9.FT_2_h1	H9.FT_2_h2	H9.hRGC_1_h1	H9.hRGC_1_h2	H9.hRGC_2_h1	H9.hRGC_2_h2
0	0	2	1	0	0	1	0	2	3	0	1	0	0	2	2
0	0	1	0	0	0	0	2	3	0	0	0	0	0	2	0
0	1	1	3	1	3	2	3	1	2	1	6	0	0	2	1
0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1
3	1	5	3	0	4	4	1	7	5	3	6	0	1	2	1
13	14	49	24	12	11	26	28	25	13	14	14	1	3	9	10
6	6	11	14	3	1	8	8	7	3	7	2	1	3	1	2
5	6	11	11	2	2	2	3	4	5	4	5	0	1	6	4
59	76	209	219	66	50	144	149	85	94	62	70	15	14	101	107
52	68	183	182	64	43	140	136	77	85	53	62	14	13	94	101
2	8	49	168	7	23	5	23	2	17	8	20	5	14	42	133
0	1	2	2	0	0	0	0	0	0	0	0	0	0	1	2
0	0	6	1	0	0	2	0	0	0	0	0	0	0	1	2
1	3	7	3	1	1	8	3	0	0	1	4	2	0	1	3
1	0	3	0	2	0	3	0	9	1	6	0	0	0	6	0
1	0	3	0	1	0	0	0	0	0	0	0	0	0	1	0
0	0	2	0	0	0	3	0	2	0	0	0	0	0	0	0
0	1	3	3	1	0	4	0	2	1	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	6	3	2	3	4	2	3	1	1	0	0	0	0	1
10	14	26	22	14	6	25	17	9	7	11	10	0	0	1	1
0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	1	4	1	0	1	1	1	0	1	0	0	0	0	0
0	1	2	5	0	0	6	3	0	1	0	0	0	0	0	0
0	0	1	0	0	1	2	2	1	0	0	2	0	0	0	0
0	0	1	0	2	0	0	2	0	0	0	0	0	0	0	0
0	0	2	0	0	0	2	3	1	0	1	0	1	0	1	0
0	0	4	1	3	1	5	1	3	1	0	1	0	2	3	0
19	18	12	12	14	29	38	42	57	48	36	41	4	9	20	20
2	0	0	0	2	0	1	1	0	0	0	0	0	0	1	0
4	6	6	6	2	3	4	3	1	7	9	4	1	3	3	5
0	5	7	11	2	0	5	11	2	4	3	10	0	0	0	1
130	131	290	274	114	120	193	198	136	137	141	112	47	41	201	194
6	1	6	8	2	7	0	3	2	2	4	3	1	0	0	4
14	24	75	70	12	21	77	65	55	62	55	57	8	9	72	81
62	45	196	201	48	52	103	90	105	102	97	78	28	34	172	161
15	15	37	31	17	8	29	21	23	20	19	18	3	2	26	31
74	85	58	50	57	60	134	138	100	143	108	99	16	29	97	118
2	0	0	3	1	1	2	2	2	4	0	5	0	0	1	0
4	3	1	0	2	4	13	12	0	0	0	0	1	2	13	15
2	0	0	4	1	1	1	1	1	0	0	0	0	2	1	0
0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0
0	0	3	2	0	0	2	0	0	0	0	0	0	0	4	0
1	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0
0	0	1	2	0	0	0	0	0	0	2	0	0	0	1	0
21	19	7	17	36	42	14	11	1	1	2	3	10	9	50	29
0	0	3	2	0	0	0	0	0	0	1	1	0	0	0	0
0	0	2	1	0	0	0	0	0	0	2	0	1	0	0	0
0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1
2	1	2	4	1	1	0	0	0	1	1	1	0	1	2	0
1	1	0	0	9	4	3	0	0	0	0	0	0	0	0	0
1	0	1	0	2	0	0	0	0	0	1	1	0	0	0	0
