isoform_id	EP1.WT_hRO_2	EP1.WT_ROs_D45	H9.BRN3B_hRO_2	H9.CRX_hRO_2	H9.CRX_ROs_D45
ENST00000231948.9	155.95148	0	228.77891	156.9115	0
ENST00000232501.8	109.54012	189.48499	208.47935	153.79067	174.04496
ENST00000232854.9	175.77413	121.94152	172.83382	146.68594	126.21123
ENST00000233121.7	172.77818	83.26755	124.40681	107.4309	40.85925
ENST00000233596.8	85.40986	227.53329	119.35135	83.57143	252.30808
ENST00000234420.11	413.00679	1546.84487	506.48266	520.62406	1297.23773
ENST00000234626.11	126.82353	460.28463	129.73684	114.52632	410.41463
ENST00000236137.10	60.29205	115.18289	42.9966	42.60756	91.21725
ENST00000237623.11	302.60564	261.59864	885.61246	802.93462	383.02052
ENST00000238138.2	5.11862	0	13.86774	6	0
ENST00000238788.14	78.18821	151.48463	66.44559	78.80342	203.93649
ENST00000240055.8	239.53472	425.12658	266.45939	235.35388	325.47102
ENST00000240093.8	168.33621	573.17525	221.19835	205.74925	425.05855
ENST00000240304.5	342.24688	853.64594	370.80542	288.1787	946.27012
ENST00000240487.5	35.6305	0	25.02452	26.04788	56.12624
ENST00000240727.10	10.78657	68.89052	90.85858	83.79989	35.43011
ENST00000242576.7	152.37007	617.85308	187.04118	199.58601	504.79508
ENST00000242783.11	106.57534	347.09999	85.61762	76.3587	532.7911
ENST00000242810.11	528.83398	452.57622	634.24058	644.82998	363.68642
ENST00000242848.8	443.10912	790.36678	6e-5	6e-5	641.53518999999994
ENST00000242872.7	50.8403	2.44798	34.73646	8.77095	10.53904
ENST00000243326.9	212.19644	176.82977	236.00169	195.24632	342.07946
ENST00000243562.13	1e-5	1e-5	25.31692	1e-5	0
ENST00000243878.9	77.32242	241.16624	123.07996	65.80126	209.58251
ENST00000243896.6	12.79553	28.16569	17.26272	20.14143	6.73347
ENST00000244289.9	0	1.60151	0	7.95521	0
ENST00000245932.11	33.9163	161.39758	41.24147	44.12917	192.8861
ENST00000246139.9	6.79634	21	6.13374	2.94157	32.16372
ENST00000246868.7	428.02704	603.43842	504.30189	482.35937	573.23646
ENST00000247001.10	77.52807	203.6299	78.47473	89.29276	202.23358
ENST00000247815.9	26.69668	24.07157	19.92456	31	8.27813
ENST00000247977.9	28.83543	171.57449	0	61.2555	131.76727
ENST00000248054.10	75.16274	177.75899	124.75218	140.96987	243.26371
ENST00000248139.8	12	38.48645	10.09209	7.31869	63.98107
ENST00000248306.8	33.83908	67.81228	43.08685	30.47026	45.96041
ENST00000248553.7	170.13073	806.37181	347.2968	327.9706	1412.75428
ENST00000249377.4	15.03906	99.76688	2.4	4.544	33.968
ENST00000249837.7	258.57142	636.67543	254.62253	309.31321	409.17572
ENST00000250076.8	17.10463	70.82196	33.12776	21.31712	74.00978
ENST00000250894.8	24.04473	68.70334	2e-5	1e-5	132.59477
ENST00000250896.9	150.07022	259.25567	94.20833	53.39076	346.08224
ENST00000251366.7	0	0	1.33333	0	1.5
ENST00000251588.7	84.70544	210.94106	141.02538	87.15862	244.61966
ENST00000251607.11	4.97573	115.02711	11.54223	2.6459	109.29127
ENST00000251849.9	117.53821	376.92212	78.19452	60.79549	311.37391
ENST00000251871.9	132.63926	348.53907	130.75878	132.26681	263.1004
ENST00000251879.10	6.04018	44.2146	11.48226	16.59898	36.50272
ENST00000252029.8	0	1.93975	1.91608	0	0
ENST00000252034.12	202.88102	12.94916	161.01645	334.11775	12.13359
ENST00000252100.6	0	12.42568	4.53807	2.0977	0
ENST00000252268.8	21.66527	8.8005	11.62193	16.83725	0
ENST00000252329.3	0	148	0	2.79043	3.81672
ENST00000252599.9	51.80182	280.71923	87.10356	28.40347	314.25417
ENST00000252729.7	14.5	40	23.99999	9.23597	17.50146
ENST00000252992.8	37.43509	2e-5	37.40552	1e-5	0
ENST00000253144.13	2.44729	68.73248	9.83836	5.25739	56.51267
ENST00000253669.10	0	1.91251	2.16889	26.67855	2.05192
ENST00000253788.12	6544.23657	14982.64521	7708.86741	6645.41279	12130.1229
ENST00000254108.12	269.5084	1856.76559	392.39495	215.18993	2056.33867
ENST00000254321.10	7.07843	23.30869	23.20905	12.10197	27.30884
ENST00000254351.9	45	155.25309	47.40748	45.78527	185.69178
ENST00000254663.12	21.43204	56.08022	21.17126	0	74.8992
ENST00000254695.13	36.28257	16.93768	21.58731	37.15357	7.26871
ENST00000254718.9	58.7775	149.18974	51.54442	40.68447	164.22598
ENST00000254898.7	12.29301	20.50156	6.04847	15.72576	18.85967
ENST00000254950.13	291.41812	615.15752	330.49782	246.44	756.23527
ENST00000254977.7	257.49652	455.26503	321.67528	193.08529	412.43847
ENST00000255087.10	7.65584	24.32653	15.71429	17.01951	9.94356
ENST00000255194.11	109.14233	238.21058	144.67124	238.21839	229.87507
ENST00000255389.10	152.44881	397.63038	189.93538	173.89693	363.1707
ENST00000255448.8	2e-5	6.48965	17.97383	27.89719	0
ENST00000255608.9	108.7192	474.36535	89.21389	181.24586	565.7746
ENST00000255882.11	358.45731	675.71196	334.07014	359.84559	631.7931
ENST00000256062.9	0	1e-5	0	11.34259	0
ENST00000256324.15	18.68253	35.60839	61.41441	52.32685	55.37384
ENST00000256830.13	8.44352	1.34626	2.5502	3.89959	2.76151
ENST00000257177.9	463.74535	41.09092	452.71524	313.13888	1.2e-4
ENST00000257209.8	39.51892	184.75987	48.6582	64.81135	108.51432
ENST00000257347.9	135.64953	366.04849	126.69128	158.73576	428.05175
ENST00000257435.12	97.65038	1926.89969	41.19323	842.37032	1580.59204
ENST00000257895.10	32.97794	1.74997	21.03469	42.96508	4.34401
ENST00000257897.7	38.57132	12.64606	18.35286	30	35.13971
ENST00000257966.13	255.54799	431.56206	303.21847	213.0686	460.05406
ENST00000258302.8	147.61733	87.84534	167.60207	140.77179	30.71657
ENST00000258398.8	28.62284	1e-5	173.29449	154.41257	4.8347
ENST00000258399.8	87.58832	204.32205	148.09782	129.5689	203.12884
ENST00000258439.8	169.55696	158.81564	129.50924	134.41121	206.25
ENST00000258781.11	32.26905	166.53062	56.191	54.15373	144.78275
ENST00000258796.12	176.91925	735.09564	108.72238	62.23153	917.49086
ENST00000259119.9	325.31202	257.81416	360.48996	648.23486	195.48577
ENST00000259371.7	171.86968	126.96147	142.44869	9.2866	105.8667
ENST00000259633.9	2	3	3.48786	3	24
ENST00000259698.9	39.43167	26.59295	34.17006	28.54168	29.95089
ENST00000259748.6	54.67516	18.0844	46.78882	27.6935	26.83996
