isoform_id	EP1.BRN3B.RO	EP1.WT_hRO_2	H9.BRN3B_hRO_2	H9.BRN3B.RO	H9.CRX_hRO_2
ENST00000232219.6	173.3372	2959.52531	4707.8119	97.17384	2.2224
ENST00000232854.9	184.94974	175.77413	172.83382	163.50057	146.68594
ENST00000233146.7	587.50034	307.24013	311.56819	457.59683	324.96962
ENST00000233156.9	39.87007	28.52154	53.49333	53.33619	23.5463
ENST00000233330.6	82.06087	45.6152	67.22424	88.76523	46.14569
ENST00000233596.8	215.85297	85.40986	119.35135	211.09535	83.57143
ENST00000234091.8	50.77138	0	3.0337	98.53668	3.16169
ENST00000234115.10	327.62098	279.95561	298.35347	355.88502	307.43778
ENST00000234392.3	279.36076	215.56054	178.94972	235.44485	210.8835
ENST00000234420.11	826.51625	413.00679	506.48266	628.78039	520.62406
ENST00000237172.12	9.22857	9.28767	5.34797	0	22.67221
ENST00000237696.10	344.74195	17.42522	8	79	2
ENST00000238788.14	168.75713	78.18821	66.44559	122.73833	78.80342
ENST00000240055.8	308.1757	239.53472	266.45939	215.00152	235.35388
ENST00000240487.5	0	35.6305	25.02452	3.90736	26.04788
ENST00000240731.5	79.93971	69.66812	83.23861	73.04669	74.26705
ENST00000241069.11	193.981	5.59733	14.79081	49.35339	2.98175
ENST00000242285.11	287.86812	92.11307	87.44415	551.91912	79.72014
ENST00000242783.11	572.20413	106.57534	85.61762	324.3726	76.3587
ENST00000242848.8	52.24143	443.10912	6e-5	1e-4	6e-5
ENST00000243326.9	314.21074	212.19644	236.00169	366.88511	195.24632
ENST00000243389.8	46.41468	51	51.87455	62.36257	67
ENST00000243562.13	9.66879	1e-5	25.31692	0	1e-5
ENST00000243896.6	64.32465	12.79553	17.26272	19.46322	20.14143
ENST00000243964.7	160.55337	0	7.33431	133.42926	4.74828
ENST00000244364.10	0.00104	277.30803	139.89244	821.79203	91.09746
ENST00000244711.4	103.13481	17.42456	38.36255	55.67597	19.33467
ENST00000245121.10	0	0	0	2.92938	6.00128
ENST00000245932.11	168.67815	33.9163	41.24147	129.10549	44.12917
ENST00000245960.10	86.6996	82.35776	138.46903	65.68895	70.73468
ENST00000246041.6	4.87976	11.77476	22.27099	4.70746	5.73922
ENST00000246139.9	56.85218	6.79634	6.13374	50.882	2.94157
ENST00000246868.7	966.01617	428.02704	504.30189	1123.35173	482.35937
ENST00000247178.6	326.62188	54.49287	140.75178	337.3404	34.57268
ENST00000247194.9	70.28792	41.68444	12.94503	115.96952	9.78707
ENST00000247470.10	18.43439	5	10.74029	7.08679	2
ENST00000247933.9	17.62922	7.11907	48.80117	14.94001	16.74878
ENST00000248211.11	98.61628	80.64067	56.79801	99.18553	60.38217
ENST00000248553.7	575.31495	170.13073	347.2968	572.29918	327.9706
ENST00000248594.11	666.82273	393.49436	523.90993	570.29677	473.6264
ENST00000249269.9	394.87746	322.12601	362.63887	441.36463	286.21759
ENST00000250076.8	37.97227	17.10463	33.12776	14.29149	21.31712
ENST00000250377.11	24.58486	12.02086	14.21299	25.10748	40.87419
ENST00000250894.8	105.52239	24.04473	2e-5	7.01624	1e-5
ENST00000251849.9	307.82554	117.53821	78.19452	212.71693	60.79549
ENST00000251900.9	45.68579	49.0387	54.59825	119.93622	50.08693
ENST00000252268.8	115.67611	21.66527	11.62193	133.40989	16.83725
ENST00000252487.9	193.53488	27.9151	40.08281	120.35874	27.42393
ENST00000252622.15	639.21438	403.72199	342.40108	3.03662	351.74789
ENST00000252891.8	233.77251	139	124.38144	182	111.67059
ENST00000253099.11	451.02788	51.42623	101.74792	381.11811	77.44806
ENST00000254079.9	338.64299	25.6807	37.82132	230.21016	50.48667
ENST00000254976.7	487.19487	64.87466	98.22507	957.90467	66.93385
ENST00000255006.12	284.22872	224.74267	202.34342	91.10278	189.20474
ENST00000255189.8	4.57143	2	1	4.7914	2
ENST00000255194.11	54.704	109.14233	144.67124	82.01146	238.21839
ENST00000255448.8	16.04647	2e-5	17.97383	0	27.89719
ENST00000255465.8	12.3218	70.82975	209.13631	23	80.60799
ENST00000255681.7	162.92624	82.90924	105.5975	124.82607	111.88768
ENST00000256062.9	10.12294	0	0	14.37231	11.34259
ENST00000256196.9	160.24738	42.87661	68.83271	133.48795	60.94207
ENST00000256429.8	474.58024	130.10737	159.21227	417.71959	144.46703
ENST00000256830.13	21.36017	8.44352	2.5502	41.49882	3.89959
ENST00000257261.10	16.04392	79.86152	81.9904	1e-5	170.23901
ENST00000257414.12	200.43163	5.91506	27.14076	58.17462	7.93198
