"","EP1-WT_ROs_D45","H9-CRX_ROs_D45","EP1-WT_hRO_2","H9-BRN3B_hRO_2","H9-CRX_hRO_2","EP1-BRN3B-RO","H9-BRN3B-RO"
"ENST00000493287",19,23,27,11,11,66,41
"ENST00000487659",65,94,52,41,34,122,77
"ENST00000492508",3,8,6,7,7,15,10
"ENST00000482352",17,25,11,8,12,37,32
"ENST00000537107",18,18,17,22,10,22,15
"ENST00000520296",4,18,0,5,20,24,16
"ENST00000427211",24,18,19,24,25,28,24
"ENST00000378821",19,35,23,16,20,52,28
"ENST00000338660",20,17,4,18,17,197,84
"ENST00000476993",132,167,77,128,102,1958,645
"ENST00000378785",15,14,6,23,22,110,94
"ENST00000673477",53,59,27,27,26,67,66
"ENST00000308647",6,7,4,4,6,12,4
"ENST00000472194",66,64,25,28,31,172,113
"ENST00000378736",2,6,3,4,3,8,1
"ENST00000485748",28,33,18,20,16,44,48
"ENST00000474481",19,15,16,10,7,43,36
"ENST00000378756",146,189,33,36,25,89,71
"ENST00000672388",13,17,6,0,0,10,11
"ENST00000378755",24,43,11,16,12,28,25
"ENST00000339113",7,8,7,3,4,17,4
"ENST00000536055",38,71,18,16,20,43,35
"ENST00000378733",104,95,67,82,93,143,95
"ENST00000624426",13,24,16,12,14,33,21
"ENST00000291386",876,925,348,410,361,836,750
"ENST00000378726",37,33,35,28,22,88,71
"ENST00000359060",283,246,118,105,86,278,206
"ENST00000422725",204,312,86,104,78,176,165
"ENST00000479659",17,16,10,11,8,49,32
"ENST00000489635",11,17,8,8,3,19,13
"ENST00000355826",27,33,17,24,24,35,42
"ENST00000505820",10,28,23,17,34,27,24
"ENST00000518681",13,16,15,20,17,21,31
"ENST00000520777",21,27,15,16,14,20,35
"ENST00000511502",4,5,8,2,12,10,12
"ENST00000477990",13,12,7,10,6,19,19
"ENST00000487053",30,29,7,2,7,45,35
"ENST00000502470",0,1,1,0,2,16,11
"ENST00000378712",3,2,0,1,1,13,11
"ENST00000507082",18,22,12,12,13,43,37
"ENST00000463492",20,16,14,26,16,29,27
"ENST00000504599",3,10,0,0,2,11,5
"ENST00000378708",3,7,6,4,1,4,6
"ENST00000514234",5,1,5,5,4,6,5
"ENST00000467597",1,4,3,0,2,7,2
"ENST00000483015",5,6,4,2,10,7,8
"ENST00000470373",7,9,0,10,7,18,26
"ENST00000356026",49,15,13,11,8,32,5
"ENST00000512731",4,2,0,0,3,8,1
"ENST00000378675",17,7,7,5,2,22,5
"ENST00000490017",6,5,5,6,4,7,15
"ENST00000341832",262,367,134,217,166,328,359
"ENST00000407249",194,169,114,108,120,270,220
"ENST00000340677",78,76,28,32,32,142,117
"ENST00000611150",68,104,37,56,40,98,68
"ENST00000615951",77,95,34,60,45,89,81
"ENST00000626918",2,12,3,2,1,13,10
"ENST00000629289",12,14,5,7,14,28,20
"ENST00000629312",10,21,6,5,11,20,20
"ENST00000341028",14,26,21,15,10,41,43
"ENST00000614300",28,39,17,14,14,32,44
"ENST00000617444",839,1062,542,732,695,797,815
"ENST00000611123",241,308,184,190,175,236,231
"ENST00000480991",11,19,8,8,8,11,12
"ENST00000481276",64,55,27,33,27,55,29
"ENST00000404249",104,196,76,144,151,197,294
"ENST00000356200",14,25,26,23,20,48,58
"ENST00000463652",4,1,1,3,3,4,6
"ENST00000356937",0,0,1,4,1,9,14
"ENST00000378638",5,11,2,3,8,13,9
"ENST00000509982",9,13,5,13,11,26,35
"ENST00000357760",4,3,5,11,13,14,24
"ENST00000358779",18,22,13,39,25,35,34
"ENST00000378633",8,20,16,14,14,40,50
"ENST00000460465",5,18,9,13,19,25,31
"ENST00000478901",0,3,0,0,1,6,6
"ENST00000492390",2,1,0,0,0,6,7
"ENST00000474916",8,5,4,0,1,4,12
"ENST00000479362",3,2,3,0,8,7,16
"ENST00000498810",13,22,21,28,23,51,37
"ENST00000487462",6,9,6,10,11,16,23
"ENST00000401096",14,30,11,10,15,26,36
"ENST00000341426",298,249,116,110,118,220,180
"ENST00000341991",82,89,64,56,68,89,65
"ENST00000378625",55,55,59,68,38,41,73
"ENST00000342348",7,8,1,1,7,3,3
"ENST00000460602",5,8,3,1,3,4,4
"ENST00000464373",0,5,0,1,1,7,9
"ENST00000480542",0,2,0,1,4,8,6
"ENST00000615252",372,351,322,414,371,1041,1602
"ENST00000610897",720,700,424,576,431,1818,2569
"ENST00000378609",1521,1409,574,638,600,2178,2644
"ENST00000439272",13,26,16,9,3,32,42
"ENST00000703692",27,14,9,6,6,32,40
"ENST00000703693",46,34,17,19,12,60,63
"ENST00000703694",22,21,12,12,16,78,73
"ENST00000703695",16,15,4,7,4,46,40
"ENST00000703696",16,11,8,5,3,21,28
"ENST00000703697",9,20,4,4,4,24,25
"ENST00000703698",4,8,1,1,1,7,16
"ENST00000703699",47,39,10,13,6,67,65
"ENST00000703700",11,6,10,9,4,20,44
"ENST00000703701",33,38,16,7,19,64,67
"ENST00000703702",25,23,9,11,11,46,44
"ENST00000703703",37,34,19,10,22,73,83
"ENST00000703704",20,29,8,7,5,52,45
"ENST00000703705",19,26,10,11,6,57,57
"ENST00000703706",21,16,7,4,5,58,61
"ENST00000703707",6,11,2,0,2,25,20
"ENST00000703708",33,28,14,8,11,69,72
"ENST00000703709",15,15,4,5,9,19,26
"ENST00000703710",13,2,3,4,2,24,12
"ENST00000703711",1,2,1,1,0,15,2
"ENST00000461893",18,19,9,6,11,51,31
"ENST00000471354",61,44,50,47,40,174,91
"ENST00000434686",13,2,3,3,5,14,6
"ENST00000437146",0,0,0,0,1,38,28
"ENST00000607589",20,9,4,5,6,14,19
"ENST00000472614",51,37,14,9,15,64,42
"ENST00000703712",9,11,7,7,7,356,553
"ENST00000378602",2,6,4,2,5,3,11
"ENST00000310991",6,11,3,10,4,1,5
"ENST00000493964",7,5,1,2,2,1,2
"ENST00000682832",9,6,2,2,0,0,6
"ENST00000270720",23,12,10,16,15,21,26
"ENST00000378592",35,24,15,19,12,24,41
"ENST00000378585",2,2,0,1,2,6,9
"ENST00000639070",5,1,5,11,12,18,17
"ENST00000640892",0,0,4,0,3,4,4
"ENST00000378567",71,108,26,35,20,79,113
"ENST00000400921",45,55,18,24,23,22,34
"ENST00000495347",1,0,2,0,0,9,5
"ENST00000461106",4,5,0,0,4,4,3
"ENST00000479263",26,12,5,13,5,16,23
"ENST00000503672",1,2,1,5,3,2,1
"ENST00000478770",7,0,1,4,3,8,4
"ENST00000505322",8,8,6,7,8,11,11
"ENST00000400919",60,87,62,41,29,51,54
"ENST00000469733",46,66,29,30,26,47,46
"ENST00000428120",12,26,11,19,15,31,29
"ENST00000414253",50,38,23,28,25,47,45
"ENST00000400918",6,6,6,5,1,3,10
"ENST00000497675",32,62,25,41,24,86,69
"ENST00000378543",61,48,25,21,18,50,31
"ENST00000378546",369,379,147,146,132,476,236
"ENST00000401813",20,27,19,20,3,25,27
"ENST00000487186",35,43,27,25,22,47,41
"ENST00000476803",35,37,22,21,7,41,22
"ENST00000440825",5,11,4,4,3,14,2
"ENST00000420515",21,22,11,14,14,15,21
"ENST00000704337",6,8,1,2,1,5,5
"ENST00000378536",296,374,158,167,131,468,374
"ENST00000508416",7,7,2,1,1,5,6
"ENST00000478223",12,10,5,3,8,13,5
"ENST00000378531",30,26,14,22,7,82,43
"ENST00000606372",22,22,13,10,12,26,19
"ENST00000378529",29,20,13,8,12,28,38
"ENST00000469374",47,31,26,30,28,54,78
"ENST00000449373",14,20,9,5,5,12,20
"ENST00000378525",9,10,3,7,2,8,5
"ENST00000607031",39,36,27,10,24,40,54
"ENST00000494279",4,7,2,3,3,0,0
"ENST00000378513",70,86,80,66,50,152,136
"ENST00000605895",537,459,228,226,215,735,598
"ENST00000306256",13,9,5,5,4,19,21
"ENST00000493207",10,4,0,4,1,11,12
"ENST00000378512",35,42,24,31,11,50,41
"ENST00000443438",9,8,3,1,1,10,12
"ENST00000488353",13,18,5,10,6,32,22
"ENST00000462129",3,3,3,4,2,14,15
"ENST00000288774",61,91,56,43,51,100,115
"ENST00000447513",151,177,57,84,73,247,206
"ENST00000650293",14,16,12,13,5,19,15
"ENST00000507596",15,27,7,11,13,29,14
"ENST00000508384",3,2,5,1,2,2,2
"ENST00000449969",20,17,13,11,11,116,108
"ENST00000378486",34,38,49,73,74,281,474
"ENST00000419816",2,4,5,8,1,27,45
"ENST00000343889",14,7,36,30,37,96,190
"ENST00000278878",3,6,5,0,2,6,9
"ENST00000473964",25,26,19,38,20,72,106
"ENST00000462379",1,5,15,22,25,55,123
"ENST00000378466",194,176,116,117,136,221,202
"ENST00000435556",41,70,31,44,54,77,89
"ENST00000505228",4,4,3,0,2,4,6
"ENST00000515423",1,3,2,0,0,9,2
"ENST00000502770",7,7,0,0,2,11,11
"ENST00000491212",6,1,0,1,3,10,2
"ENST00000378453",2621,3338,945,1127,1135,1004,629
"ENST00000355716",2,3,2,1,9,18,11
"ENST00000444521",20,27,21,27,15,22,34
"ENST00000378425",29,47,30,26,26,34,16
"ENST00000419916",122,114,59,51,53,85,73
"ENST00000378424",16,32,23,14,16,15,21
"ENST00000378427",50,49,23,13,14,40,24
"ENST00000484099",69,93,84,63,58,59,53
"ENST00000476686",49,57,46,43,42,49,55
"ENST00000378412",0,5,0,4,2,2,6
"ENST00000401095",134,128,67,83,62,155,204
"ENST00000511072",9,22,4,2,4,25,8
"ENST00000607632",2,4,0,2,1,3,6
"ENST00000378391",2,11,1,5,7,13,7
"ENST00000270722",33,58,35,52,43,107,92
"ENST00000514189",0,9,1,2,2,7,8
"ENST00000512462",4,6,3,3,4,8,5
"ENST00000509860",0,9,6,3,0,2,4
"ENST00000378378",26,51,19,30,21,51,75
"ENST00000378373",12,15,7,17,8,8,14
"ENST00000378371",17,14,6,6,5,3,11
"ENST00000485984",14,17,9,16,12,13,18
"ENST00000356575",95,118,30,72,61,38,33
"ENST00000697102",33,41,17,34,22,20,16
"ENST00000294599",9,25,14,5,9,6,7
"ENST00000485002",9,14,10,4,3,3,8
"ENST00000378344",160,178,79,105,102,335,465
"ENST00000344579",36,62,52,72,45,98,143
"ENST00000378322",48,55,41,49,32,90,71
"ENST00000270708",196,163,84,144,104,155,212
"ENST00000471223",8,26,12,5,10,31,29
"ENST00000419924",5,4,2,0,0,5,4
"ENST00000479331",5,2,1,2,2,3,2
"ENST00000378295",8,13,2,9,1,6,14
"ENST00000604074",5,0,5,3,5,2,6
"ENST00000346387",0,5,0,2,4,2,3
"ENST00000357733",3,3,1,6,3,5,7
"ENST00000378288",12,7,4,2,7,2,8
"ENST00000636250",0,3,0,2,1,9,5
"ENST00000462521",2,4,3,5,1,13,7
"ENST00000294600",8,6,3,7,5,10,8
"ENST00000642557",77,75,36,48,42,45,56
"ENST00000561886",1,8,1,1,1,4,8
"ENST00000444870",14,15,19,13,8,20,19
"ENST00000378251",446,503,277,318,295,729,685
"ENST00000462356",5,4,0,1,0,10,7
"ENST00000479239",1,0,2,2,0,6,5
"ENST00000675966",17,11,21,9,14,41,45
"ENST00000676052",2,8,7,6,6,35,21
"ENST00000378230",20,16,17,5,6,38,46
"ENST00000674623",11,18,22,13,9,30,23
"ENST00000675200",11,14,9,9,13,24,30
"ENST00000674985",10,19,12,4,10,10,31
"ENST00000674879",14,20,12,20,15,29,60
"ENST00000675677",15,19,6,3,8,24,46
