"","EP1-WT_ROs_D45","H9-CRX_ROs_D45","EP1-WT_hRO_2","H9-BRN3B_hRO_2","H9-CRX_hRO_2","EP1-BRN3B-RO","H9-BRN3B-RO"
"ENST00000377325",16,12,9,12,4,17,19
"ENST00000683778",39,16,8,15,18,24,30
"ENST00000685330",40,52,32,29,32,50,52
"ENST00000340487",149,129,62,79,83,148,112
"ENST00000330236",515,430,314,356,314,615,647
"ENST00000606198",2,1,9,2,10,10,4
"ENST00000457389",6,12,2,5,5,9,9
"ENST00000536028",19,21,5,13,6,16,16
"ENST00000562227",6,4,3,0,4,8,11
"ENST00000440790",13,16,13,3,13,15,30
"ENST00000570042",6,6,3,2,3,1,6
"ENST00000425468",23,37,10,13,18,16,13
"ENST00000252207",124,112,93,105,102,119,113
"ENST00000531979",46,41,27,42,29,45,36
"ENST00000647743",7,11,7,7,4,3,5
"ENST00000527436",61,61,25,27,25,55,69
"ENST00000526391",2,3,0,1,2,7,1
"ENST00000377294",88,101,53,77,43,103,122
"ENST00000343684",1,2,1,1,2,7,5
"ENST00000316606",34,37,15,23,18,50,56
"ENST00000421553",78,51,55,67,62,100,87
"ENST00000623276",3,2,2,4,5,2,6
"ENST00000614088",50,33,51,31,46,90,59
"ENST00000619937",94,68,60,77,72,104,108
"ENST00000621053",8,3,0,0,0,7,0
"ENST00000259883",72,67,41,54,71,114,126
"ENST00000682144",98,104,54,69,56,98,150
"ENST00000439158",19,12,7,10,14,21,10
"ENST00000344279",10,18,6,18,12,26,17
"ENST00000396838",17,15,13,11,13,17,27
"ENST00000611469",7,3,4,1,0,5,3
"ENST00000414429",12,5,8,8,0,9,11
"ENST00000446474",3,3,1,3,4,8,5
"ENST00000439636",5,0,3,4,2,5,13
"ENST00000476001",22,13,4,8,6,9,7
"ENST00000252211",312,233,201,185,187,362,402
"ENST00000341464",8,4,3,5,4,6,1
"ENST00000377255",184,173,174,155,167,398,345
"ENST00000361028",69,72,77,101,77,113,162
"ENST00000396827",43,49,32,23,27,38,53
"ENST00000684592",139,104,73,61,72,135,115
"ENST00000481983",17,20,20,28,8,36,47
"ENST00000289788",48,28,25,18,19,38,31
"ENST00000486481",74,49,38,39,38,29,31
"ENST00000361902",2,1,2,9,13,7,7
"ENST00000483058",0,1,0,0,4,3,7
"ENST00000412168",1,3,0,3,5,0,3
"ENST00000442674",0,1,4,7,7,3,5
"ENST00000452236",119,83,64,62,66,55,104
"ENST00000646382",44,26,28,36,29,27,42
"ENST00000530247",6,8,3,0,0,0,3
"ENST00000526291",8,8,5,9,9,6,11
"ENST00000524745",1,1,0,1,7,0,6
"ENST00000414543",53,62,34,28,32,33,39
"ENST00000481474",118,120,49,38,66,128,98
"ENST00000377199",363,346,145,176,154,410,405
"ENST00000377194",159,155,69,68,60,150,113
"ENST00000498117",37,24,13,10,11,33,19
"ENST00000496091",27,25,8,8,14,54,26
"ENST00000483450",34,16,26,12,24,48,24
"ENST00000377179",16,13,17,5,19,27,16
"ENST00000641151",2,0,0,3,0,5,19
"ENST00000641417",4,5,1,5,6,10,13
"ENST00000641895",67,69,88,148,122,353,425
"ENST00000641768",0,0,0,1,0,5,9
"ENST00000377148",65,56,50,46,57,143,176
"ENST00000641152",52,38,43,58,45,120,189
"ENST00000377149",75,50,53,36,46,157,169
"ENST00000641730",9,6,4,9,5,9,11
"ENST00000642037",4,5,8,5,8,14,22
"ENST00000641137",31,12,17,15,7,23,47
"ENST00000377050",2,23,7,14,10,12,15
"ENST00000355973",14,28,33,17,9,44,14
"ENST00000472823",148,147,107,104,100,191,137
"ENST00000377016",60,53,58,48,40,81,97
"ENST00000377012",39,31,36,38,30,63,54
"ENST00000491829",17,29,17,14,17,20,33
"ENST00000377034",25,40,19,38,14,65,67
"ENST00000462632",5,13,6,9,5,17,11
"ENST00000706533",25,9,12,9,10,15,11
"ENST00000476670",9,7,5,8,3,10,9
"ENST00000494877",1,4,2,1,3,2,5
"ENST00000473774",3,2,1,4,4,1,8
"ENST00000489839",4,0,4,2,0,2,7
"ENST00000494634",6,3,1,8,4,6,11
"ENST00000477029",7,5,0,2,4,14,8
"ENST00000485508",22,19,5,5,7,11,7
"ENST00000489385",76,57,49,35,31,71,32
"ENST00000467259",107,65,28,26,39,106,54
"ENST00000641840",227,143,147,131,154,363,419
"ENST00000376917",0,0,8,6,14,14,15
"ENST00000376894",0,0,4,5,0,9,10
"ENST00000485211",3,0,1,0,5,10,6
"ENST00000376889",1,4,2,3,6,16,12
"ENST00000376861",0,1,0,4,4,3,15
"ENST00000334668",0,2,0,2,5,3,11
"ENST00000475996",0,0,2,2,0,6,7
"ENST00000396634",145,218,132,190,211,389,456
"ENST00000706892",5,11,3,6,7,14,16
"ENST00000706893",2,2,2,4,4,4,3
"ENST00000706894",4,10,8,8,7,7,8
"ENST00000706895",2,9,3,2,2,8,4
"ENST00000706896",3,1,3,5,2,11,9
"ENST00000706897",12,25,10,19,12,17,32
"ENST00000706898",3,12,8,6,4,18,9
"ENST00000706899",8,14,17,10,9,26,28
"ENST00000706901",124,197,175,197,174,396,439
"ENST00000706902",0,0,3,0,3,3,6
"ENST00000706903",0,3,1,6,2,3,5
"ENST00000706904",5,3,9,7,2,10,6
"ENST00000376806",5,45,40,48,42,36,66
"ENST00000706905",132,224,167,184,205,381,418
"ENST00000376809",76,123,90,85,89,197,214
"ENST00000496081",19,55,43,50,44,48,85
"ENST00000376802",8,42,42,23,25,36,68
"ENST00000495183",17,45,63,48,53,59,75
"ENST00000638375",2,12,3,7,12,9,20
"ENST00000706900",20,37,21,22,42,42,56
"ENST00000471008",38,26,24,22,19,27,32
"ENST00000376782",29,26,33,50,35,46,28
"ENST00000359374",129,78,64,126,84,104,107
"ENST00000376785",16,19,27,27,14,19,12
"ENST00000332435",216,162,85,100,98,182,138
"ENST00000463141",3,9,9,7,7,10,14
"ENST00000376773",30,37,21,34,21,31,36
"ENST00000376772",340,258,108,147,95,325,300
"ENST00000376769",36,33,33,30,20,59,60
"ENST00000376765",41,34,30,32,31,66,74
"ENST00000376763",24,26,23,26,7,27,29
"ENST00000376758",66,50,49,40,30,66,56
"ENST00000376751",4,3,3,7,0,11,10
"ENST00000244360",1,7,8,7,2,11,13
"ENST00000480999",42,36,28,24,23,64,58
"ENST00000437089",28,19,16,14,30,59,58
"ENST00000454678",90,69,53,46,40,150,107
"ENST00000453195",56,63,43,47,34,133,96
"ENST00000416596",12,7,7,3,6,27,23
"ENST00000487829",3,4,2,4,1,13,11
"ENST00000376656",9,7,10,9,12,18,12
"ENST00000428728",1,0,0,4,2,5,7
"ENST00000396548",19,12,11,20,11,19,21
"ENST00000396551",31,24,15,19,15,36,36
"ENST00000376659",29,17,15,17,22,60,49
"ENST00000396547",0,9,21,3,0,18,19
"ENST00000623385",12,5,6,2,4,9,5
"ENST00000433076",135,113,55,84,63,84,73
"ENST00000498414",51,27,17,20,21,56,42
"ENST00000489124",6,8,8,2,6,8,5
"ENST00000491477",6,18,6,5,11,11,21
"ENST00000473266",50,44,35,43,27,69,51
"ENST00000442966",354,285,166,279,201,207,225
"ENST00000428040",94,90,34,46,43,86,78
"ENST00000436442",17,18,21,22,19,18,23
"ENST00000376630",164,233,185,296,180,626,560
"ENST00000376621",357,458,262,331,291,886,839
"ENST00000487166",8,10,5,5,5,25,15
"ENST00000433809",2,2,0,3,0,6,9
"ENST00000376557",137,139,32,55,56,131,75
"ENST00000376560",36,50,14,19,20,43,46
"ENST00000481741",19,14,13,12,8,28,29
"ENST00000498336",11,21,8,8,7,24,23
"ENST00000491173",28,36,18,15,19,65,52
"ENST00000470703",59,56,50,30,24,93,74
"ENST00000376545",80,117,54,47,50,128,141
"ENST00000441867",379,470,195,211,183,562,597
"ENST00000468958",7,17,9,12,7,18,10
"ENST00000326195",243,276,136,163,121,333,392
"ENST00000475993",22,16,11,10,13,41,48
"ENST00000479542",1,2,2,1,2,8,5
"ENST00000376511",565,612,347,275,260,624,682
"ENST00000476704",2,8,6,2,6,22,17
"ENST00000461593",3,5,0,3,4,10,15
"ENST00000484449",202,185,106,101,138,203,182
"ENST00000473954",1,4,4,2,3,11,8
"ENST00000259873",420,405,220,242,189,494,628
"ENST00000492316",4,7,1,2,3,5,11
"ENST00000472267",42,80,44,41,48,107,130
"ENST00000472229",105,94,74,44,75,147,190
"ENST00000318999",60,52,34,29,22,83,48
"ENST00000330083",58,40,32,27,34,39,45
"ENST00000376485",85,74,64,67,71,83,41
"ENST00000319027",86,61,46,59,40,59,38
"ENST00000376483",63,53,48,43,27,71,54
"ENST00000329992",141,129,67,88,58,124,95
"ENST00000468713",39,42,43,30,40,48,22
"ENST00000493388",16,6,10,15,7,30,22
"ENST00000471782",90,53,76,86,94,113,85
"ENST00000479562",20,31,36,21,30,25,37
"ENST00000484551",1,1,4,1,2,4,2
"ENST00000293604",48,44,33,24,30,57,70
"ENST00000488383",27,15,32,23,15,41,46
"ENST00000376473",49,50,28,31,28,72,77
"ENST00000651131",33,18,22,23,18,38,30
"ENST00000446773",21,15,13,11,7,18,18
"ENST00000465699",7,7,14,10,10,14,33
"ENST00000467801",0,0,4,4,3,2,3
"ENST00000468785",6,7,4,0,4,16,2
"ENST00000376437",38,56,38,38,22,56,80
"ENST00000376442",201,180,84,91,94,277,354
"ENST00000480966",1,2,0,0,0,9,5
"ENST00000415603",3,2,0,5,3,12,12
"ENST00000615892",27,28,39,51,48,45,20
"ENST00000274853",62,65,41,61,31,48,59
"ENST00000467662",47,43,45,53,33,27,27
"ENST00000488324",32,39,42,61,41,30,29
"ENST00000399199",133,94,49,97,77,68,50
"ENST00000615527",105,101,54,45,34,99,69
"ENST00000495946",5,22,6,11,5,5,12
"ENST00000444096",28,40,13,22,24,16,21
"ENST00000482141",25,24,5,14,11,8,17
"ENST00000474864",22,47,8,21,24,16,9
"ENST00000376420",13,27,5,20,14,1,5
"ENST00000462857",20,32,6,19,20,8,5
"ENST00000470733",19,42,10,25,21,10,16
"ENST00000259953",151,187,60,96,80,59,63
"ENST00000376421",78,92,26,52,41,36,30
"ENST00000376406",528,604,220,197,182,381,353
"ENST00000489540",6,2,3,0,0,4,6
"ENST00000417033",1,13,6,1,1,6,0
"ENST00000492462",9,14,6,5,3,6,4
"ENST00000422266",46,21,12,15,18,30,24
"ENST00000681435",1512,1775,790,867,752,838,482
"ENST00000327892",16970,13307,3663,5812,4495,4290,2384
"ENST00000330914",1551,1649,701,813,733,783,477
"ENST00000680530",1057,1047,396,557,532,491,393
"ENST00000396389",1409,1509,613,809,673,731,449
"ENST00000681421",611,672,293,370,294,279,221
"ENST00000396384",1587,1729,732,962,747,766,455
"ENST00000487376",104,148,152,136,137,180,156
"ENST00000376389",704,759,335,438,328,715,606
"ENST00000413165",2,0,1,2,5,9,5
"ENST00000476729",0,5,2,9,9,7,5
"ENST00000470643",14,8,8,5,5,19,5
"ENST00000484168",29,35,15,16,11,36,31
"ENST00000484693",51,43,24,17,17,64,55
"ENST00000259874",43,91,43,49,73,127,137
"ENST00000376377",10,30,15,19,24,69,44
"ENST00000460944",31,17,12,10,21,13,22
"ENST00000324771",174,192,88,144,97,264,202
"ENST00000505534",11,12,2,2,4,11,13
"ENST00000503180",4,12,6,1,1,6,5
"ENST00000482050",46,32,18,6,11,17,7
"ENST00000418800",22,25,8,29,13,44,23
"ENST00000515529",7,7,1,3,0,6,3
"ENST00000454612",127,161,149,245,202,390,353
"ENST00000506573",6,3,0,0,4,9,3
"ENST00000376569",274,259,222,322,256,464,426
"ENST00000376570",40,37,18,29,17,40,26
"ENST00000428153",4,6,5,1,1,26,17
"ENST00000376568",193,210,158,264,224,500,444
"ENST00000452441",22,20,12,18,4,43,32
"ENST00000482873",1,0,1,6,4,7,7
"ENST00000508312",6,9,1,8,5,10,9
"ENST00000503670",4,1,2,2,1,9,2
"ENST00000376567",168,176,140,242,227,365,359
"ENST00000446312",21,13,17,23,6,28,12
"ENST00000513240",6,4,3,3,3,11,5
"ENST00000508472",10,5,10,3,3,1,5
"ENST00000417521",6,3,3,3,0,6,1
"ENST00000514534",11,4,14,6,2,15,6
"ENST00000465966",9,6,6,10,8,9,5
"ENST00000259895",103,95,41,66,53,66,81
"ENST00000376316",13,26,13,14,11,34,25
"ENST00000483318",9,19,13,8,12,20,14
"ENST00000475845",0,6,3,0,6,11,10
"ENST00000672801",2,5,2,0,7,0,9
"ENST00000321897",19,23,17,26,24,21,25
"ENST00000625423",7,6,3,6,5,9,5
"ENST00000676266",44,56,12,57,37,33,26
"ENST00000428017",3,1,3,0,5,5,3
"ENST00000541562",4,2,5,2,6,3,13
"ENST00000490699",0,1,2,5,0,3,6
"ENST00000469358",20,29,18,35,19,27,28
"ENST00000476162",3,23,7,15,15,13,16
"ENST00000473916",9,19,11,17,15,12,22
"ENST00000634371",1,1,0,3,3,4,18
"ENST00000636043",0,0,0,3,3,6,13
"ENST00000462446",0,1,2,1,3,7,8
"ENST00000561890",0,0,3,2,5,10,18
"ENST00000467107",0,2,2,4,1,8,19
"ENST00000396268",74,78,29,40,38,40,44
"ENST00000376266",59,76,32,52,49,34,40
"ENST00000396263",4,5,0,0,1,2,4
"ENST00000652427",1,10,1,6,3,2,2
"ENST00000652535",9,12,3,4,2,2,3
"ENST00000451521",8,6,3,2,0,5,6
"ENST00000509552",1,5,0,4,0,5,3
"ENST00000502557",3,6,1,0,2,3,4
"ENST00000475684",2,4,4,3,2,5,7
"ENST00000706778",25,23,4,11,10,16,5
"ENST00000706779",37,32,8,19,13,31,9
"ENST00000706780",11,18,3,7,6,8,2
"ENST00000706781",10,10,5,2,6,12,5
"ENST00000706782",6,4,0,4,0,8,9
"ENST00000706783",6,11,5,0,5,4,4
"ENST00000706784",42,48,24,30,30,64,66
"ENST00000706785",0,7,3,8,5,7,3
"ENST00000706786",14,6,9,18,2,6,2
"ENST00000376255",19,33,4,16,10,9,3
"ENST00000706787",14,6,2,6,6,4,0
"ENST00000376257",43,20,10,14,10,17,3
"ENST00000706788",10,9,4,12,12,4,3
"ENST00000259915",20,7,4,2,7,13,9
"ENST00000441888",4,2,3,1,2,5,0
"ENST00000471529",2,2,1,4,2,3,7
"ENST00000513407",4,4,5,1,2,12,6
"ENST00000466892",0,36,36,55,42,44,104
"ENST00000470363",0,28,20,48,48,33,118
"ENST00000487245",10,67,36,171,87,109,318
"ENST00000383329",32,43,54,44,35,131,120
"ENST00000376228",92,348,118,548,342,487,1315
"ENST00000376237",15,67,48,120,100,121,387
"ENST00000481849",8,22,50,148,68,116,337
"ENST00000497377",6,13,68,172,63,87,299
"ENST00000696558",2,12,30,75,26,66,163
"ENST00000412585",38,34,70,267,95,279,747
"ENST00000696559",32,40,57,255,93,259,715
"ENST00000696560",23,20,53,210,80,206,564
"ENST00000696561",0,2,2,14,4,19,27
"ENST00000696562",3,3,1,11,4,8,21
"ENST00000474381",12,22,19,59,23,42,131
"ENST00000674069",2,15,5,9,5,9,20
"ENST00000616296",10,14,6,24,16,19,30
"ENST00000449934",32,58,15,60,45,54,88
"ENST00000421350",3,11,2,6,10,6,21
"ENST00000376191",8,5,5,7,2,5,10
"ENST00000474961",231,239,183,151,138,213,168
"ENST00000484566",37,76,52,47,45,45,44
"ENST00000376177",29,53,19,21,14,42,24
"ENST00000462256",552,545,310,322,287,497,386
"ENST00000458640",482,506,162,187,159,196,229
"ENST00000396172",758,565,215,229,239,263,284
"ENST00000462421",13,38,18,22,9,22,17
"ENST00000431908",5,3,1,3,2,5,5
"ENST00000481456",314,340,156,94,104,301,230
"ENST00000419020",7,4,3,2,2,4,5
"ENST00000376185",1159,741,321,337,302,427,368
"ENST00000303892",113,149,144,206,189,211,235
"ENST00000376151",18,15,19,39,40,17,29
"ENST00000481998",6,10,3,1,4,11,6
"ENST00000376146",42,46,42,37,33,81,60
"ENST00000376148",93,76,54,66,60,122,110
"ENST00000376145",45,54,25,31,32,55,55
"ENST00000496233",4,3,4,1,2,11,4
"ENST00000454783",0,0,2,0,0,9,5
"ENST00000482429",8,3,1,3,1,1,3
"ENST00000464526",1,0,3,1,2,10,9
"ENST00000438075",0,1,3,1,0,9,7
"ENST00000460834",1,2,0,0,0,4,8
"ENST00000376049",16,8,0,5,2,0,0
"ENST00000376033",785,917,353,287,243,787,593
"ENST00000376007",990,1123,475,392,326,1261,934
"ENST00000469577",6,10,4,4,1,22,8
"ENST00000464890",6,12,21,12,9,30,12
"ENST00000483470",18,15,13,10,10,43,33
"ENST00000487839",7,4,1,0,0,6,3
"ENST00000492691",16,37,43,25,33,52,62
"ENST00000462617",26,43,37,24,19,52,51
"ENST00000482441",37,57,50,40,37,70,101
"ENST00000464869",11,14,16,18,9,18,31
"ENST00000464126",23,41,36,49,27,60,65
"ENST00000422948",15,10,6,7,6,20,31
"ENST00000441793",52,65,38,32,40,55,79
"ENST00000375976",260,280,131,205,148,315,292
"ENST00000676615",175,209,85,129,103,168,162
"ENST00000211379",242,215,104,137,111,156,167
"ENST00000679119",68,92,51,54,63,115,154
"ENST00000375964",66,69,59,62,56,82,142
"ENST00000676571",127,122,90,106,62,124,145
"ENST00000362049",302,304,133,173,118,287,387
"ENST00000439687",13,56,13,11,9,25,51
"ENST00000462875",2,0,2,6,3,7,5
"ENST00000678272",5,9,1,5,4,12,10
"ENST00000470875",1,2,3,1,1,5,2
"ENST00000437771",11,28,8,5,8,28,27
"ENST00000435080",7,5,3,1,0,27,13
"ENST00000452994",3,1,5,1,2,9,5
"ENST00000456622",4,6,3,0,0,6,9
"ENST00000428326",19,19,9,6,4,18,22
"ENST00000451898",3,9,2,2,0,11,6
"ENST00000433828",4,4,7,3,1,7,5
"ENST00000424480",18,24,10,13,5,27,32
"ENST00000456286",0,4,6,2,0,8,8
"ENST00000375918",3,8,2,3,6,6,4
"ENST00000375920",40,29,15,19,22,40,36
"ENST00000375916",9,15,3,6,1,14,9
"ENST00000375911",154,136,58,49,66,206,163
"ENST00000375896",60,44,23,26,22,27,46
"ENST00000375906",58,53,22,44,32,57,56
"ENST00000375893",56,39,26,31,24,48,44
"ENST00000375895",84,35,39,38,40,37,65
"ENST00000375900",89,65,37,58,36,84,72
"ENST00000458083",11,15,5,5,0,9,5
"ENST00000445768",30,25,12,27,11,32,30
"ENST00000456540",9,11,9,6,6,5,8
"ENST00000677388",14,17,17,22,18,13,22
"ENST00000677758",6,10,10,5,1,5,4
"ENST00000677536",15,26,21,17,13,40,21
"ENST00000375885",49,98,52,47,49,63,56
"ENST00000375882",1562,1324,724,969,862,1343,1105
"ENST00000468255",86,62,57,78,68,103,92
"ENST00000481269",1,2,4,2,1,3,3
"ENST00000475875",22,17,27,28,19,22,21
"ENST00000375865",47,58,57,37,40,64,49
"ENST00000375866",72,67,75,53,49,64,49
"ENST00000375880",25,24,19,18,25,49,40
"ENST00000409691",11,17,17,4,16,29,30
"ENST00000375864",13,25,19,19,13,44,57
"ENST00000409525",6,8,7,3,6,7,5
"ENST00000471088",20,20,12,14,6,35,36
"ENST00000383237",7,11,4,15,7,10,40
"ENST00000375863",8,4,1,6,7,6,12
"ENST00000474395",15,13,12,9,8,19,8
"ENST00000460141",20,12,11,11,15,28,36
"ENST00000461572",1,5,1,8,8,0,14
"ENST00000468205",25,30,36,25,35,46,36
"ENST00000475742",53,46,43,40,51,45,43
"ENST00000395952",295,237,138,168,145,272,261
"ENST00000492084",51,36,41,43,46,90,68
"ENST00000495769",18,7,14,5,9,18,9
"ENST00000440843",2,4,1,1,0,4,5
"ENST00000498420",3,2,1,4,3,2,5
"ENST00000496579",0,0,1,0,3,6,5
"ENST00000492899",0,2,7,0,0,8,8
"ENST00000482224",7,1,3,6,6,7,6
"ENST00000375832",2,7,1,3,2,3,3
"ENST00000375809",15,9,7,5,5,7,16
"ENST00000649779",4,8,10,5,4,5,6
"ENST00000466312",4,5,4,3,1,0,1
"ENST00000495859",3,1,5,5,5,7,4
"ENST00000375819",2,4,6,2,4,11,1
"ENST00000437288",33,31,27,14,20,19,30
"ENST00000436437",150,162,99,132,77,125,118
"ENST00000469963",117,126,43,64,61,146,111
"ENST00000416410",142,134,70,87,63,108,82
"ENST00000480913",79,106,58,56,74,60,47
"ENST00000483792",57,47,37,36,30,39,29
"ENST00000375787",199,160,87,115,106,111,96
"ENST00000375792",1624,1208,394,621,434,719,556
"ENST00000375789",171,116,87,98,85,141,101
"ENST00000488119",39,30,11,21,5,6,2
"ENST00000375779",338,290,126,202,167,341,192
"ENST00000375780",257,213,87,123,119,200,140
"ENST00000395892",283,266,120,198,141,252,179
"ENST00000616760",256,275,125,170,126,238,210
"ENST00000375784",1225,1082,293,500,335,1192,639
"ENST00000375755",32,24,15,19,10,29,22
"ENST00000425703",2,5,0,7,3,2,3
"ENST00000463094",12,9,10,5,6,15,6
"ENST00000482280",11,11,7,6,5,10,11
"ENST00000375750",15,24,6,12,1,8,7
"ENST00000650702",34,35,11,14,11,28,26
"ENST00000375703",7,9,5,8,6,12,8
"ENST00000375740",5,5,4,6,5,8,3
"ENST00000423982",13,13,2,7,7,6,6
"ENST00000463144",4,4,3,2,0,4,6
"ENST00000497269",71,36,20,20,29,45,38
"ENST00000395853",84,47,35,29,39,67,43
"ENST00000494458",3,7,6,8,0,2,3
"ENST00000493662",116,131,43,37,46,44,36
"ENST00000498473",57,75,25,20,14,15,13
"ENST00000476085",129,116,61,42,31,27,30
"ENST00000415669",78,113,29,23,25,18,18
"ENST00000494299",12,6,0,7,0,2,7
"ENST00000375688",4,1,2,0,2,7,3
"ENST00000470953",2,5,9,8,8,12,6
"ENST00000375663",407,428,223,212,184,402,332
"ENST00000489979",3,0,0,0,1,6,7
"ENST00000440048",10,9,3,2,0,14,7
"ENST00000491421",34,48,23,32,20,46,23
"ENST00000493387",28,36,23,19,16,20,11
"ENST00000470083",22,18,22,19,17,18,18
"ENST00000470086",28,48,17,21,27,22,36
"ENST00000375661",855,792,336,379,416,504,423
"ENST00000477182",27,39,36,33,24,29,19
"ENST00000375654",30,12,19,11,10,41,35
"ENST00000375651",175,113,69,46,62,172,175
"ENST00000608703",74,68,72,46,60,109,119
"ENST00000375650",244,288,194,215,168,333,402
"ENST00000495807",42,41,29,45,33,71,105
"ENST00000375631",178,208,120,202,159,262,379
"ENST00000480384",18,31,34,31,32,31,51
"ENST00000491768",19,41,37,53,28,33,79
"ENST00000678869",3,4,3,2,1,6,4
"ENST00000677054",1,1,1,3,4,3,4
"ENST00000677512",2,5,6,2,4,3,1
"ENST00000375562",0,4,3,1,0,2,8
"ENST00000487680",4,0,4,5,4,2,5
"ENST00000478491",26,44,18,25,22,9,24
"ENST00000461880",35,36,26,45,24,28,29
"ENST00000494816",51,52,29,28,32,66,48
"ENST00000480912",107,74,34,68,50,102,82
"ENST00000395728",96,93,34,37,35,78,86
"ENST00000375528",57,95,61,63,35,79,74
"ENST00000375530",113,117,56,72,51,107,106
"ENST00000375537",369,390,159,205,170,230,181
"ENST00000463484",8,8,3,0,4,10,3
"ENST00000465429",93,71,38,33,52,70,59
"ENST00000695637",26,14,18,15,16,25,17
"ENST00000447952",0,2,3,0,3,0,7
"ENST00000418949",1,3,1,1,2,7,4
"ENST00000486124",1,0,0,2,0,7,10
"ENST00000375527",142,127,46,39,42,186,135
"ENST00000698632",3,1,0,1,0,8,4
"ENST00000698633",0,1,3,1,2,1,8
"ENST00000375429",528,546,202,276,244,510,486
"ENST00000492185",39,45,29,33,39,54,39
"ENST00000488426",58,58,29,42,30,76,92
"ENST00000481121",68,64,29,60,62,95,58
"ENST00000375425",97,62,37,60,37,119,73
"ENST00000444811",26,27,9,27,26,50,25
"ENST00000441998",11,10,7,6,7,15,7
"ENST00000454913",2,4,1,4,3,6,0
"ENST00000697831",7,6,16,20,22,20,21
"ENST00000697832",7,2,2,3,5,7,2
"ENST00000494058",7,7,3,5,4,5,1
"ENST00000697833",2,3,3,2,4,4,4
"ENST00000491994",6,10,4,8,2,8,5
"ENST00000461073",17,24,29,20,25,32,40
"ENST00000697834",11,10,8,11,8,10,9
"ENST00000465703",19,13,20,24,15,27,38
"ENST00000697835",23,31,18,19,18,20,33
"ENST00000485349",5,2,4,1,2,8,3
"ENST00000697836",2,1,1,3,5,2,4
"ENST00000697837",0,4,2,6,2,2,1
"ENST00000697838",11,21,22,18,19,22,33
"ENST00000697839",9,5,5,10,8,6,7
"ENST00000375394",30,52,21,26,24,22,35
"ENST00000697841",7,6,3,7,8,11,9
"ENST00000697842",2,4,1,2,3,3,0
"ENST00000471818",13,14,9,9,12,8,11
"ENST00000491327",6,8,6,7,5,9,6
"ENST00000485557",27,20,9,16,9,24,45
"ENST00000477826",33,28,17,21,13,51,24
"ENST00000375349",60,40,16,20,23,44,26
"ENST00000473976",30,33,16,31,18,41,46
"ENST00000337523",39,41,15,14,16,44,50
"ENST00000478221",4,3,3,1,3,9,17
"ENST00000498357",3,3,3,6,8,10,8
"ENST00000466132",40,43,17,29,27,68,45
"ENST00000479644",21,15,8,7,14,28,27
"ENST00000375331",49,36,26,27,23,57,55
"ENST00000492583",6,4,0,0,1,5,4
"ENST00000375333",10,12,10,15,9,32,40
"ENST00000473983",37,22,9,14,18,43,42
"ENST00000685781",19,22,19,18,16,21,45
"ENST00000491861",52,38,29,38,32,69,36
"ENST00000490822",15,13,8,8,4,22,30
"ENST00000428956",6,8,24,21,29,193,239
"ENST00000698442",0,8,5,7,9,83,78
"ENST00000498271",2,2,9,6,16,57,88
"ENST00000435363",4,2,21,17,20,221,232
"ENST00000425700",0,1,2,5,12,57,74
"ENST00000648821",0,1,2,1,2,8,13
"ENST00000468936",4,2,2,1,0,30,29
"ENST00000479074",1,3,2,4,2,6,6
"ENST00000479730",0,1,1,4,4,5,6
"ENST00000435122",0,0,0,4,2,5,5
"ENST00000644719",0,3,5,2,0,16,13
"ENST00000644971",7,12,22,20,14,15,13
"ENST00000647633",2,12,13,22,15,13,29
"ENST00000375244",9,9,15,23,14,17,15
"ENST00000451343",1,5,11,23,5,8,4
"ENST00000490077",1,4,5,28,13,0,8
"ENST00000442721",0,2,4,5,6,4,4
"ENST00000375203",345,330,134,107,123,408,349
"ENST00000375201",144,130,53,55,61,209,164
"ENST00000453203",86,97,38,36,31,86,57
"ENST00000492342",15,30,22,20,15,56,26
"ENST00000495579",86,121,82,92,84,160,95
"ENST00000485314",9,14,12,7,2,24,13
"ENST00000468502",8,4,6,6,8,20,9
"ENST00000375156",94,79,35,44,35,61,49
"ENST00000467780",2,2,3,3,1,6,6
"ENST00000495191",10,14,12,10,5,15,12
"ENST00000472641",2,4,1,0,7,4,4
"ENST00000375150",8,8,10,8,9,8,10
"ENST00000211413",6,6,8,8,14,29,15
"ENST00000486917",0,4,8,2,5,8,7
"ENST00000361568",67,68,35,35,47,62,45
"ENST00000395523",105,87,50,69,67,83,126
"ENST00000375137",57,65,46,42,45,48,76
"ENST00000375143",49,57,23,26,20,54,62
"ENST00000324816",47,43,27,50,48,59,70
"ENST00000495908",4,10,3,9,6,12,6
"ENST00000428388",30,28,38,26,22,52,28
"ENST00000422437",34,47,40,55,36,46,45
"ENST00000479001",13,75,1,1,3,6,4
"ENST00000333845",9,9,18,10,12,13,6
"ENST00000395512",14,6,15,11,7,17,15
"ENST00000466239",69,78,68,72,67,144,102
"ENST00000489721",0,8,6,8,10,13,9
"ENST00000395496",24,44,35,50,39,60,48
"ENST00000375107",368,435,202,246,190,464,382
"ENST00000395499",52,60,34,43,37,56,63
"ENST00000375104",48,65,33,37,33,51,63
"ENST00000490711",42,73,28,40,40,71,64
"ENST00000395497",55,43,41,25,18,54,43
"ENST00000336984",57,74,39,41,38,62,72
"ENST00000375094",1306,1172,621,676,690,1239,1069
"ENST00000487940",2,4,1,3,1,7,3
"ENST00000469940",3,12,5,8,6,13,6
"ENST00000473619",5,2,11,10,7,4,4
