groupID	featureID_by_groupID
ENSG00000163946.14	ENST00000459993.5,ENST00000683822.1
ENSG00000182534.14	ENST00000355797.7,ENST00000449428.7
ENSG00000127914.19	ENST00000679521.1,ENST00000681722.1
ENSG00000105223.21	ENST00000409735.9
ENSG00000198589.15	ENST00000357115.9,ENST00000651943.2
ENSG00000116560.12	ENST00000357214.6,ENST00000468598.5
ENSG00000161547.17	ENST00000359995.10,ENST00000392485.2
ENSG00000120278.17	ENST00000358517.6,ENST00000696526.1
ENSG00000196924.19	ENST00000360319.9,ENST00000369856.8
ENSG00000170776.22	ENST00000394510.6,ENST00000394518.7
ENSG00000171603.18	ENST00000377298.9
ENSG00000142156.16	ENST00000361866.8,ENST00000498614.5
ENSG00000111832.13	ENST00000466444.7,ENST00000487832.6
ENSG00000132424.17	ENST00000681615.1
ENSG00000203875.13	ENST00000623910.4,ENST00000654795.1
ENSG00000197457.10	ENST00000370053.3,ENST00000540534.5
ENSG00000117569.20	ENST00000609116.5,ENST00000706597.1
ENSG00000119522.18	ENST00000373624.6,ENST00000394215.7
ENSG00000075618.18	ENST00000382361.8,ENST00000473330.1
ENSG00000144283.23	ENST00000389759.8
ENSG00000177954.14	ENST00000493224.5,ENST00000651669.1
ENSG00000187109.15	ENST00000549596.5,ENST00000618691.5
ENSG00000091542.9	ENST00000399138.5,ENST00000490106.1
ENSG00000082898.19	ENST00000401558.7,ENST00000680228.1
ENSG00000234741.10	ENST00000450589.6
ENSG00000225783.9	ENST00000616213.4,ENST00000620145.5
ENSG00000221983.8	ENST00000430157.6,ENST00000597451.5
ENSG00000175203.17	ENST00000548249.6,ENST00000551142.2
ENSG00000133104.14	ENST00000438666.7,ENST00000451493.5
ENSG00000263001.8	ENST00000620879.4,ENST00000621040.4
ENSG00000168300.14	ENST00000522514.6,ENST00000544451.2
ENSG00000245910.9	ENST00000520944.6,ENST00000686474.2
ENSG00000288701.1	ENST00000684596.1
