groupID	featureID	exonBaseMean	dispersion	stat	pvalue	padj	RO_D100	RO_D45	RO_D209	log2fold_RO_D45_RO_D100	log2fold_RO_D209_RO_D100	log2fold_RO_D45_RO_D209
ENSG00000171735.21	ENST00000303635.12	26.8405707683612	0.0301910199487076	11.7914988824009	0.00275111377226629	0.0290600841322582	1.45703632179393	1.28249861994898	1.54853605872841	-0.605849925051013	0.313835878422674	-0.919685803473687
ENSG00000171735.21	ENST00000473578.5	30.5562032752996	0.0313593218000218	11.5849684605939	0.00305039487266005	0.0309221480236587	1.46636234357886	1.63244832731281	1.38115634644496	0.567855539006995	-0.294154434180108	0.862009973187103
ENSG00000169020.10	ENST00000304312.5	132.682100686194	0.0125893101560159	9.55423948681279	0.00842021645842936	0.0597262573163775	2.08554484744823	2.17919573668775	2.10419010367768	0.313416811347863	0.0624401154359147	0.250976695911948
ENSG00000171533.12	ENST00000304771.8	24.7001830982135	0.0300021726452112	11.533441755815	0.00313000437111877	0.0314088029978296	1.30288161321399	1.38498434027488	1.55241235693537	0.285701833241903	0.8615878481593	-0.575886014917397
ENSG00000171533.12	ENST00000434603.2	28.5694500488371	0.0320619027540621	11.2204792898471	0.00366019210616334	0.0335829304923162	1.532160807887	1.44713202675222	1.27773637686633	-0.291929981188122	-0.880370004808805	0.588440023620683
ENSG00000143742.14	ENST00000304786.12	217.570468941845	0.0177837766221022	8.76300400840654	0.0125065596014156	0.0759456300433787	2.31040324326965	2.38684773343079	2.30974392393911	0.255087635633053	-0.00220098956305126	0.257288625196105
ENSG00000168393.13	ENST00000400770.6	16.720747504372	0.0173079968493863	9.49714804493634	0.00866404112650518	0.0601696115802045	1.23507114030656	1.11408948925871	1.37385249124839	-0.430820537360973	0.485204244380527	-0.9160247817415
ENSG00000100461.18	ENST00000399922.6	27.0970516301405	0.0361907106091763	11.6240791508315	0.00299132281786002	0.0305698600166671	1.45222077625088	1.56032874327542	1.30190305728683	0.370713509765032	-0.521344474288572	0.892057984053604
ENSG00000174437.18	ENST00000313432.5	17.7489492416371	0.0257562398923739	13.5496485935147	0.00114217116549772	0.0172977006630197	1.35775232308881	1.08163817737543	1.29810734826171	-0.977289018557825	-0.20791619532435	-0.769372823233475
ENSG00000174437.18	ENST00000539276.7	14.5730088002999	0.0150742359699769	15.5575920965494	0.000418515744165714	0.00797082258206518	1.07524791357218	1.34785476871921	1.13224045669302	0.966044468710198	0.205523940855039	0.76052052785516
ENSG00000198707.17	ENST00000675230.1	17.8976311422126	0.024711770879172	12.6120567691823	0.00182526812562003	0.0220611734029267	1.12244977711396	1.29502046255446	1.36727933911379	0.611355639676471	0.863155747371922	-0.251800107695451
ENSG00000198707.17	ENST00000676363.1	22.1709684932171	0.0345073181133595	11.186418583353	0.00372306028484933	0.0339122230293885	1.48321231524153	1.30783650185849	1.23658113123712	-0.607189234348741	-0.857273317455329	0.250084083106588
