groupID	featureID	featureID.1	groupID.1	gene	transcript
ENSG00000133104	ENST00000438666	ENST00000438666.7	ENSG00000133104.14	0.00670126673946704	0
ENSG00000133104	ENST00000451493	ENST00000451493.5	ENSG00000133104.14	0.00670126673946704	0
ENSG00000134986	ENST00000257435	ENST00000257435.12	ENSG00000134986.14	0.00669346543116757	0.001354116658941
ENSG00000134986	ENST00000379671	ENST00000379671.7	ENSG00000134986.14	0.00669346543116757	1
ENSG00000134986	ENST00000447165	ENST00000447165.6	ENSG00000134986.14	0.00669346543116757	0.118366613388137
ENSG00000136527	ENST00000453386	ENST00000453386.7	ENSG00000136527.19	0.0235689809468565	0.00790111069905284
ENSG00000136527	ENST00000463328	ENST00000463328.5	ENSG00000136527.19	0.0235689809468565	0.119596551559978
ENSG00000136527	ENST00000480461	ENST00000480461.1	ENSG00000136527.19	0.0235689809468565	0.192665529568546
ENSG00000137285	ENST00000259818	ENST00000259818.8	ENSG00000137285.11	8.26182736403114e-05	0
ENSG00000137285	ENST00000681707	ENST00000681707.1	ENSG00000137285.11	8.26182736403114e-05	0
ENSG00000137497	ENST00000540626	ENST00000540626.5	ENSG00000137497.19	0.00061736557295535	0
ENSG00000137497	ENST00000620566	ENST00000620566.4	ENSG00000137497.19	0.00061736557295535	0
ENSG00000142156	ENST00000361866	ENST00000361866.8	ENSG00000142156.16	1.50219100297037e-05	0
ENSG00000142156	ENST00000498614	ENST00000498614.5	ENSG00000142156.16	1.50219100297037e-05	0
ENSG00000153187	ENST00000366527	ENST00000366527.4	ENSG00000153187.21	3.62843088907994e-12	4.54830986802172e-14
ENSG00000153187	ENST00000444376	ENST00000444376.7	ENSG00000153187.21	3.62843088907994e-12	4.5756584546425e-09
ENSG00000153187	ENST00000640218	ENST00000640218.2	ENSG00000153187.21	3.62843088907994e-12	1
ENSG00000153944	ENST00000284073	ENST00000284073.7	ENSG00000153944.12	0.0300054177069301	0
ENSG00000153944	ENST00000674522	ENST00000674522.1	ENSG00000153944.12	0.0300054177069301	0
ENSG00000161547	ENST00000359995	ENST00000359995.10	ENSG00000161547.17	0.00922003831461552	0
ENSG00000161547	ENST00000392485	ENST00000392485.2	ENSG00000161547.17	0.00922003831461552	0
ENSG00000161642	ENST00000338010	ENST00000338010.9	ENSG00000161642.18	0.032103928419542	0
ENSG00000161642	ENST00000551109	ENST00000551109.5	ENSG00000161642.18	0.032103928419542	0
ENSG00000163349	ENST00000361587	ENST00000361587.3	ENSG00000163349.22	0.0316978735864882	0
ENSG00000163349	ENST00000369558	ENST00000369558.5	ENSG00000163349.22	0.0316978735864882	0
ENSG00000163539	ENST00000464961	ENST00000464961.1	ENSG00000163539.18	0.0127577005518981	0
ENSG00000163539	ENST00000682230	ENST00000682230.1	ENSG00000163539.18	0.0127577005518981	0
ENSG00000163682	ENST00000295955	ENST00000295955.14	ENSG00000163682.17	4.41924274952044e-11	0
ENSG00000163682	ENST00000645496	ENST00000645496.2	ENSG00000163682.17	4.41924274952044e-11	0
ENSG00000168300	ENST00000522514	ENST00000522514.6	ENSG00000168300.14	0.041551281563997	0
ENSG00000168300	ENST00000544451	ENST00000544451.2	ENSG00000168300.14	0.041551281563997	0
ENSG00000169045	ENST00000329433	ENST00000329433.11	ENSG00000169045.19	0.0395941366755225	0.314251996537567
ENSG00000169045	ENST00000393432	ENST00000393432.9	ENSG00000169045.19	0.0395941366755225	1
