gene_id	DG-WT-hRGC	EP1-BRN3B-RO	EP1-WT_ROs_D45	H9-BRN3B-RO	H9-CRX_ROs_D45	H9-hRGC_1	H9-hRGC_2	hRGC
ENSG00000105835	310	63	62	49	37	38	216	233
ENSG00000105953	102	46	116	24	92	9	93	121
ENSG00000106009	107	130	166	66	155	14	90	142
ENSG00000106012	23	38	31	21	25	1	9	27
ENSG00000106052	213	247	86	143	64	23	133	222
ENSG00000106069	37	277	5	316	7	0	5	7
ENSG00000106070	131	232	344	118	277	8	54	149
ENSG00000106089	207	12	49	9	37	23	244	386
ENSG00000106105	164	44	30	45	20	18	99	110
ENSG00000106125	13	33	82	12	61	3	22	39
ENSG00000106211	11	8	40	9	106	1	14	22
ENSG00000106245	348	344	493	200	424	46	398	583
ENSG00000106305	133	145	224	118	194	17	113	166
ENSG00000106462	141	96	160	32	100	25	98	198
ENSG00000106477	26	27	57	12	39	1	5	30
ENSG00000106617	51	22	15	12	19	8	45	79
ENSG00000106633	48	54	12	9	14	8	62	147
ENSG00000106683	174	72	148	62	149	17	124	321
ENSG00000107105	322	22	202	21	99	35	295	554
ENSG00000107164	270	215	226	148	186	19	140	293
ENSG00000107262	340	478	289	361	261	31	158	355
ENSG00000107282	229	57	55	46	103	6	41	151
ENSG00000107554	29	62	67	62	68	6	37	82
ENSG00000107643	253	72	158	44	144	33	261	362
ENSG00000107736	78	120	51	81	39	2	22	35
ENSG00000107864	41	14	13	10	5	5	15	57
ENSG00000107902	30	45	57	38	88	1	29	38
ENSG00000108061	68	34	25	18	27	10	66	62
ENSG00000108094	98	55	54	31	37	10	80	120
ENSG00000108370	14	200	15	200	27	7	32	81
ENSG00000108433	83	82	101	64	65	25	99	169
ENSG00000108641	26	110	155	92	137	3	38	66
ENSG00000108654	300	141	181	97	105	16	179	360
ENSG00000108671	190	138	193	120	130	15	132	175
ENSG00000108852	26	21	39	12	43	5	28	52
ENSG00000108946	122	66	69	42	63	14	78	114
ENSG00000109180	385	223	391	224	304	38	267	522
ENSG00000109184	111	78	130	43	76	11	81	121
ENSG00000109332	617	547	982	451	754	76	472	949
ENSG00000109381	251	152	183	95	128	48	203	402
ENSG00000109475	163	209	383	126	302	24	129	221
ENSG00000109534	41	87	102	58	110	2	26	46
ENSG00000109572	192	137	112	191	99	20	177	292
ENSG00000109756	148	81	90	49	47	12	55	81
ENSG00000109775	63	106	121	63	64	9	85	108
ENSG00000109911	244	136	174	60	104	62	202	348
ENSG00000109944	9	13	20	13	8	1	16	38
ENSG00000109971	2215	1279	2319	1336	1828	142	1458	1892
ENSG00000110172	227	145	162	95	102	59	213	280
ENSG00000110436	116	140	7	103	7	7	46	66
ENSG00000110536	53	206	119	104	120	13	63	139
ENSG00000110811	47	123	63	57	51	2	15	58
ENSG00000111058	24	54	36	58	41	7	8	26
ENSG00000111224	64	57	66	29	37	17	84	126
ENSG00000111328	387	979	1163	416	893	24	129	357
ENSG00000111445	24	66	326	32	221	0	33	66
ENSG00000111490	82	30	23	15	6	3	53	117
ENSG00000111652	37	72	74	70	72	5	35	58
ENSG00000111666	68	101	79	84	79	3	37	70
ENSG00000111678	627	426	1109	307	912	74	564	849
ENSG00000111790	24	67	110	49	88	5	21	38
ENSG00000111860	263	63	47	36	27	40	279	564
ENSG00000112029	17	92	269	24	202	3	40	48
ENSG00000112033	8	30	26	20	26	0	15	24
ENSG00000112242	29	47	74	24	106	3	14	58
ENSG00000112282	150	70	63	44	53	18	102	173
ENSG00000112514	206	119	261	116	239	21	172	271
ENSG00000112695	16	32	36	37	32	5	14	23
ENSG00000112701	248	130	119	94	99	29	140	179
ENSG00000112877	27	44	62	41	68	6	30	54
ENSG00000113108	123	45	71	50	58	21	164	240
ENSG00000113231	14	24	2	29	5	3	5	16
ENSG00000113240	109	179	148	99	75	10	119	151
ENSG00000113269	498	331	548	170	512	68	431	907
ENSG00000113282	63	57	48	46	45	8	46	130
ENSG00000113312	74	88	53	55	43	24	88	140
ENSG00000113448	274	137	106	90	50	22	81	230
ENSG00000113575	425	239	339	191	257	16	210	448
ENSG00000113643	206	194	317	123	230	20	156	220
ENSG00000113648	560	475	781	321	548	86	543	1059
ENSG00000113657	1472	507	175	525	153	83	553	1624
ENSG00000113810	33	82	465	26	296	1	23	71
ENSG00000114098	161	90	64	56	75	18	89	202
ENSG00000114115	113	63	90	34	60	14	73	164
ENSG00000114127	47	49	49	22	23	15	60	89
ENSG00000114209	97	118	138	105	82	26	102	193
ENSG00000114331	227	168	136	141	109	34	233	355
ENSG00000114503	115	86	86	55	66	12	78	150
ENSG00000114541	130	165	320	159	260	49	135	395
ENSG00000114861	91	164	182	57	114	30	50	115
ENSG00000114867	92	83	79	38	73	13	42	71
ENSG00000114956	194	249	331	163	221	43	278	348
ENSG00000115159	22	37	48	23	34	5	31	54
ENSG00000115216	54	86	45	80	62	22	72	123
ENSG00000115255	28	249	32	333	27	5	51	62
ENSG00000115310	1595	868	383	783	266	100	556	1196
ENSG00000115380	0	97	23	26	16	2	1	14
ENSG00000115415	59	26	21	36	13	5	50	50
ENSG00000115504	150	103	65	70	52	20	78	183
ENSG00000115524	1028	622	1138	417	747	101	737	1273
ENSG00000115760	91	79	48	47	47	15	62	151
ENSG00000115977	221	127	36	111	40	31	101	243
ENSG00000116044	83	133	43	70	42	31	82	116
ENSG00000116141	331	144	114	117	72	63	188	476
ENSG00000116151	21	73	60	40	27	10	17	26
ENSG00000116237	122	99	156	80	115	30	40	94
ENSG00000116288	634	898	1338	516	993	144	677	1056
ENSG00000116478	81	307	388	166	297	20	109	237
ENSG00000116560	166	70	60	34	38	23	96	155
ENSG00000116670	47	33	72	22	81	22	54	110
ENSG00000116793	216	153	270	99	176	30	123	278
ENSG00000117500	91	81	60	31	41	18	91	188
ENSG00000117593	45	30	76	23	53	5	30	50
ENSG00000117620	40	58	52	32	47	5	34	53
ENSG00000117632	1093	228	765	142	548	131	676	1957
ENSG00000117643	41	107	39	73	49	7	50	59
ENSG00000117859	157	126	150	87	109	21	117	215
ENSG00000118096	56	69	106	52	70	11	40	130
ENSG00000118263	663	136	108	53	93	120	333	891
ENSG00000118298	12	72	179	60	140	1	21	61
ENSG00000118473	224	221	78	156	52	62	235	343
ENSG00000118515	58	41	38	30	30	8	50	151
ENSG00000118705	625	835	969	483	817	75	372	749
ENSG00000118733	270	72	228	39	76	4	26	77
ENSG00000119147	3	3	11	0	8	0	2	3
ENSG00000119699	7	39	42	10	11	1	5	13
ENSG00000119720	101	77	94	60	82	28	82	152
ENSG00000119725	99	103	113	51	91	8	90	133
ENSG00000119772	129	154	109	94	114	15	74	156
ENSG00000119969	74	112	419	32	269	16	73	109
ENSG00000120008	129	104	146	77	94	15	132	175
ENSG00000120071	589	200	168	152	119	65	288	506
ENSG00000120278	90	146	360	57	268	24	185	339
ENSG00000120334	18	25	52	14	44	9	29	29
ENSG00000120458	52	59	50	26	50	13	48	86
ENSG00000120756	10	24	12	39	29	3	4	22
ENSG00000120948	745	495	817	270	576	171	561	847
ENSG00000121390	241	166	251	143	178	28	141	206
ENSG00000121542	13	7	25	22	20	3	15	22
ENSG00000121775	56	24	51	23	30	10	51	66
ENSG00000121931	173	69	120	125	75	11	149	175
ENSG00000122033	70	119	167	85	115	18	133	184
ENSG00000122218	138	142	88	67	69	40	123	252
ENSG00000122512	17	21	20	14	5	5	25	32
ENSG00000122566	206	90	94	56	89	14	153	180
ENSG00000122674	269	130	158	141	148	26	219	376
ENSG00000122705	195	243	110	284	107	20	116	237
ENSG00000122786	88	178	93	80	108	22	71	196
ENSG00000122958	36	46	17	23	13	7	21	43
ENSG00000123136	252	196	455	105	378	23	143	229
ENSG00000123411	31	18	42	19	24	1	40	41
ENSG00000123415	21	16	25	14	21	5	22	38
ENSG00000123607	150	97	102	50	64	25	120	227
ENSG00000124140	63	88	33	67	37	6	44	87
ENSG00000124177	358	273	296	195	271	76	339	507
ENSG00000124214	251	67	100	53	90	20	191	282
ENSG00000124406	172	35	23	26	24	15	62	150
ENSG00000124570	92	355	319	197	402	25	112	145
ENSG00000124588	85	104	162	68	93	5	84	121
ENSG00000124831	219	106	86	71	82	29	89	221
ENSG00000125246	3	52	36	34	38	5	18	37
ENSG00000125347	26	59	7	25	13	10	32	38
ENSG00000125351	109	129	160	64	122	14	105	191
ENSG00000125354	312	100	160	87	116	45	352	482
ENSG00000125375	25	45	51	27	40	0	12	32
ENSG00000125450	90	91	149	44	136	10	59	120
ENSG00000125746	14	11	14	10	2	5	16	32
ENSG00000125877	188	200	181	67	116	15	99	157
ENSG00000125898	1	5	16	1	13	0	25	26
ENSG00000125952	78	58	36	45	47	7	66	105
ENSG00000125971	405	217	414	202	339	50	406	664
ENSG00000125991	350	202	194	174	154	58	449	590
ENSG00000126001	65	60	63	41	60	15	75	109
ENSG00000126226	81	98	151	52	89	11	67	135
ENSG00000126522	46	26	44	31	45	1	16	60
ENSG00000126790	14	57	35	37	29	3	15	41
ENSG00000127124	102	56	22	48	47	3	40	87
ENSG00000127249	15	3	9	9	5	2	24	28
ENSG00000127419	154	66	49	57	45	21	97	195
ENSG00000127616	163	80	108	35	79	39	123	225
ENSG00000127774	163	358	398	306	336	16	210	309
ENSG00000127804	60	96	118	66	61	5	66	129
ENSG00000127914	284	268	80	262	41	42	203	323
ENSG00000127955	118	26	40	19	37	11	64	109
ENSG00000128272	103	59	39	30	36	6	71	155
ENSG00000128513	31	61	57	35	28	10	46	84
ENSG00000128536	23	24	16	17	26	6	21	47
ENSG00000128585	306	219	200	161	148	44	217	460
ENSG00000128699	169	325	333	263	253	24	136	273
ENSG00000128951	256	492	1022	275	870	41	351	682
ENSG00000128965	86	42	12	44	13	10	70	90
ENSG00000129197	137	156	236	99	146	25	89	225
ENSG00000129235	177	142	334	120	260	18	133	219
ENSG00000129422	46	36	14	29	13	12	25	46
ENSG00000129474	8	76	129	44	95	0	4	8
ENSG00000129521	6	94	39	83	44	6	39	66
ENSG00000129682	288	84	107	32	174	30	143	388
ENSG00000129691	146	131	177	79	158	14	85	141
ENSG00000130164	196	18	44	6	27	15	73	203
ENSG00000130202	387	437	470	243	476	60	418	764
ENSG00000130204	78	87	100	34	73	1	47	76
ENSG00000130396	346	169	188	108	129	110	392	623
ENSG00000130402	81	166	80	78	97	3	49	122
ENSG00000130511	141	173	197	75	167	12	95	246
ENSG00000130787	341	110	46	42	34	17	94	253
ENSG00000130844	27	39	43	29	39	4	37	53
ENSG00000130876	1	5	19	2	17	0	1	3
ENSG00000131018	81	124	34	56	22	5	29	79
ENSG00000131051	769	615	512	266	314	97	701	798
ENSG00000131149	270	437	120	167	141	21	156	461
ENSG00000131165	24	23	15	12	15	4	32	41
ENSG00000131446	36	105	84	44	104	1	20	32
ENSG00000131748	85	111	137	48	123	13	73	194
ENSG00000131788	88	141	135	92	98	20	81	142
ENSG00000132463	365	202	265	140	205	30	222	392
ENSG00000132466	235	174	151	133	129	25	132	329
ENSG00000132507	238	266	248	154	284	30	217	283
ENSG00000132535	51	180	51	134	43	10	79	123
ENSG00000132773	10	36	45	16	37	4	4	10
ENSG00000132906	30	47	49	20	32	21	39	95
ENSG00000132938	52	27	16	26	20	15	54	74
ENSG00000132963	47	72	49	52	37	10	43	57
ENSG00000133069	246	149	68	142	120	9	88	258
ENSG00000133083	674	637	233	272	160	52	202	477
ENSG00000133112	612	434	1246	371	1058	50	481	815
ENSG00000133134	744	527	395	447	480	118	829	1398
ENSG00000133138	65	54	23	41	29	9	30	51
ENSG00000133401	63	109	15	100	21	1	28	110
ENSG00000133466	6	32	25	11	25	0	8	5
ENSG00000133606	501	240	353	213	221	50	450	899
ENSG00000133612	377	109	148	68	153	25	222	479
ENSG00000133657	219	122	55	54	39	41	211	246
ENSG00000133773	59	91	118	81	90	15	87	105
ENSG00000133789	31	42	54	39	48	6	39	66
ENSG00000133872	116	81	45	66	34	11	96	149
ENSG00000134013	36	72	69	34	113	1	38	25
ENSG00000134030	405	78	62	48	62	73	313	463
ENSG00000134245	7	21	31	10	26	1	5	10
ENSG00000134255	52	45	52	33	35	4	34	97
ENSG00000134285	54	47	20	16	11	20	32	43
ENSG00000134324	100	51	24	22	20	26	65	110
ENSG00000134369	288	38	81	27	73	39	179	386
ENSG00000134490	30	21	18	14	27	5	32	69
ENSG00000134508	35	85	59	75	80	10	47	56
ENSG00000134569	0	87	22	94	27	0	9	8
ENSG00000134853	14	39	136	22	281	2	4	15
ENSG00000135164	102	89	128	63	72	22	66	138
ENSG00000135250	249	156	215	107	191	44	246	438
ENSG00000135316	183	108	82	64	61	38	111	195
ENSG00000135333	52	59	74	41	31	5	15	76
ENSG00000135439	143	21	11	13	12	8	74	154
ENSG00000135486	409	236	398	107	297	46	482	749
ENSG00000135525	27	146	47	139	53	2	10	39
ENSG00000135677	122	142	107	116	133	8	75	138
ENSG00000135749	434	85	101	54	46	50	181	402
ENSG00000135924	363	282	188	274	168	45	352	525
ENSG00000135953	66	30	24	22	8	6	78	101
ENSG00000135976	277	179	204	90	108	51	187	401
ENSG00000136010	4	9	12	4	2	1	8	11
ENSG00000136237	33	19	18	17	8	5	31	48
ENSG00000136243	126	82	85	58	46	1	50	90
ENSG00000136261	119	36	36	22	27	12	51	133
ENSG00000136450	256	114	199	68	151	24	163	292
ENSG00000136463	54	76	78	58	54	4	41	87
ENSG00000136527	312	219	444	152	312	34	193	330
ENSG00000136682	110	133	145	111	110	20	120	213
ENSG00000136709	429	389	460	293	303	65	373	708
ENSG00000136717	380	60	97	71	95	20	220	438
ENSG00000136731	276	133	158	92	124	40	192	295
ENSG00000136877	50	75	62	39	57	6	48	82
ENSG00000136891	141	145	243	66	213	21	119	197
ENSG00000137094	84	52	53	37	44	13	121	235
ENSG00000137210	241	645	647	724	508	30	240	360
ENSG00000137343	144	80	109	44	58	27	211	303
ENSG00000137500	221	128	224	80	128	55	351	486
ENSG00000137502	46	50	11	20	6	19	57	97
ENSG00000137575	45	24	36	16	20	6	25	46
ENSG00000137817	341	162	109	130	94	29	223	463
ENSG00000137872	265	79	67	57	54	26	96	261
ENSG00000137936	33	27	47	19	67	8	32	54
ENSG00000137941	96	52	44	44	33	7	53	114
ENSG00000137942	523	94	185	51	130	71	295	630
ENSG00000138029	70	113	147	111	148	8	74	154
ENSG00000138079	70	56	11	36	6	6	22	38
ENSG00000138162	136	18	77	19	55	22	111	200
ENSG00000138382	104	99	204	83	160	20	89	192
ENSG00000138399	64	68	96	63	64	8	59	100
ENSG00000138434	80	148	105	92	90	10	48	109
ENSG00000138443	294	248	217	108	228	50	236	417
ENSG00000138448	90	76	81	50	68	17	63	106
ENSG00000138663	130	127	205	73	165	12	122	171
ENSG00000138668	608	477	750	288	575	50	365	672
ENSG00000138686	109	108	123	91	78	10	102	175
ENSG00000138688	151	132	73	174	72	36	93	166
ENSG00000138757	87	59	47	43	55	15	67	115
ENSG00000138777	147	170	217	155	193	21	120	207
ENSG00000138834	61	59	36	28	49	7	31	64
ENSG00000139116	293	160	124	127	108	33	176	352
ENSG00000139219	13	512	715	117	595	0	29	38
