isoform_id	H9-FT_1	H9-FT_2	H9-hRGC_1	H9-hRGC_2
ENST00000378567	43.71844824764238	42.182200003557035	11.030386964988903	11.03918440805157
ENST00000484419	2.0208501999667634	0.7710107237338015	0	0.001224346713290414
ENST00000400921	0.09441945227838544	0.9391768867651737	25.3496809416522	25.03636600729297
ENST00000461106	1.337275112450722	1.5245700237706523	0.0014363188233128543	0
ENST00000478770	0	0	1.0844796433603476	1.0852316706502148
ENST00000505322	3.813621942660623	1.3422950012869093	0.5196981117373305	0.5427619417149285
ENST00000493793	2.8223155839800542	1.8720418329216386	60.56171715757674	60.930776768698976
ENST00000706287	0	1.5066619052507044	0.017397113213109883	0
ENST00000706288	0.9561125423754602	2.888107155160534	0.9698736410992215	0.9417785200215385
ENST00000706292	2.4451704429670476	2.1710338323172422	3.924430673727719	3.9329763022312374
ENST00000486505	0	1.5066619052507044	0.017397113213109883	0
ENST00000478657	0.45764529725343595	0.5280564447121705	0.3741045656530113	0.3727497328574443
ENST00000371727	7.221420813968667	15.107780463325721	16.443249910595192	16.199647119828047
ENST00000464478	0.45764529725343595	0.5280564447121705	0.3741045656530113	0.3727497328574443
ENST00000471391	1.625852245509146	1.8499658152172636	0.37499335551071256	0.37264050059260745
ENST00000261017	65.32756351579627	76.71765324644652	19.157747610520413	19.091057246575833
ENST00000261018	0.09580738717479065	0	21.591793879204875	21.846243869065457
ENST00000295851	50.60530169405428	35.91200878072242	52.959182656039786	53.3386029703816
ENST00000494215	5.575641103207064	1.1405603765617376	3.1263561015133554	3.2243407520206597
ENST00000464961	21.060544802357033	25.7626225292008	27.681318818269876	27.56567067572904
ENST00000650653	0.2890348040259463	0	4.234823906891747	4.292794116218946
ENST00000635664	0.305972298907359	0.3608034277627732	46.97022336718504	46.92898594723512
ENST00000494261	9.503015984528082	11.027989403357378	11.681185572522436	11.645285513162943
ENST00000493577	2.776289073251169	3.1674405309303078	6.916554700754314	6.900255541634085
ENST00000491045	0.658233432220513	0	3.7865815800217524	3.8381854516383527
ENST00000313350	0.06496806307923753	0.068663628659561	3.065948814091601	3.0656542955445394
ENST00000487200	0.32392915876579087	0.34453299831379347	2.4030709286807617	2.401972172831463
ENST00000486796	3.7054300937788227	3.501371846141182	8.786170568170109	8.795247418408758
ENST00000462878	3.356402579441398	2.296994669149805	0	6.386780917759793e-4
