gene_id	gene_name	H9-FT_1	H9-FT_2	H9-hRGC_1	H9-hRGC_2
ENSG00000007372	PAX6	157.66467229557023	188.22769745003717	370.61369088396236	368.5299643300192
ENSG00000018189	RUFY3	349.87079764065567	275.15095322666457	412.97396725083206	411.3553626207405
ENSG00000067606	PRKCZ	50.984614954998875	46.75925263911357	37.98568198056209	37.704768374422976
ENSG00000070087	PFN2	123.8595704314692	168.7009773461916	532.664054357868	524.2387268854296
ENSG00000085832	EPS15	15.986162223307245	27.958365798868147	83.05726809624181	83.12331867708728
ENSG00000104529	EEF1D	55.20491884981063	54.17758030576152	77.76431397734552	77.85921298129617
ENSG00000105379	ETFB	143.86606676358574	133.03491990800632	287.36212561156776	287.24294255825777
ENSG00000112972	HMGCS1	91.16001543265155	82.71983886368	73.05251046662062	73.28146542616177
ENSG00000113657	DPYSL3	25.97227280298215	44.94171152934275	228.29508588481224	225.5269398883348
ENSG00000125354	SEPTIN6	24.932759751423788	42.34333710365034	141.63819751142574	140.6831952396318
ENSG00000125991	ERGIC3	43.25979501813948	35.03106850763554	182.7278173309898	180.913989931797
ENSG00000138443	ABI2	121.60431370023241	113.77022240373067	96.83508024727843	97.50024483804356
ENSG00000139970	RTN1	42.78981776319626	40.73166399192545	353.31567726221544	351.7074466352505
ENSG00000149591	TAGLN	120.17609928866875	94.89229939510072	2.1435360497875147	2.14114754481595
ENSG00000151150	ANK3	45.24880649259696	30.72947943575218	89.24442747941902	90.88338413229783
ENSG00000155849	ELMO1	6.9228705102970185	14.857011008124319	14.601675233886299	14.517551837005932
ENSG00000163539	CLASP2	42.043820290355356	46.53041903351561	115.52587825658763	115.43468981049502
ENSG00000167244	IGF2	456.28754454780807	422.055093424054	24.456779705808845	24.43014450595106
ENSG00000167553	TUBA1C	26.653665209327656	25.500324631020472	25.220082248683454	25.420199385232394
ENSG00000182287	AP1S2	53.576279485736954	70.97005636735757	79.13778863890873	79.58390952704688
ENSG00000198363	ASPH	112.97854321900591	107.66968502203089	60.53944759632273	60.52144599426364
