isoform_id	H9-FT_1	H9-FT_2	H9-hRGC_1	H9-hRGC_2
ENST00000378567	85.000000976226	73.00000102496001	3.0000001897660007	28.000000191416007
ENST00000484419	2.9999993768099964	0.999999841063999	0	0
ENST00000400921	0	0.999999841063999	17.000000303679	56.99999864247402
ENST00000461106	1.9999995845399978	1.999999682127998	0	0
ENST00000478770	0	0	0	2.999999671070002
ENST00000505322	4.000000721853004	0.999999841063999	0.9999999089229995	1.000000705713998
ENST00000493793	5.000000514123003	2.9999995231919967	24.000000129136996	147.99999926457605
ENST00000706287	0	1.999999682127998	0	0
ENST00000706288	0.9999997922699989	2.9999995231919967	0.9999999089229995	1.999998965356004
ENST00000706292	5.000000514123003	3.999999364255996	0.9999999089229995	9.999999718924004
ENST00000486505	0	1.999999682127998	0	0
ENST00000478657	0.9999997922699989	0.999999841063999	0	1.000000705713998
ENST00000371727	12.000000612786003	22.000000712504008	6.999999825457999	39.00000061605401
ENST00000464478	0.9999997922699989	0.999999841063999	0	1.000000705713998
ENST00000471391	2.9999993768099964	2.9999995231919967	0	1.000000705713998
ENST00000261017	86.000000768496	88.00000004395201	14.000000113913	43.00000099283802
ENST00000261018	0.9999997922699989	0	4.000000098689	57.99999934818802
ENST00000295851	74.00000015571	45.999999704104	30.000000045672	123.99999944994404
ENST00000494215	9.999999475472997	1.999999682127998	0.9999999089229995	8.0000007535680009
ENST00000464961	29.000000186922	31.000000685112013	18.000000212602	63.00000043068602
ENST00000650653	0.9999997922699989	0	0.9999999089229995	11.000000424638001
ENST00000635664	0.9999997922699989	0.999999841063999	14.000000113913	118.00000010780404
ENST00000494261	8.999999683202999	8.999999972608	17.000000303679	23.999999814632005
ENST00000493577	4.000000721853004	3.999999364255996	4.000000098689	15.999999061064008
ENST00000491045	0.9999997922699989	0	1.999999817845999	8.999999013210006
ENST00000313350	0	0	1.999999817845999	7.000000047854002
ENST00000487200	0	0	3.0000001897660007	5.000001082497998
ENST00000486796	6.000000306393002	5.000000608352005	4.000000098689	21.00000014356201
ENST00000462878	5.000000514123003	2.9999995231919967	0	0
ENST00000239940	49.000000690641	101.00000078384802	108.000000812615	1291.9999969515604
ENST00000452853	168.000000815139	176.00000149093603	5.999999916534999	39.00000061605401
ENST00000489155	11.000000820516005	6.000000449416004	3.0000001897660007	39.00000061605401
ENST00000417478	88.000000353036	62.99999980825601	25.000000038059998	127.99999982672804
ENST00000381006	416.000002092381	263.00000169382406	56.000000455652	251.9999992766721
ENST00000226328	34.000000701045	50.00000047139201	91.00000050893598	614.9999986132942
