"isoform_id","gene_id","gene_symbol"
"ENST00000557583","ENSG00000131966","ACTR10"
"ENST00000466065","ENSG00000032219","ARID4A"
"ENST00000557754","ENSG00000196860","TOMM20L"
"ENST00000423743","ENSG00000100578","KIAA0586"
"ENST00000557590","ENSG00000100578","KIAA0586"
"ENST00000676447","ENSG00000100578","KIAA0586"
"ENST00000651852","ENSG00000100578","KIAA0586"
"ENST00000651596","ENSG00000100578","KIAA0586"
"ENST00000556235","ENSG00000100578","KIAA0586"
"ENST00000557327","ENSG00000100592","DAAM1"
"ENST00000554459","ENSG00000100592","DAAM1"
"ENST00000553307","ENSG00000100592","DAAM1"
"ENST00000602482","ENSG00000050130","JKAMP"
"ENST00000254271","ENSG00000131951","LRRC9"
"ENST00000555569","ENSG00000126773","PCNX4"
"ENST00000557185","ENSG00000100612","DHRS7"
"ENST00000528241","ENSG00000100614","PPM1A"
"ENST00000557138","ENSG00000179008","C14orf39"
"ENST00000556799","ENSG00000179008","C14orf39"
"ENST00000554986","ENSG00000126778","SIX1"
"ENST00000555955","ENSG00000126778","SIX1"
"ENST00000554835","ENSG00000027075","PRKCH"
"ENST00000556347","ENSG00000258989","ENSG00000258989"
"ENST00000553426","ENSG00000289503","ENSG00000289503"
"ENST00000556484","ENSG00000154001","PPP2R5E"
"ENST00000344113","ENSG00000054654","SYNE2"
"ENST00000555002","ENSG00000054654","SYNE2"
"ENST00000555323","ENSG00000054654","SYNE2"
"ENST00000673797","ENSG00000054654","SYNE2"
"ENST00000553455","ENSG00000054654","SYNE2"
"ENST00000556342","ENSG00000054654","SYNE2"
"ENST00000553801","ENSG00000054654","SYNE2"
"ENST00000556275","ENSG00000140009","ESR2"
"ENST00000651537","ENSG00000100714","MTHFD1"
"ENST00000556818","ENSG00000126804","ZBTB1"
"ENST00000552002","ENSG00000258289","CHURC1"
"ENST00000553522","ENSG00000176153","GPX2"
"ENST00000646754","ENSG00000139998","RAB15"
"ENST00000555932","ENSG00000125952","MAX"
"ENST00000556443","ENSG00000125952","MAX"
"ENST00000553924","ENSG00000033170","FUT8"
"ENST00000554667","ENSG00000033170","FUT8"
"ENST00000554765","ENSG00000033170","FUT8"
"ENST00000641761","ENSG00000196553","CCDC196"
"ENST00000641812","ENSG00000196553","CCDC196"
"ENST00000555668","ENSG00000171723","GPHN"
"ENST00000612183","ENSG00000172717","GARIN2"
"ENST00000524914","ENSG00000172717","GARIN2"
"ENST00000557671","ENSG00000172717","GARIN2"
"ENST00000556046","ENSG00000172717","GARIN2"
"ENST00000677835","ENSG00000072415","PALS1"
"ENST00000555723","ENSG00000100554","ATP6V1D"
"ENST00000557244","ENSG00000100554","ATP6V1D"
"ENST00000554480","ENSG00000198133","TMEM229B"
"ENST00000555994","ENSG00000198133","TMEM229B"
"ENST00000556461","ENSG00000100568","VTI1B"
"ENST00000553306","ENSG00000258466","ENSG00000258466"
"ENST00000554493","ENSG00000258466","ENSG00000258466"
"ENST00000551171","ENSG00000139988","RDH12"
"ENST00000676620","ENSG00000072121","ZFYVE26"
"ENST00000469165","ENSG00000182185","RAD51B"
"ENST00000555782","ENSG00000182185","RAD51B"
"ENST00000682522","ENSG00000072110","ACTN1"
"ENST00000684639","ENSG00000072110","ACTN1"
"ENST00000684638","ENSG00000072110","ACTN1"
"ENST00000683198","ENSG00000072110","ACTN1"
"ENST00000553882","ENSG00000072110","ACTN1"
"ENST00000684598","ENSG00000072110","ACTN1"
"ENST00000683069","ENSG00000072110","ACTN1"
"ENST00000682298","ENSG00000072110","ACTN1"
"ENST00000684340","ENSG00000072110","ACTN1"
"ENST00000682291","ENSG00000072110","ACTN1"
"ENST00000553779","ENSG00000072110","ACTN1"
"ENST00000553659","ENSG00000072110","ACTN1"
"ENST00000556677","ENSG00000100626","GALNT16"
"ENST00000557697","ENSG00000100632","ERH"
"ENST00000553497","ENSG00000100647","SUSD6"
"ENST00000557483","ENSG00000198732","SMOC1"
"ENST00000381269","ENSG00000100678","SLC8A3"
"ENST00000528359","ENSG00000100678","SLC8A3"
"ENST00000555601","ENSG00000133983","COX16"
"ENST00000652041","ENSG00000134007","ADAM20"
"ENST00000555993","ENSG00000006432","MAP3K9"
"ENST00000556846","ENSG00000100731","PCNX1"
"ENST00000554707","ENSG00000100731","PCNX1"
"ENST00000556780","ENSG00000197555","SIPA1L1"
"ENST00000557469","ENSG00000197555","SIPA1L1"
"ENST00000554474","ENSG00000182732","RGS6"
"ENST00000355512","ENSG00000182732","RGS6"
"ENST00000404301","ENSG00000182732","RGS6"
"ENST00000406236","ENSG00000182732","RGS6"
"ENST00000407322","ENSG00000182732","RGS6"
"ENST00000622468","ENSG00000182732","RGS6"
"ENST00000553690","ENSG00000182732","RGS6"
"ENST00000555368","ENSG00000182732","RGS6"
"ENST00000554594","ENSG00000205683","DPF3"
"ENST00000555781","ENSG00000205683","DPF3"
"ENST00000553608","ENSG00000205683","DPF3"
"ENST00000556902","ENSG00000205683","DPF3"
"ENST00000394234","ENSG00000119599","DCAF4"
"ENST00000555072","ENSG00000165861","ZFYVE1"
"ENST00000700265","ENSG00000080815","PSEN1"
"ENST00000700267","ENSG00000080815","PSEN1"
"ENST00000560005","ENSG00000080815","PSEN1"
"ENST00000700271","ENSG00000080815","PSEN1"
