"gene_id","gene_symbol","n_LRonly_isoforms"
"ENSG00000068912","ERLEC1",7
"ENSG00000070882","OSBPL3",7
"ENSG00000071242","RPS6KA2",7
"ENSG00000075043","KCNQ2",7
"ENSG00000087470","DNM1L",7
"ENSG00000104133","SPG11",7
"ENSG00000106628","POLD2",7
"ENSG00000107104","KANK1",7
"ENSG00000107897","ACBD5",7
"ENSG00000110888","CAPRIN2",7
"ENSG00000112367","FIG4",7
"ENSG00000114867","EIF4G1",7
"ENSG00000115904","SOS1",7
"ENSG00000115970","THADA",7
"ENSG00000116641","DOCK7",7
"ENSG00000119139","TJP2",7
"ENSG00000122966","CIT",7
"ENSG00000123066","MED13L",7
"ENSG00000124486","USP9X",7
"ENSG00000127914","AKAP9",7
"ENSG00000129422","MTUS1",7
"ENSG00000131558","EXOC4",7
"ENSG00000135486","HNRNPA1",7
"ENSG00000139220","PPFIA2",7
"ENSG00000141526","SLC16A3",7
"ENSG00000143190","POU2F1",7
"ENSG00000145901","TNIP1",7
"ENSG00000146872","TLK2",7
"ENSG00000147724","FAM135B",7
"ENSG00000150093","ITGB1",7
"ENSG00000150471","ADGRL3",7
"ENSG00000151612","ZNF827",7
"ENSG00000152223","EPG5",7
"ENSG00000154556","SORBS2",7
"ENSG00000156650","KAT6B",7
"ENSG00000158321","AUTS2",7
"ENSG00000162434","JAK1",7
"ENSG00000163072","NOSTRIN",7
"ENSG00000167460","TPM4",7
"ENSG00000167522","ANKRD11",7
"ENSG00000168259","DNAJC7",7
"ENSG00000168675","LDLRAD4",7
"ENSG00000169180","XPO6",7
"ENSG00000171503","ETFDH",7
"ENSG00000171680","PLEKHG5",7
"ENSG00000173757","STAT5B",7
"ENSG00000176406","RIMS2",7
"ENSG00000177189","RPS6KA3",7
"ENSG00000177565","TBL1XR1",7
"ENSG00000178209","PLEC",7
"ENSG00000181163","NPM1",7
"ENSG00000183054","RGPD6",7
"ENSG00000187391","MAGI2",7
"ENSG00000188321","ZNF559",7
"ENSG00000196090","PTPRT",7
"ENSG00000196498","NCOR2",7
"ENSG00000197283","SYNGAP1",7
"ENSG00000198794","SCAMP5",7
"ENSG00000214944","ARHGEF28",7
"ENSG00000270011","ZNF559-ZNF177",7
"ENSG00000005249","PRKAR2B",6
"ENSG00000006125","AP2B1",6
"ENSG00000018510","AGPS",6
"ENSG00000039560","RAI14",6
"ENSG00000040341","STAU2",6
"ENSG00000068024","HDAC4",6
"ENSG00000072518","MARK2",6
"ENSG00000072736","NFATC3",6
"ENSG00000075702","WDR62",6
"ENSG00000079102","RUNX1T1",6
"ENSG00000079215","SLC1A3",6
"ENSG00000082397","EPB41L3",6
"ENSG00000085998","POMGNT1",6
"ENSG00000087274","ADD1",6
"ENSG00000090621","PABPC4",6
"ENSG00000100139","MICALL1",6
"ENSG00000100578","KIAA0586",6
"ENSG00000101347","SAMHD1",6
"ENSG00000101901","ALG13",6
"ENSG00000103353","UBFD1",6
"ENSG00000104375","STK3",6
"ENSG00000104763","ASAH1",6
"ENSG00000106070","GRB10",6
"ENSG00000106976","DNM1",6
"ENSG00000107669","ATE1",6
"ENSG00000107890","ANKRD26",6
"ENSG00000108094","CUL2",6
"ENSG00000108387","SEPTIN4",6
"ENSG00000109846","CRYAB",6
"ENSG00000113360","DROSHA",6
