gene_id	genes	logFC	logCPM	F	PValue	FDR
ENSG00000151615	ENSG00000151615.3	-9.45676154492072	6.818372915339764	944.5711007553164	1.1216466699699836e-6	0.008153381835040998
ENSG00000165646	ENSG00000165646.14	-6.032509489727477	6.384947221795897	768.3150430202284	1.8328705990257422e-6	0.008153381835040998
ENSG00000137693	ENSG00000137693.14	6.154128451223127	7.827785933511807	585.3915750852059	3.4959701078999765e-6	0.008153381835040998
ENSG00000143768	ENSG00000143768.13	7.061887365360769	4.838767988505751	572.6919854930071	3.6827014004025083e-6	0.008153381835040998
ENSG00000185650	ENSG00000185650.10	6.644094931407861	7.813031184233671	564.8062096564007	3.8058439478828086e-6	0.008153381835040998
ENSG00000254202	ENSG00000254202.2	6.595902339103184	7.158853393103452	535.909395824237	4.310653006798216e-6	0.008153381835040998
ENSG00000142089	ENSG00000142089.17	7.029602393574668	6.684590741189489	522.4624918486942	4.57835261382821e-6	0.008153381835040998
ENSG00000104722	ENSG00000104722.14	-4.994603719533713	7.307285235342249	502.0378627181023	5.032225761141532e-6	0.008153381835040998
ENSG00000239922	ENSG00000239922.2	6.087385866424993	5.451507262428569	497.8040092891733	5.134246362107811e-6	0.008153381835040998
ENSG00000074181	ENSG00000074181.9	5.238109677204885	4.983228634082277	455.45027493001953	6.338084582842055e-6	0.008153381835040998
ENSG00000053108	ENSG00000053108.18	-7.731460261359077	7.5747320628576444	448.9252069437118	6.558391470402384e-6	0.008153381835040998
ENSG00000277586	ENSG00000277586.4	-5.7662349438671985	6.64418441773632	441.80595802829765	6.811358798273206e-6	0.008153381835040998
ENSG00000108309	ENSG00000108309.14	-3.931569047997604	6.077581107301906	424.78681355476857	7.4750640395765934e-6	0.008153381835040998
ENSG00000175874	ENSG00000175874.10	-5.92779163927867	4.410786686405398	418.3560802255721	7.749821355984377e-6	0.008153381835040998
ENSG00000162188	ENSG00000162188.6	-5.52564431063648	6.502576746047037	410.219557785756	8.118436700211277e-6	0.008153381835040998
ENSG00000225945	ENSG00000225945.1	7.7837766612937465	4.658796429204582	403.3231639701868	8.450649412223287e-6	0.008153381835040998
ENSG00000145920	ENSG00000145920.15	-3.933861240868301	6.599578405298802	388.96879841348255	9.206814810302708e-6	0.008153381835040998
ENSG00000101489	ENSG00000101489.20	-4.744796382470329	8.444910625358416	387.92150567646473	9.265693007072941e-6	0.008153381835040998
ENSG00000145808	ENSG00000145808.10	4.058664338445931	5.580041245649017	382.52345878760445	9.577802959355214e-6	0.008153381835040998
ENSG00000119283	ENSG00000119283.16	-4.209198914535779	4.872489274374455	379.5664080506813	9.755129798933052e-6	0.008153381835040998
ENSG00000171243	ENSG00000171243.8	6.276392108718439	4.266283820051494	367.8177786050202	1.0507656230787458e-5	0.008153381835040998
ENSG00000130287	ENSG00000130287.14	-4.493658948498044	5.054560786025988	367.22515290189165	1.054777033268485e-5	0.008153381835040998
ENSG00000180447	ENSG00000180447.7	4.273173249398883	5.387468628134706	364.9599969092903	1.0703114515485223e-5	0.008153381835040998
ENSG00000140545	ENSG00000140545.16	3.56115385000453	5.57583920178914	364.8619843893211	1.0709909278787629e-5	0.008153381835040998
ENSG00000157064	ENSG00000157064.11	-5.415416470142552	6.2558589327797645	350.0477974643079	1.181162777815964e-5	0.008153381835040998
ENSG00000135406	ENSG00000135406.15	-4.81902312819407	5.427124632705624	341.42743762073815	1.2527978305423768e-5	0.008153381835040998
ENSG00000015592	ENSG00000015592.17	-4.673172689231223	8.434351885306002	337.6281346434476	1.2863358872933097e-5	0.008153381835040998
ENSG00000166803	ENSG00000166803.14	5.200614816612397	4.326013494171644	334.81328634467303	1.3120108637139045e-5	0.008153381835040998
ENSG00000135447	ENSG00000135447.17	-4.03596790530676	6.5720326163335505	332.1503110667054	1.3369749422842023e-5	0.008153381835040998
ENSG00000243319	ENSG00000243319.7	-4.144031167916385	5.147155883863497	327.58396162348816	1.3813764903787824e-5	0.008153381835040998
ENSG00000118432	ENSG00000118432.13	-4.072675092000003	5.564202151999526	327.2298936305305	1.38490628783542e-5	0.008153381835040998
ENSG00000152977	ENSG00000152977.10	4.583494743455023	5.880254412119382	326.64233159357093	1.3907921422899253e-5	0.008153381835040998
ENSG00000118523	ENSG00000118523.6	8.572542914870997	5.365123402360888	326.5181692037158	1.3920404692315805e-5	0.008153381835040998
ENSG00000167281	ENSG00000167281.20	-3.365600587151694	5.692904871344639	324.95020722398067	1.4079424418475667e-5	0.008153381835040998
ENSG00000109991	ENSG00000109991.10	-5.719028461632298	5.248126850816945	323.0320720570329	1.4277484826432226e-5	0.008153381835040998
ENSG00000145824	ENSG00000145824.13	4.977825499925035	4.5165027859423645	322.74938457710886	1.430700790027265e-5	0.008153381835040998
ENSG00000185885	ENSG00000185885.17	6.053138094303236	5.10952850626513	321.75326147063	1.4411733203735986e-5	0.008153381835040998
ENSG00000103034	ENSG00000103034.15	-3.3011572486880185	6.793008547947079	311.2557477435435	1.5584641560317565e-5	0.008153381835040998
ENSG00000130226	ENSG00000130226.18	-4.8458083685754385	6.402040229474373	311.0467781898542	1.560934509344812e-5	0.008153381835040998
ENSG00000136274	ENSG00000136274.9	-3.189800473070203	5.373114319356457	307.08580034904116	1.6088294372635293e-5	0.008153381835040998
ENSG00000121039	ENSG00000121039.10	3.5348238951786897	5.714020060943907	305.50046743844104	1.6285838917815584e-5	0.008153381835040998
ENSG00000198732	ENSG00000198732.11	4.1841176622698155	5.3406724046871235	301.66153820241504	1.677868192979072e-5	0.008153381835040998
