gene_id	logFC	logCPM	F	PValue	FDR
ENSG00000151615	-9.46108598986268	7.54692319207339	728.380690933049	2.80240847224306e-15	4.19660668718398e-11
ENSG00000165092	7.56837212245233	7.32758957388788	594.61023141742	1.48139645746864e-14	1.10919559752964e-10
ENSG00000165646	-6.34196311964212	6.74916813729305	553.963829563708	2.64329498393824e-14	1.29133645611211e-10
ENSG00000142089	7.06720368348501	7.68653325302933	536.200238215058	3.44931273752817e-14	1.29133645611211e-10
ENSG00000185650	6.70877945783951	8.68960789553611	513.677462716644	4.89502899747018e-14	1.46606118474232e-10
ENSG00000142871	6.72317141504019	7.02369180849179	500.465131270747	6.05304091179476e-14	1.51073812756877e-10
ENSG00000187122	-5.83689662708705	7.21136971286708	481.744946135827	8.25578486254573e-14	1.76614826166603e-10
ENSG00000277586	-5.68228647883604	7.4014572439126	466.568588208666	1.07103378662652e-13	2.00484136934151e-10
ENSG00000118523	8.3059833525154	6.16972688357951	441.365408175461	1.68125624717416e-13	2.73601811848612e-10
ENSG00000168824	-5.13191223454345	6.61515541480768	432.573927179026	1.9792185969163e-13	2.73601811848612e-10
ENSG00000162188	-5.46053658735442	7.4272520778448	431.247604588018	2.02910466063282e-13	2.73601811848612e-10
ENSG00000143768	6.87858920593519	5.71678374786466	427.146825433426	2.19246860913746e-13	2.73601811848612e-10
ENSG00000164692	6.25937430712743	6.1517502712496	412.49646841277	2.90851641768812e-13	3.17570338882668e-10
ENSG00000114315	6.63757124801787	9.19967407744976	413.419950180836	2.96893805967102e-13	3.17570338882668e-10
ENSG00000185885	6.61865089699733	5.84924414557688	398.734226384757	3.82696820298334e-13	3.82058992264504e-10
ENSG00000109991	-5.7238537887353	5.43479314000983	391.848827665558	4.40531379143901e-13	4.12309837667495e-10
ENSG00000101335	9.04401233967837	6.37163629303843	395.606598318227	5.01900881702094e-13	4.42115629616992e-10
ENSG00000139219	5.27207239606013	6.63974573692884	376.239860130602	6.11575719115059e-13	5.0879702187489e-10
ENSG00000152977	4.80691085763055	6.49541840258528	364.799671621167	7.8437156828305e-13	6.18208643949404e-10
ENSG00000074181	6.65473105226131	5.74198404467557	361.185728927079	8.49840806779056e-13	6.30962575674643e-10
ENSG00000109846	6.17516854862744	6.13961323302464	359.380272187288	8.84822309794157e-13	6.30962575674643e-10
ENSG00000198108	5.983351420486	5.53831908975438	353.365139067346	1.01352784006443e-12	6.52153290226176e-10
ENSG00000175063	5.22326351302021	6.0102198862851	349.716262317676	1.10175175365343e-12	6.52153290226176e-10
ENSG00000120251	-5.03757902249136	6.41317566575408	348.973260068724	1.12075087251057e-12	6.52153290226176e-10
ENSG00000174521	-6.92386211351474	4.97293685024296	347.9082601583	1.1486263697054e-12	6.52153290226176e-10
ENSG00000104722	-5.07578833476817	6.79116702123246	355.429266783342	1.16955028074006e-12	6.52153290226176e-10
ENSG00000050767	6.46136613407979	5.33523334618546	346.896246510304	1.17583564848793e-12	6.52153290226176e-10
ENSG00000135406	-4.99962813458691	6.01134970765387	343.339942062752	1.27733165841807e-12	6.64028520471632e-10
ENSG00000170091	-5.56917040600341	7.69855063901244	351.599224268625	1.28593169239915e-12	6.64028520471632e-10
ENSG00000053108	-5.87361806392556	5.07064593845243	340.680087620768	1.35966023302947e-12	6.78697066320541e-10
ENSG00000180447	4.42790669620671	6.35201017124385	336.794476859465	1.49081605042847e-12	7.20160334037625e-10
ENSG00000130226	-4.81480016400963	5.59256462699544	334.31511939159	1.58188339597644e-12	7.40271995460849e-10
ENSG00000152661	6.35426856316616	6.24342759252402	338.888027637661	1.72341615698558e-12	7.49442920054151e-10
ENSG00000101489	-4.91547548489418	7.40853461547216	338.644311919842	1.73329617664528e-12	7.49442920054151e-10
ENSG00000118432	-4.38854490138924	5.6821105566664	330.093740684955	1.75161951264743e-12	7.49442920054151e-10
ENSG00000108309	-4.08100662089317	6.23602238594852	324.931354046402	1.98752483305926e-12	8.26755121529513e-10
ENSG00000146250	5.59024821738989	5.70315112372118	318.852158462924	2.31209889022122e-12	8.74147917313749e-10
ENSG00000015592	-4.53786259763781	8.796598120853	318.65223684197	2.32373735313493e-12	8.74147917313749e-10
ENSG00000196353	-6.31043073303809	4.66793595476212	317.48907473628	2.39276514284751e-12	8.74147917313749e-10
ENSG00000139970	-4.1833344731689	8.22210764311121	317.310164328922	2.40358480333409e-12	8.74147917313749e-10
ENSG00000175874	-6.11585975847909	4.95236500859461	317.018030371934	2.42136957385085e-12	8.74147917313749e-10
ENSG00000113140	4.70321213246251	8.92330688142081	315.426890730529	2.52085926399763e-12	8.74147917313749e-10
ENSG00000162344	4.78319465899434	6.2451617412433	315.179941081199	2.53670662761603e-12	8.74147917313749e-10
ENSG00000185201	5.39859219441147	6.33254399204754	322.273332479663	2.56844797073823e-12	8.74147917313749e-10
ENSG00000110092	4.1548474773644	7.22590747205501	312.990847954684	2.68216503643767e-12	8.92564920458979e-10
ENSG00000119547	-4.9487388524516	9.3014435375502	311.015285167211	2.82148352265769e-12	9.18515559821715e-10
ENSG00000172020	-4.16028572842581	8.1887514579034	309.140391721169	2.96123021957215e-12	9.43498351874319e-10
ENSG00000172037	5.58987350426288	5.70340795935953	307.607406513878	3.08126050403147e-12	9.45016440425804e-10
ENSG00000180730	4.22359803538058	6.80865401762185	307.470932865568	3.0922073843649e-12	9.45016440425804e-10
ENSG00000137693	4.29625655077583	5.94413546033751	303.398523171348	3.43977583683209e-12	1.01165479384073e-09
ENSG00000162105	-5.14730357603342	4.9666873511845	303.336812512679	3.44536858002518e-12	1.01165479384073e-09
ENSG00000205922	-5.21389937597594	6.02480955669205	309.221905674466	3.56346322055279e-12	1.02620887938035e-09
ENSG00000114251	6.06188596949224	5.52615393388547	299.064042518841	3.8585276918021e-12	1.09021607895729e-09
ENSG00000171243	6.57639722782731	5.16934507493488	297.761870532307	3.99525328292012e-12	1.10794292429127e-09
ENSG00000187498	4.49348177853059	5.61994633805491	294.813762378468	4.32529087087988e-12	1.1776587416623e-09
ENSG00000151320	-3.88943219500201	6.46907014759812	292.509592678281	4.60453259019876e-12	1.2313013488969e-09
ENSG00000135447	-3.83866252036363	7.24917063420349	291.461036722652	4.7382412639369e-12	1.24482741977991e-09
ENSG00000196132	-4.92935750372352	5.92320897552003	296.052469606285	5.02657123760797e-12	1.26739911063477e-09
ENSG00000152910	-6.05012998542382	4.89597833095269	288.46028942766	5.14552473010169e-12	1.26739911063477e-09
ENSG00000117399	6.96447032859589	4.8782908833193	288.26609216302	5.17320245569636e-12	1.26739911063477e-09
ENSG00000149948	4.55264204113507	5.55062857480208	288.067118409201	5.20173385688608e-12	1.26739911063477e-09
ENSG00000152518	4.4012406549498	7.28493497406921	288.205123250505	5.24732853818735e-12	1.26739911063477e-09
ENSG00000011028	5.28267037321391	5.32024226264431	286.484759766162	5.43500555405796e-12	1.27412141468751e-09
ENSG00000148773	4.82727419035897	5.51114744521349	286.416511206466	5.44532691419036e-12	1.27412141468751e-09
ENSG00000157064	-5.01535340604864	6.01172627592743	287.852673816024	6.273600228014e-12	1.4114525950612e-09
ENSG00000128872	-3.73029931489426	6.65288243107943	281.142924488714	6.31337078116959e-12	1.4114525950612e-09
ENSG00000130203	3.69879288517834	7.01931268339731	281.133731525368	6.31501328007347e-12	1.4114525950612e-09
ENSG00000166803	5.00215362720737	5.09025590809826	279.572268713056	6.60106470031756e-12	1.45369035128317e-09
ENSG00000138829	4.47940871232475	5.67815152183071	278.007038602504	6.90243732866252e-12	1.49802897096697e-09
ENSG00000071967	7.25073364650608	4.64248210019287	274.707378641461	7.58954828820559e-12	1.57576216348766e-09
ENSG00000250722	4.22889072255249	6.58045756469672	274.207116454649	7.70025561851091e-12	1.57576216348766e-09
ENSG00000121039	3.8193808944646	6.59173543367124	274.114622850267	7.72092164077924e-12	1.57576216348766e-09
ENSG00000164294	5.99120333350235	4.88717163876101	274.079474577494	7.72879115403033e-12	1.57576216348766e-09
ENSG00000166482	4.2681746013506	6.40916992657154	273.716451547875	7.81059731023187e-12	1.57576216348766e-09
ENSG00000149257	3.66353519064509	7.26593996016832	273.359574422246	7.89196409092315e-12	1.57576216348766e-09
ENSG00000145423	4.29803134308814	9.18845377565366	269.177011031152	8.91974851913784e-12	1.74452186942199e-09
ENSG00000084093	4.00912410802942	6.07978179602163	268.985919421773	8.97016253392276e-12	1.74452186942199e-09
ENSG00000167244	4.37802683137489	9.26868645036751	268.436836131308	9.11680567695763e-12	1.7503098078518e-09
ENSG00000131094	-4.60952453853286	8.42006131045553	273.070801847661	9.50120359998977e-12	1.80101928999806e-09
ENSG00000111057	4.36638040905425	5.91490063792396	265.637806768289	9.90729291132831e-12	1.83420726314329e-09
ENSG00000141837	-4.13205653992024	5.63387248870771	265.590640873152	9.92125464538272e-12	1.83420726314329e-09
ENSG00000087258	-3.71372596397943	6.00036044309639	263.992150006701	1.04077016974285e-11	1.89869202869664e-09
ENSG00000160111	5.54204307868297	6.94586873109343	284.640937588175	1.05811605840328e-11	1.89869202869664e-09
ENSG00000103647	-3.81695871136473	5.85291955923848	263.225518942605	1.06504260708192e-11	1.89869202869664e-09
ENSG00000134057	4.47797321850487	5.51283006331004	261.358983442307	1.12683227700971e-11	1.98521333508476e-09
ENSG00000091664	-10.3849899694025	4.37173570415784	296.870305293463	1.14827078842013e-11	1.99945989030134e-09
ENSG00000184232	6.533219041977	4.87446413604378	260.096015183698	1.17091515411081e-11	2.01545453250682e-09
ENSG00000163191	5.55660547836897	4.83630615510625	257.200769603361	1.27944268918754e-11	2.17723343983902e-09
ENSG00000143375	3.76165885639092	5.91615285197723	256.053638153268	1.32551980394486e-11	2.20465645272083e-09
ENSG00000119614	3.52493584699211	6.59608377755764	255.578816015769	1.34513310446231e-11	2.20465645272083e-09
ENSG00000107796	6.15567415844179	6.57594193074374	287.492823693798	1.35268242834002e-11	2.20465645272083e-09
ENSG00000130287	-4.5321616772392	5.1373482881611	255.300297759712	1.35678875256124e-11	2.20465645272083e-09
ENSG00000120875	-3.62558974627296	7.17143099210265	255.007383146248	1.36916894893514e-11	2.20465645272083e-09
ENSG00000142694	5.06057798772371	4.92365098369273	254.18114968133	1.40477676508785e-11	2.23792894225432e-09
ENSG00000145824	4.72725236990075	5.0265454553033	253.093597761792	1.45323648432769e-11	2.29075961608496e-09
ENSG00000173267	-3.64150564032201	7.52674997088585	251.976612899276	1.50496370746764e-11	2.33231327375972e-09
ENSG00000135824	-3.85039453782411	5.62904677979745	251.854403026939	1.51074716230179e-11	2.33231327375972e-09
ENSG00000008394	5.05843929609586	5.00968581441038	249.435089813658	1.63051690370517e-11	2.49152965642703e-09
ENSG00000215397	-5.61931422323388	5.63767813475121	267.228674142237	1.68652189895739e-11	2.55004525498916e-09
ENSG00000116039	3.51374609696478	6.8539177050629	247.369488637162	1.74122397242177e-11	2.55004525498916e-09
ENSG00000183098	3.78731976604837	6.82573123045214	246.930635117395	1.7658131939254e-11	2.55004525498916e-09
ENSG00000179774	-4.27630486140148	7.71064012439934	251.873696553663	1.79089229142089e-11	2.55004525498916e-09
ENSG00000198910	-3.52211692798599	7.62867125148957	246.456210531709	1.79283351470804e-11	2.55004525498916e-09
ENSG00000145920	-4.12319003578815	6.9751524539082	251.795480148798	1.79525095798587e-11	2.55004525498916e-09
ENSG00000261678	-3.78201000123356	5.21185287634037	246.341159520895	1.79945561578261e-11	2.55004525498916e-09
ENSG00000141052	7.09906487003716	4.49641501650932	246.244498635326	1.80504038082705e-11	2.55004525498916e-09
ENSG00000176170	5.08945700757297	4.93237494144462	245.198803328018	1.86671348997224e-11	2.61252658993779e-09
ENSG00000166147	4.39842474470104	5.54808132599244	241.880086478098	2.07861678686481e-11	2.8821561466019e-09
ENSG00000149295	-5.53584564078524	6.52751414131049	283.644233832145	2.10783671928901e-11	2.89585824507825e-09
ENSG00000106341	-3.80626135062313	6.02447545994247	238.209944871143	2.3448847529184e-11	3.19224083408664e-09
ENSG00000137473	-4.47797543213385	5.43927416741018	241.946795768167	2.45235798478608e-11	3.30847394794339e-09
ENSG00000239922	6.45371120503552	5.10689941951193	241.039277049719	2.52537261740846e-11	3.36863334239325e-09
ENSG00000103034	-3.31242281950053	6.96357627481893	235.587433559248	2.55853683247776e-11	3.36863334239325e-09
ENSG00000132639	-4.01076877514978	5.60275330730371	235.359152385273	2.57814191750567e-11	3.36863334239325e-09
ENSG00000089685	5.52233241212112	5.01443613994516	235.257448713626	2.58693044657913e-11	3.36863334239325e-09
ENSG00000167281	-4.64350900033092	5.41149957375968	237.856333090919	2.8013862240775e-11	3.6164447159966e-09
ENSG00000128606	5.61534314478201	4.51189440386498	232.252126332097	2.86239613504759e-11	3.62086658175979e-09
ENSG00000140545	3.93938856708285	6.0395646159887	232.015471171326	2.88544487936429e-11	3.62086658175979e-09
ENSG00000144460	-4.93267138339226	4.42045688086728	231.926056758318	2.89420728622917e-11	3.62086658175979e-09
ENSG00000186868	-3.17456783628156	7.16288717345314	231.851574143943	2.90152914732003e-11	3.62086658175979e-09
ENSG00000163531	-4.15037843566506	5.59071904142065	232.354179388358	3.36197609853778e-11	4.16079273352093e-09
ENSG00000101204	-3.93180590612147	5.13575537139331	226.625609443096	3.47099032142995e-11	4.26049836585356e-09
ENSG00000026025	3.91126110170946	10.39197167422	226.219754296273	3.5202016349353e-11	4.28577394172001e-09
ENSG00000188153	3.53804044560018	6.0310736140962	225.881543308646	3.56180769384312e-11	4.30145727542747e-09
ENSG00000111907	4.20502630449628	4.89907073832062	221.719648658488	4.12151056663148e-11	4.90946752436669e-09
ENSG00000156298	-3.61686741341406	7.34970904622512	226.285497651662	4.1308374495506e-11	4.90946752436669e-09
ENSG00000127585	-3.22654429799421	6.00997243793119	221.299262641865	4.18331511987819e-11	4.93268849765165e-09
ENSG00000178999	5.49762776937961	4.40011641689347	220.935685508442	4.2376048550141e-11	4.9576666174872e-09
ENSG00000104435	-4.87393898947388	10.8145353014187	225.068671835028	4.30766762952746e-11	5.00056765520726e-09
ENSG00000134250	3.90195363169514	5.82340720424356	220.053839643638	4.37258847698656e-11	5.03688557252875e-09
ENSG00000072182	-4.21087816866738	5.40116327802796	223.199993197491	4.59598025179515e-11	5.25380185272003e-09
ENSG00000064309	3.23510659486629	6.45664070607248	217.947324464588	4.71494081526769e-11	5.34174948464927e-09
