isoform_id	EP1.WT_hRO_2	EP1.WT_ROs_D45	H9.BRN3B_hRO_2	H9.CRX_hRO_2	H9.CRX_ROs_D45
ENST00000230122.4	1.89726	2.65574	1.58668	2.73742	3.82449
ENST00000231790.8	2.6417	10.16238	3.67975	3.04793	11.68758
ENST00000231948.9	20.255490000000002	0	26.67603	19.80893	0
ENST00000232501.8	14.22743	14.13719	24.30907	19.41495	14.28324
ENST00000232854.9	22.83012	9.09787	20.15273	18.51803	10.3577
ENST00000233121.7	22.44099	6.21247	14.50606	13.56237	3.35317
ENST00000233596.8	11.09331	16.97591	13.91658	10.55028	20.70602
ENST00000234420.11	53.64267	115.40775	59.05679	65.725	106.45963
ENST00000234626.11	16.47225	34.34114	15.12755	14.45811	33.68125
ENST00000236137.10	7.83093	8.59362	5.01348	5.37889	7.48587
ENST00000237623.11	39.3034	19.51748	103.26401	101.36465	31.43311
ENST00000238138.2	0.66482	0	1.617	0.75746	0
ENST00000238788.14	10.15534	11.30204	7.74768	9.94836	16.73633
ENST00000240055.8	31.11155	31.71805	31.06964	29.71171	26.71023
ENST00000240093.8	21.86405	42.76373	25.79213	25.97434	34.88302
ENST00000240304.5	44.45214	63.68923	43.23658	36.38046	77.65698
ENST00000240487.5	4.6278	0	2.9179	3.28836	4.60608
ENST00000240727.10	1.40099	5.13982	10.59427	10.57913	2.90762
ENST00000242576.7	19.79032	46.09708	21.80934	25.19628	41.42671
ENST00000242783.11	13.84235	25.8966	9.98317	9.63973	43.72425
ENST00000242810.11	68.68668	33.76602	73.95359	81.40509	29.84644
ENST00000242848.8	57.55245	58.96806	1e-5	1e-5	52.64848
ENST00000242872.7	6.6033	0.18264	4.05033	1.10727	0.8649
ENST00000243326.9	27.56076	13.193	27.51822	24.64843	28.07323
ENST00000243562.13	0	0	2.952	0	0
ENST00000243878.9	10.04289	17.99305	14.35134	8.30693	17.19968
ENST00000243896.6	1.66193	2.1014	2.01286	2.54271	0.55259
ENST00000244289.9	0	0.11949	0	1.00429	0
ENST00000245932.11	4.40516	12.04163	4.80883	5.57099	15.82947
ENST00000246139.9	0.88273	1.56678	0.7152	0.37135	2.63956
ENST00000246868.7	55.59354	45.02162	58.80251	60.89436	47.04345
ENST00000247001.10	10.0696	15.19252	9.1503	11.27256	16.59658
ENST00000247815.9	3.46745	1.79594	2.32324	3.91352	0.67936
ENST00000247977.9	3.74524	12.80091	0	7.73306	10.81367
ENST00000248054.10	9.76238	13.26233	14.54633	17.79642	19.96378
ENST00000248139.8	1.5586	2.87142	1.17676	0.92393	5.2507
ENST00000248306.8	4.39513	5.05937	5.024	3.84665	3.77181
ENST00000248553.7	22.09713	60.16218	40.49543	41.4039	115.93966
ENST00000249377.4	1.95332	7.44346	0.27984	0.57365	2.78763
ENST00000249837.7	33.5841	47.50139	29.68945	39.04854	33.57958
ENST00000250076.8	2.2216	5.28392	3.86276	2.69113	6.07372
ENST00000250894.8	3.12301	5.12585	0	0	10.88158
ENST00000250896.9	19.49161	19.34267	10.98486	6.74019	28.40172
ENST00000251366.7	0	0	0.15547	0	0.1231
ENST00000251588.7	11.00182	15.73799	16.44381	11.00314	20.07506
ENST00000251607.11	0.64626	8.582	1.34585	0.33403	8.96914
ENST00000251849.9	15.26624	28.12159	9.11762	7.67499	25.55334
ENST00000251871.9	17.22762	26.00397	15.24671	16.69772	21.5917
ENST00000251879.10	0.78452	3.29878	1.33885	2.0955	2.99565
ENST00000252029.8	0	0.14472	0.22342	0	0
ENST00000252034.12	26.35085	0.96612	18.77481	42.17993	0.99576
ENST00000252100.6	0	0.92706	0.52915	0.26482	0
ENST00000252268.8	2.81396	0.65659	1.35514	2.12558	0
ENST00000252329.3	0	11.04206	0	0.35227	0.31322
ENST00000252599.9	6.72819	20.94404	10.15643	3.58573	25.78971
ENST00000252729.7	1.88331	2.98434	2.79844	1.16597	1.43628
ENST00000252992.8	4.86219	0	4.36155	0	0
ENST00000253144.13	0.31786	5.12803	1.14717	0.66371	4.63779
ENST00000253669.10	0	0.14269	0.2529	3.36797	0.16839
ENST00000253788.12	849.98674	1117.8324	898.86781	838.93497	995.47551
ENST00000254108.12	35.00463	138.53046	45.75396	27.16616	168.75631
ENST00000254321.10	0.91937	1.73903	2.70622	1.52779	2.24114
ENST00000254351.9	5.84475	11.5832	5.5278	5.78006	15.23906
ENST00000254663.12	2.78366	4.18406	2.46861	0	6.14671
ENST00000254695.13	4.7125	1.26369	2.51712	4.69037	0.59652
ENST00000254718.9	7.63421	11.13082	6.01017	5.13612	13.47743
ENST00000254898.7	1.59666	1.52959	0.70526	1.98526	1.54775
ENST00000254950.13	37.85033	45.89597	38.53664	31.11126	62.06151
ENST00000254977.7	33.44449	33.96663	37.50792	24.375610000000002	33.84734
ENST00000255087.10	0.99437	1.81497	1.83231	2.14859	0.81603
ENST00000255194.11	14.17576	17.77253	16.86893	30.07334	18.86502
ENST00000255389.10	19.80055	29.6666	22.14681	21.95322	29.80411
ENST00000255448.8	0	0.48418	2.09578	3.52182	0
ENST00000255608.9	14.1208	35.39168	10.4025	22.88097	46.43108
ENST00000255882.11	46.5576	50.41384	38.95318	45.42788	51.84899
ENST00000256062.9	0	0	0	1.43192	0
ENST00000256324.15	2.42655	2.65669	7.16103	6.60588	4.54433
ENST00000256830.13	1.09667	0.10044	0.29736	0.49229	0.22663
ENST00000257177.9	60.23275	3.06573	52.78741	39.5315	1e-5
ENST00000257209.8	5.13285	13.78465	5.67363	8.18196	8.90538
ENST00000257347.9	17.6186	27.31032	14.77243	20.03923	35.12867
ENST00000257435.12	12.68315	143.76306	4.8032	106.34312	129.7135
ENST00000257895.10	4.28328	0.13056	2.45268	5.42403	0.3565
ENST00000257897.7	5.00977	0.9435	2.13998	3.78728	2.88379
ENST00000257966.13	33.1914	32.19819	35.35582	26.89836	37.75498
ENST00000258302.8	19.17302	6.55401	19.5427	17.77141	2.5208
ENST00000258398.8	3.71763	0	20.20645	19.49346	0.39677
ENST00000258399.8	11.37626	15.24416	17.26847	16.35713	16.67005
ENST00000258439.8	22.02261	11.84899	15.10101	16.96844	16.92619
ENST00000258781.11	4.19121	12.4246	6.55197	6.83651	11.8818
ENST00000258796.12	22.97885	54.84437	12.67723	7.85628	75.29517
ENST00000259119.9	42.25258	19.23512	42.03378	81.83493	16.04281
ENST00000259371.7	22.32299	9.4724	16.60977	1.17237	8.6881
ENST00000259633.9	0.25977	0.22383	0.40669	0.37873	1.96959
ENST00000259698.9	5.12151	1.98406	3.98429	3.60318	2.45796
ENST00000259748.6	7.10139	1.34925	5.45566	3.4961	2.20266
ENST00000259818.8	293.75731	508.68655	392.41334	402.68571	421.56841
ENST00000260045.8	13.69931	40.56825	17.71062	21.43724	36.52337
ENST00000260058.9	2.43288	10.10203	2.56475	2.51476	7.86584
ENST00000260600.9	15.1051	3.8437	9.63524	9.40296	12.92293
ENST00000260777.14	0	0.23912	0.59393	0.49757	0
ENST00000260983.8	0	1.26017	0	0	1.44108
ENST00000261015.5	8.23932	0	6.0832	8.72186	2.67517
ENST00000261168.9	12.85744	15.95788	32.51572	27.49595	33.74431
ENST00000261600.11	12.99414	23.48683	14.04015	10.21439	22.46259
ENST00000261681.9	6.93188	7.0816	11.40697	11.91021	6.2671
ENST00000261692.7	49.18758	142.67068	43.4972	59.47574	122.11485
ENST00000261708.9	25.39915	28.55352	22.74101	24.74165	28.02591
ENST00000261799.9	27.82372	16.04082	22.9558	26.46475	18.64896
ENST00000261951.9	14.60324	35.99044	14.37587	17.76516	35.25444
ENST00000261978.9	6.08234	5.22259	6.87951	4.16601	8.30107
ENST00000262074.8	10.25923	4.87026	10.73595	10.29752	5.80215
ENST00000262105.6	20.98366	4.31883	4.7868	16.72983	7.06508
ENST00000262146.9	14.59105	14.27225	17.773	12.83045	13.06061
ENST00000262173.7	1.77712	0.23823	2.66367	8.93366	0
ENST00000262188.13	7.59839	13.6791	8.22998	5.96678	11.83518
ENST00000262319.11	5.45063	15.55216	6.65825	6.41377	16.72877
ENST00000262506.8	16.59647	25.91908	19.30559	18.30122	29.41715
