gene_id	genes	logFC	logCPM	F	PValue	FDR
ENSG00000227081	ENSG00000227081.5	10.166928003618263	6.7551845349097785	601.4093011161519	3.7263525616531376e-7	0.009338984790015093
ENSG00000169085	ENSG00000169085.14	3.633311757718739	6.723097919832094	340.1772941661238	1.7304945933705167e-6	0.011403676462143806
ENSG00000187416	ENSG00000187416.13	-4.545073594977614	5.488912709991829	315.66775437517595	2.4315923265835723e-6	0.011403676462143806
ENSG00000264084	ENSG00000264084.1	9.031981486417429	6.4236801600488125	302.1646951282887	2.759868216414166e-6	0.011403676462143806
ENSG00000228740	ENSG00000228740.3	-4.981792174733475	5.1440265553332605	301.33223888866024	2.7820029019667077e-6	0.011403676462143806
ENSG00000047617	ENSG00000047617.17	-3.1302305690424155	7.03070233032842	269.74414799315974	3.5221904282125273e-6	0.011403676462143806
ENSG00000139445	ENSG00000139445.18	4.027672771437178	5.421239387435561	259.68186607316943	4.063502516846104e-6	0.011403676462143806
ENSG00000111249	ENSG00000111249.14	3.61789959864958	7.001013022304674	250.5463561482462	4.504819158984747e-6	0.011403676462143806
ENSG00000179774	ENSG00000179774.9	5.301681974084296	5.624256549064875	254.8946348905536	4.513416575299247e-6	0.011403676462143806
ENSG00000120500	ENSG00000120500.19	-2.889554012729078	6.260213586892287	247.05255791652357	4.5501861232718085e-6	0.011403676462143806
ENSG00000170345	ENSG00000170345.10	-3.4586966419757297	4.5710442467391	231.60635572399607	5.334129474200547e-6	0.012153086625674011
ENSG00000114268	ENSG00000114268.12	2.4991085097579226	6.977894213098579	221.619614478144	6.065708493872715e-6	0.012668232189453166
ENSG00000177803	ENSG00000177803.7	-5.2318791799927515	5.311836161836258	215.41474909612558	7.3301365477571814e-6	0.014131375550760807
ENSG00000176840	ENSG00000176840.14	2.361103671108312	5.530717379867913	176.65096560430848	1.1725638102678554e-5	0.018356275522785685
ENSG00000182667	ENSG00000182667.15	-2.411159622259473	6.592469099358871	167.84566948263253	1.3952379917313378e-5	0.018356275522785685
ENSG00000176473	ENSG00000176473.14	-1.942618752799319	5.248589704559878	165.0351950033761	1.4277311654874392e-5	0.018356275522785685
ENSG00000069018	ENSG00000069018.19	-5.751461743258956	5.20765389811682	166.3466963387372	1.538016159924749e-5	0.018356275522785685
ENSG00000242440	ENSG00000242440.2	-5.53652738327152	3.0070485339782884	160.04392142830542	1.560263176863988e-5	0.018356275522785685
ENSG00000137766	ENSG00000137766.18	-3.0427126520059327	4.244430588973986	159.0296605714836	1.5891833997453577e-5	0.018356275522785685
ENSG00000177103	ENSG00000177103.15	-2.7121270483888806	6.040337137165137	161.3481224921562	1.6503115967308687e-5	0.018356275522785685
ENSG00000144834	ENSG00000144834.14	2.226763657036155	6.0594386108464136	156.70506518375106	1.6582198143858036e-5	0.018356275522785685
ENSG00000272398	ENSG00000272398.6	3.0055407815821695	6.604517505326302	160.589034567389	1.6601664766298617e-5	0.018356275522785685
ENSG00000114349	ENSG00000114349.10	-6.32812718969976	6.6468409382570455	160.9991987834329	1.6884194128686314e-5	0.018356275522785685
ENSG00000183826	ENSG00000183826.19	-2.039286164105902	6.568390270641452	151.8463261861463	1.815996132700591e-5	0.018356275522785685
ENSG00000167371	ENSG00000167371.21	1.823555239559401	6.27681347922	149.2107785322445	1.9100311350661416e-5	0.018356275522785685
ENSG00000118985	ENSG00000118985.16	1.8102963599982098	6.005812624307832	148.64997714374553	1.9308748050090803e-5	0.018356275522785685
ENSG00000104237	ENSG00000104237.11	-4.424915634355078	7.52338705701893	150.50274731091628	2.0462299377021113e-5	0.018356275522785685
ENSG00000271723	ENSG00000271723.5	-2.785446537256335	4.125157158977669	145.57296860676456	2.0508168328066364e-5	0.018356275522785685
ENSG00000116016	ENSG00000116016.14	-3.738136604854659	5.570640261550458	144.2992953982118	2.30662957414006e-5	0.019241547919908192
ENSG00000151892	ENSG00000151892.16	2.2288427782866207	4.97875922270066	139.2909168235145	2.3284232198322913e-5	0.019241547919908192
ENSG00000095777	ENSG00000095777.17	-2.382338770578781	6.534887550626793	139.79568045476537	2.4225526466101653e-5	0.019241547919908192
ENSG00000185527	ENSG00000185527.12	-6.75028341754361	7.195521212783084	140.23496969536666	2.5017672259620626e-5	0.019241547919908192
ENSG00000290421	ENSG00000290421.1	-3.2420288143403373	4.537395467721134	136.1829615853917	2.6102698477315037e-5	0.019241547919908192
ENSG00000138166	ENSG00000138166.6	-2.4216957499359295	4.430922459944286	133.85910073962071	2.6103767826864516e-5	0.019241547919908192
ENSG00000128016	ENSG00000128016.7	-2.8018114996010017	4.339511325569926	131.9499147280797	2.7202770505655082e-5	0.019478738126077932
ENSG00000165521	ENSG00000165521.16	-1.4995990625842948	5.936951860062232	123.01938013813925	3.325403249782149e-5	0.019682693530442396
ENSG00000175155	ENSG00000175155.11	-1.8706476309483602	4.906884725636603	122.84808033041044	3.33869170299327e-5	0.019682693530442396
ENSG00000070729	ENSG00000070729.14	-4.961576586740855	6.6548825583064675	126.26472853176145	3.3688358872243723e-5	0.019682693530442396
ENSG00000234690	ENSG00000234690.7	2.8194614000733504	5.115064264658892	122.96194843791855	3.492029380790435e-5	0.019682693530442396
ENSG00000120738	ENSG00000120738.8	-3.811240833597748	7.463855265332005	124.41703416266067	3.512314395315861e-5	0.019682693530442396
ENSG00000174788	ENSG00000174788.10	-4.87209069758425	3.345610646733117	121.14236963749522	3.52941616984624e-5	0.019682693530442396
ENSG00000243828	ENSG00000243828.2	-4.547852391642099	3.5505654660499797	120.5478019412071	3.6052068944281544e-5	0.019682693530442396
